intent,text,source,status
Cmd.StreamingStart,begin the stream,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStart,turn streaming on,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStart,stream now,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStart,start streaming now,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStart,can you start streaming,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStop,stop streaming,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStop,stop the stream,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStop,end streaming,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStop,end the stream,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStop,turn streaming off,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.StreamingStop,streaming off,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStop,stop the streaming,curated_production_candidate,REVIEW_REQUIRED
Cmd.StreamingStop,can you stop streaming,curated_production_candidate,REVIEW_REQUIRED
Cmd.ListenMessage,listen to my message,curated_production_candidate,REVIEW_REQUIRED
Cmd.ListenMessage,read my message,curated_production_candidate,REVIEW_REQUIRED
Cmd.ListenMessage,read the message,curated_production_candidate,REVIEW_REQUIRED
Cmd.ListenMessage,play my message,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.ListenMessage,listen to the message,curated_production_candidate,REVIEW_REQUIRED
Cmd.ListenMessage,hear my message,curated_production_candidate,REVIEW_REQUIRED
Cmd.SendMessage,send a message,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.SendMessage,send the message,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.SendMessage,send this message,curated_production_candidate,REVIEW_REQUIRED
Cmd.SendMessage,send my message,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.SendMessage,send it,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.SendMessage,send this,curated_production_candidate,REVIEW_REQUIRED
Cmd.SendMessage,please send the message,curated_production_candidate,REVIEW_REQUIRED
Cmd.SendMessage,can you send this message,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,find my phone,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,locate my phone,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,where is my phone,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,find the phone,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,locate the phone,curated_production_candidate,REVIEW_REQUIRED
Cmd.FindMyPhone,help me find my phone,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.BatteryLevel,check the battery,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,check my battery,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,what is the battery level,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,what's the battery level,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,how much battery is left,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,how much battery do I have,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.BatteryLevel,show battery level,curated_production_candidate,REVIEW_REQUIRED
Cmd.BatteryLevel,tell me the battery level,curated_production_candidate,REVIEW_REQUIRED
Cmd.MemoryChange,change the memory,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.MemoryChange,change memory,curated_production_candidate,REVIEW_REQUIRED
Cmd.MemoryChange,switch memory,curated_production_candidate,REVIEW_REQUIRED
Cmd.MemoryChange,switch the memory,curated_production_candidate,REVIEW_REQUIRED
Cmd.MemoryChange,change my memory,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.MemoryChange,change to another memory,curated_production_candidate,REVIEW_REQUIRED
Cmd.MemoryChange,switch to another memory,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranscribeStart,start transcription,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.TranscribeStart,start transcribing,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranscribeStart,begin transcription,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranscribeStart,transcribe this,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranscribeStart,start the transcription,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranscribeStart,turn transcription on,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranslationStart,start translation,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.TranslationStart,start translating,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranslationStart,begin translation,curated_production_candidate,ALREADY_IN_TRAIN
Cmd.TranslationStart,translate this,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranslationStart,start the translation,curated_production_candidate,REVIEW_REQUIRED
Cmd.TranslationStart,turn translation on,curated_production_candidate,REVIEW_REQUIRED
reminders.add,remind me,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,set a reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,create a reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,add a reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,make a reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,remember this for me,curated_production_candidate,ALREADY_IN_TRAIN
reminders.add,remind me about this,curated_production_candidate,REVIEW_REQUIRED
reminders.add,set me a reminder,curated_production_candidate,REVIEW_REQUIRED
reminders.add,please remind me,curated_production_candidate,REVIEW_REQUIRED
reminders.complete,complete the reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.complete,mark the reminder complete,curated_production_candidate,REVIEW_REQUIRED
reminders.complete,finish the reminder,curated_production_candidate,REVIEW_REQUIRED
reminders.complete,complete my reminder,curated_production_candidate,ALREADY_IN_TRAIN
reminders.complete,mark my reminder as done,curated_production_candidate,REVIEW_REQUIRED
reminders.complete,done with the reminder,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,play some music,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,show me a funny video,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,send an email,curated_production_candidate,ALREADY_IN_TRAIN
Default Fallback Intent,book me a flight,curated_production_candidate,ALREADY_IN_TRAIN
Default Fallback Intent,take me to the airport,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,go to the airport tomorrow at 9 pm,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,turn off the television,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,turn off the lights,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,turn off my phone,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,open the camera,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,what is the weather,curated_production_candidate,REVIEW_REQUIRED
Default Fallback Intent,call my friend,curated_production_candidate,REVIEW_REQUIRED
Help_Volume,how do I change the volume,curated_production_candidate,REVIEW_REQUIRED
Help_Volume,how can I change the volume,curated_production_candidate,REVIEW_REQUIRED
Help_Volume,how do I adjust the volume,curated_production_candidate,ALREADY_IN_TRAIN
Help_Volume,help with volume,curated_production_candidate,REVIEW_REQUIRED
Help_Volume,help me with volume,curated_production_candidate,REVIEW_REQUIRED
Help_Pairing,how do I pair my hearing aids,curated_production_candidate,ALREADY_IN_TRAIN
Help_Pairing,how can I pair my hearing aids,curated_production_candidate,REVIEW_REQUIRED
Help_Pairing,help me pair my hearing aids,curated_production_candidate,REVIEW_REQUIRED
Help_Pairing,how do I connect my hearing aids,curated_production_candidate,ALREADY_IN_TRAIN
Help_Pairing,help with pairing,curated_production_candidate,REVIEW_REQUIRED
Help_Battery,how do I check the battery,curated_production_candidate,REVIEW_REQUIRED
Help_Battery,how can I check the battery,curated_production_candidate,REVIEW_REQUIRED
Help_Battery,help with battery,curated_production_candidate,REVIEW_REQUIRED
Help_Battery,where can I see the battery level,curated_production_candidate,REVIEW_REQUIRED
Help_FindMyHearingAids,how do I find my hearing aids,curated_production_candidate,REVIEW_REQUIRED
Help_FindMyHearingAids,help me find my hearing aids,curated_production_candidate,ALREADY_IN_TRAIN
Help_FindMyHearingAids,where are my hearing aids,curated_production_candidate,REVIEW_REQUIRED
Help_FindMyHearingAids,how can I locate my hearing aids,curated_production_candidate,REVIEW_REQUIRED
Help_Reminder,how do I set a reminder,curated_production_candidate,REVIEW_REQUIRED
Help_Reminder,how can I create a reminder,curated_production_candidate,REVIEW_REQUIRED
Help_Reminder,help with reminders,curated_production_candidate,ALREADY_IN_TRAIN
Help_Reminder,how do reminders work,curated_production_candidate,ALREADY_IN_TRAIN
Help_Translate,how do I translate,curated_production_candidate,REVIEW_REQUIRED
Help_Translate,how can I translate,curated_production_candidate,REVIEW_REQUIRED
Help_Translate,help with translation,curated_production_candidate,REVIEW_REQUIRED
Help_Translate,how does translation work,curated_production_candidate,REVIEW_REQUIRED
Help_Transcribe,how do I transcribe,curated_production_candidate,REVIEW_REQUIRED
Help_Transcribe,how can I transcribe,curated_production_candidate,REVIEW_REQUIRED
Help_Transcribe,help with transcription,curated_production_candidate,ALREADY_IN_TRAIN
Help_Transcribe,how does transcription work,curated_production_candidate,REVIEW_REQUIRED
Help_VoiceAssistant,how do I use the voice assistant,curated_production_candidate,REVIEW_REQUIRED
Help_VoiceAssistant,how can I use the voice assistant,curated_production_candidate,REVIEW_REQUIRED
Help_VoiceAssistant,help with voice assistant,curated_production_candidate,REVIEW_REQUIRED
Help_SelfCheck,how do I run a self check,curated_production_candidate,REVIEW_REQUIRED
Help_SelfCheck,how can I run a self check,curated_production_candidate,REVIEW_REQUIRED
Help_SelfCheck,help with self check,curated_production_candidate,ALREADY_IN_TRAIN
Help_SelfCheck,how does self check work,curated_production_candidate,REVIEW_REQUIRED
Help_DeviceSettings,how do I change device settings,curated_production_candidate,REVIEW_REQUIRED
Help_DeviceSettings,how can I change device settings,curated_production_candidate,REVIEW_REQUIRED
Help_DeviceSettings,help with device settings,curated_production_candidate,ALREADY_IN_TRAIN
Help_DeviceSettings,where are the device settings,curated_production_candidate,REVIEW_REQUIRED
Help_AppSettings,how do I change app settings,curated_production_candidate,REVIEW_REQUIRED
Help_AppSettings,how can I change app settings,curated_production_candidate,REVIEW_REQUIRED
Help_AppSettings,help with app settings,curated_production_candidate,REVIEW_REQUIRED
Help_AppSettings,where are the app settings,curated_production_candidate,REVIEW_REQUIRED
