text,intent,norm,key
"i am not after a new reminder, i am after how reminders work",Help_Reminder,i am not after a new reminder i am after how reminders work,after am how new not reminder work
"how to change programs is not what i wanted, a different program is",Cmd.MemoryChange,how to change programs is not what i wanted a different program is,change different how not program want what
not streaming stopped — i meant streaming started,Cmd.StreamingStart,not streaming stopped i meant streaming started,meant not start stopp stream
"i am not after my running, i am after my walking",Cmd.ActivityWalk,i am not after my running i am after my walking,after am not runn walk
"skip the voice assistant, do the app settings instead",Help_AppSettings,skip the voice assistant do the app settings instead,app assistant instead setting skip voice
not how to put them in — i meant how to clean them,Help_CleanCare,not how to put them in i meant how to clean them,clean how in meant not put them
"skip demo mode, do the cros system instead",Help_WiCROS,skip demo mode do the cros system instead,cros demo instead mode skip system
"skip my cycling, do my calories instead",Cmd.ActivityCalories,skip my cycling do my calories instead,calori cycl instead skip
"edge mode is not what i wanted, the cros system is",Help_WiCROS,edge mode is not what i wanted the cros system is,cros edge mode not system want what
"mask mode is not what i wanted, demo mode is",Help_DemoMode,mask mode is not what i wanted demo mode is,demo mask mode not want what
not the voice assistant — i meant what is new,Help_WhatsNew,not the voice assistant i meant what is new,assistant meant new not voice what
"skip how the volume works, do louder instead",Cmd.VolumeIncrease,skip how the volume works do louder instead,how instead louder skip volume work
"skip my cycling, do my workout instead",Cmd.ActivityExercise,skip my cycling do my workout instead,cycl instead skip workout
"my calories is not what i wanted, my running is",Cmd.ActivityRun,my calories is not what i wanted my running is,calori not runn want what
"i am not after louder, i am after unmuted",Cmd.VolumeUnmute,i am not after louder i am after unmuted,after am louder not unmut
"i am not after the charge level, i am after what battery size i need",Help_Battery,i am not after the charge level i am after what battery size i need,after am battery charge level need not size what
"i am not after how to clean them, i am after how to put them in",Help_InsertDevice,i am not after how to clean them i am after how to put them in,after am clean how in not put them
"my step count is not what i wanted, my workout is",Cmd.ActivityExercise,my step count is not what i wanted my workout is,count not step want what workout
"skip my step count, do my aerobics instead",Cmd.ActivityAerobics,skip my step count do my aerobics instead,aerobic count instead skip step
not my walking — i meant my step count,Cmd.ActivityStep,not my walking i meant my step count,count meant not step walk
"how to personalise the sound is not what i wanted, how to change programs is",Help_ChangingMemories,how to personalise the sound is not what i wanted how to change programs is,change how not personalise program sound want what
"i am not after to pair them, i am after the voice assistant",Help_VoiceAssistant,i am not after to pair them i am after the voice assistant,after am assistant not pair them voice
"my standing time is not what i wanted, my running is",Cmd.ActivityRun,my standing time is not what i wanted my running is,not runn stand time want what
"my aerobics is not what i wanted, my walking is",Cmd.ActivityWalk,my aerobics is not what i wanted my walking is,aerobic not walk want what
"skip how to put them in, do a self check instead",Help_SelfCheck,skip how to put them in do a self check instead,check how in instead put self skip them
"i am not after muted, i am after louder",Cmd.VolumeIncrease,i am not after muted i am after louder,after am louder mut not
"i am not after how to personalise the sound, i am after how to change programs",Help_ChangingMemories,i am not after how to personalise the sound i am after how to change programs,after am change how not personalise program sound
not my running — i meant my workout,Cmd.ActivityExercise,not my running i meant my workout,meant not runn workout
not demo mode — i meant the tinnitus masker,Help_Tinnitus,not demo mode i meant the tinnitus masker,demo masker meant mode not tinnitu
not speech enhancement — i meant the cros system,Help_WiCROS,not speech enhancement i meant the cros system,cros enhancement meant not speech system
"skip the device settings, do how to clean them instead",Help_CleanCare,skip the device settings do how to clean them instead,clean device how instead setting skip them
"skip a different program, do how to personalise the sound instead",Help_Customize,skip a different program do how to personalise the sound instead,different how instead personalise program skip sound
"i am not after how to put them in, i am after a self check",Help_SelfCheck,i am not after how to put them in i am after a self check,after am check how in not put self them
"i am not after quieter, i am after how the volume works",Help_Volume,i am not after quieter i am after how the volume works,after am how not quieter volume work
not my walking — i meant my workout,Cmd.ActivityExercise,not my walking i meant my workout,meant not walk workout
not speech enhancement — i meant mask mode,Help_MaskMode,not speech enhancement i meant mask mode,enhancement mask meant mode not speech
"a remote appointment is not what i wanted, to share my data is",Help_HearShare,a remote appointment is not what i wanted to share my data is,appointment data not remote share want what
not how reminders work — i meant a new reminder,reminders.add,not how reminders work i meant a new reminder,how meant new not reminder work
"skip to share my data, do a remote adjustment instead",Help_RemoteProgramming,skip to share my data do a remote adjustment instead,adjustment data instead remote share skip
"the charge level is not what i wanted, what battery size i need is",Help_Battery,the charge level is not what i wanted what battery size i need is,battery charge level need not size want what
"skip muted, do unmuted instead",Cmd.VolumeUnmute,skip muted do unmuted instead,instead mut skip unmut
"i am not after my calories, i am after my cycling",Cmd.ActivityCycle,i am not after my calories i am after my cycling,after am calori cycl not
not my cycling — i meant my running,Cmd.ActivityRun,not my cycling i meant my running,cycl meant not runn
not unmuted — i meant how the volume works,Help_Volume,not unmuted i meant how the volume works,how meant not unmut volume work
"i am not after quieter, i am after muted",Cmd.VolumeMute,i am not after quieter i am after muted,after am mut not quieter
not my workout — i meant my step count,Cmd.ActivityStep,not my workout i meant my step count,count meant not step workout
"skip my step count, do my standing time instead",Cmd.ActivityStand,skip my step count do my standing time instead,count instead skip stand step time
"skip my step count, do my calories instead",Cmd.ActivityCalories,skip my step count do my calories instead,calori count instead skip step
"what is new is not what i wanted, to pair them is",Help_Pairing,what is new is not what i wanted to pair them is,new not pair them want what
not how to clean them — i meant how to put them in,Help_InsertDevice,not how to clean them i meant how to put them in,clean how in meant not put them
"skip quieter, do louder instead",Cmd.VolumeIncrease,skip quieter do louder instead,instead louder quieter skip
"quieter is not what i wanted, louder is",Cmd.VolumeIncrease,quieter is not what i wanted louder is,louder not quieter want what
"skip my aerobics, do my cycling instead",Cmd.ActivityCycle,skip my aerobics do my cycling instead,aerobic cycl instead skip
"skip how to put them in, do the device settings instead",Help_DeviceSettings,skip how to put them in do the device settings instead,device how in instead put setting skip them
"how reminders work is not what i wanted, a new reminder is",reminders.add,how reminders work is not what i wanted a new reminder is,how new not reminder want what work
not the cros system — i meant the tinnitus masker,Help_Tinnitus,not the cros system i meant the tinnitus masker,cros masker meant not system tinnitu
"the tinnitus masker is not what i wanted, the cros system is",Help_WiCROS,the tinnitus masker is not what i wanted the cros system is,cros masker not system tinnitu want what
"a different program is not what i wanted, how to change programs is",Help_ChangingMemories,a different program is not what i wanted how to change programs is,change different how not program want what
not edge mode — i meant mask mode,Help_MaskMode,not edge mode i meant mask mode,edge mask meant mode not
"skip the cros system, do edge mode instead",Help_EdgeMode,skip the cros system do edge mode instead,cros edge instead mode skip system
"i am not after my standing time, i am after my running",Cmd.ActivityRun,i am not after my standing time i am after my running,after am not runn stand time
"streaming started is not what i wanted, help with my tv streamer is",Help_Accessories,streaming started is not what i wanted help with my tv streamer is,help not start stream streamer tv want what with
"how the volume works is not what i wanted, quieter is",Cmd.VolumeDecrease,how the volume works is not what i wanted quieter is,how not quieter volume want what work
"my hearing aid found is not what i wanted, my phone found is",Cmd.FindMyPhone,my hearing aid found is not what i wanted my phone found is,aid found hear not phone want what
not my step count — i meant my workout,Cmd.ActivityExercise,not my step count i meant my workout,count meant not step workout
"i am not after to share my data, i am after a remote appointment",Help_HearingCareAnywhereConnect,i am not after to share my data i am after a remote appointment,after am appointment data not remote share
"my running is not what i wanted, my cycling is",Cmd.ActivityCycle,my running is not what i wanted my cycling is,cycl not runn want what
"my running is not what i wanted, my aerobics is",Cmd.ActivityAerobics,my running is not what i wanted my aerobics is,aerobic not runn want what
"demo mode is not what i wanted, edge mode is",Help_EdgeMode,demo mode is not what i wanted edge mode is,demo edge mode not want what
"skip my workout, do my running instead",Cmd.ActivityRun,skip my workout do my running instead,instead runn skip workout
"how to clean them is not what i wanted, the device settings is",Help_DeviceSettings,how to clean them is not what i wanted the device settings is,clean device how not setting them want what
"i am not after my step count, i am after my cycling",Cmd.ActivityCycle,i am not after my step count i am after my cycling,after am count cycl not step
"skip my walking, do my step count instead",Cmd.ActivityStep,skip my walking do my step count instead,count instead skip step walk
not edge mode — i meant demo mode,Help_DemoMode,not edge mode i meant demo mode,demo edge meant mode not
not my running — i meant my cycling,Cmd.ActivityCycle,not my running i meant my cycling,cycl meant not runn
"skip the device settings, do how to put them in instead",Help_InsertDevice,skip the device settings do how to put them in instead,device how in instead put setting skip them
"how to clean them is not what i wanted, a self check is",Help_SelfCheck,how to clean them is not what i wanted a self check is,check clean how not self them want what
"how to personalise the sound is not what i wanted, a different program is",Cmd.MemoryChange,how to personalise the sound is not what i wanted a different program is,different how not personalise program sound want what
"i am not after to pair them, i am after the basics",Help_Home,i am not after to pair them i am after the basics,after am basic not pair them
"skip the cros system, do mask mode instead",Help_MaskMode,skip the cros system do mask mode instead,cros instead mask mode skip system
"skip to translate, do how translate works instead",Help_Translate,skip to translate do how translate works instead,how instead skip translate work
"my workout is not what i wanted, my running is",Cmd.ActivityRun,my workout is not what i wanted my running is,not runn want what workout
"i am not after my walking, i am after my workout",Cmd.ActivityExercise,i am not after my walking i am after my workout,after am not walk workout
"skip unmuted, do muted instead",Cmd.VolumeMute,skip unmuted do muted instead,instead mut skip unmut
not quieter — i meant louder,Cmd.VolumeIncrease,not quieter i meant louder,louder meant not quieter
"what is new is not what i wanted, the basics is",Help_Home,what is new is not what i wanted the basics is,basic new not want what
not my walking — i meant my calories,Cmd.ActivityCalories,not my walking i meant my calories,calori meant not walk
"skip a remote adjustment, do a remote appointment instead",Help_HearingCareAnywhereConnect,skip a remote adjustment do a remote appointment instead,adjustment appointment instead remote skip
not my calories — i meant my aerobics,Cmd.ActivityAerobics,not my calories i meant my aerobics,aerobic calori meant not
"the tinnitus masker is not what i wanted, demo mode is",Help_DemoMode,the tinnitus masker is not what i wanted demo mode is,demo masker mode not tinnitu want what
not my workout — i meant my running,Cmd.ActivityRun,not my workout i meant my running,meant not runn workout
"how the volume works is not what i wanted, louder is",Cmd.VolumeIncrease,how the volume works is not what i wanted louder is,how louder not volume want what work
"skip speech enhancement, do demo mode instead",Help_DemoMode,skip speech enhancement do demo mode instead,demo enhancement instead mode skip speech
not my calories — i meant my step count,Cmd.ActivityStep,not my calories i meant my step count,calori count meant not step
"skip my walking, do my workout instead",Cmd.ActivityExercise,skip my walking do my workout instead,instead skip walk workout
"i am not after my calories, i am after my walking",Cmd.ActivityWalk,i am not after my calories i am after my walking,after am calori not walk
"i am not after my standing time, i am after my cycling",Cmd.ActivityCycle,i am not after my standing time i am after my cycling,after am cycl not stand time
"skip my heart rate recovery, do my activity summary instead",Help_Health,skip my heart rate recovery do my activity summary instead,activity heart instead rate recovery skip summary
"skip what is new, do to pair them instead",Help_Pairing,skip what is new do to pair them instead,instead new pair skip them what
not the voice assistant — i meant the app settings,Help_AppSettings,not the voice assistant i meant the app settings,app assistant meant not setting voice
"my standing time is not what i wanted, my workout is",Cmd.ActivityExercise,my standing time is not what i wanted my workout is,not stand time want what workout
not quieter — i meant unmuted,Cmd.VolumeUnmute,not quieter i meant unmuted,meant not quieter unmut
"the basics is not what i wanted, the voice assistant is",Help_VoiceAssistant,the basics is not what i wanted the voice assistant is,assistant basic not voice want what
"i am not after my standing time, i am after my walking",Cmd.ActivityWalk,i am not after my standing time i am after my walking,after am not stand time walk
"i am not after my cycling, i am after my running",Cmd.ActivityRun,i am not after my cycling i am after my running,after am cycl not runn
not my cycling — i meant my standing time,Cmd.ActivityStand,not my cycling i meant my standing time,cycl meant not stand time
"skip a remote appointment, do a remote adjustment instead",Help_RemoteProgramming,skip a remote appointment do a remote adjustment instead,adjustment appointment instead remote skip
"skip the voice assistant, do what is new instead",Help_WhatsNew,skip the voice assistant do what is new instead,assistant instead new skip voice what
"skip the basics, do the voice assistant instead",Help_VoiceAssistant,skip the basics do the voice assistant instead,assistant basic instead skip voice
"skip the app settings, do to pair them instead",Help_Pairing,skip the app settings do to pair them instead,app instead pair setting skip them
"my heart rate recovery is not what i wanted, my score is",Help_ThriveScore,my heart rate recovery is not what i wanted my score is,heart not rate recovery score want what
not my heart rate — i meant my heart rate recovery,Help_HeartRateRecovery,not my heart rate i meant my heart rate recovery,heart meant not rate recovery
"to transcribe is not what i wanted, how transcribe works is",Help_Transcribe,to transcribe is not what i wanted how transcribe works is,how not transcribe want what work
"a new reminder is not what i wanted, that reminder marked done is",reminders.complete,a new reminder is not what i wanted that reminder marked done is,done mark new not reminder want what
not a new reminder — i meant that reminder marked done,reminders.complete,not a new reminder i meant that reminder marked done,done mark meant new not reminder
"i am not after how to personalise the sound, i am after a different program",Cmd.MemoryChange,i am not after how to personalise the sound i am after a different program,after am different how not personalise program sound
"skip help with my tv streamer, do streaming started instead",Cmd.StreamingStart,skip help with my tv streamer do streaming started instead,help instead skip start stream streamer tv with
"i am not after that reminder marked done, i am after a new reminder",reminders.add,i am not after that reminder marked done i am after a new reminder,after am done mark new not reminder
"skip louder, do unmuted instead",Cmd.VolumeUnmute,skip louder do unmuted instead,instead louder skip unmut
"skip demo mode, do edge mode instead",Help_EdgeMode,skip demo mode do edge mode instead,demo edge instead mode skip
"i am not after how the volume works, i am after quieter",Cmd.VolumeDecrease,i am not after how the volume works i am after quieter,after am how not quieter volume work
"how to personalise the sound is not what i wanted, how to make a new program is",Help_MemoryOptions,how to personalise the sound is not what i wanted how to make a new program is,how make new not personalise program sound want what
"skip my score, do my heart rate instead",Help_HeartRate,skip my score do my heart rate instead,heart instead rate score skip
"demo mode is not what i wanted, the tinnitus masker is",Help_Tinnitus,demo mode is not what i wanted the tinnitus masker is,demo masker mode not tinnitu want what
"i am not after unmuted, i am after how the volume works",Help_Volume,i am not after unmuted i am after how the volume works,after am how not unmut volume work
"skip my workout, do my step count instead",Cmd.ActivityStep,skip my workout do my step count instead,count instead skip step workout
not my aerobics — i meant my running,Cmd.ActivityRun,not my aerobics i meant my running,aerobic meant not runn
"i am not after the cros system, i am after speech enhancement",Help_IntelliVoice,i am not after the cros system i am after speech enhancement,after am cros enhancement not speech system
"my standing time is not what i wanted, my step count is",Cmd.ActivityStep,my standing time is not what i wanted my step count is,count not stand step time want what
"i am not after a remote adjustment, i am after a remote appointment",Help_HearingCareAnywhereConnect,i am not after a remote adjustment i am after a remote appointment,adjustment after am appointment not remote
not speech enhancement — i meant demo mode,Help_DemoMode,not speech enhancement i meant demo mode,demo enhancement meant mode not speech
"i am not after the tinnitus masker, i am after the cros system",Help_WiCROS,i am not after the tinnitus masker i am after the cros system,after am cros masker not system tinnitu
not my workout — i meant my walking,Cmd.ActivityWalk,not my workout i meant my walking,meant not walk workout
not what is new — i meant to pair them,Help_Pairing,not what is new i meant to pair them,meant new not pair them what
"i am not after the voice assistant, i am after to pair them",Help_Pairing,i am not after the voice assistant i am after to pair them,after am assistant not pair them voice
"skip my workout, do my aerobics instead",Cmd.ActivityAerobics,skip my workout do my aerobics instead,aerobic instead skip workout
not my calories — i meant my workout,Cmd.ActivityExercise,not my calories i meant my workout,calori meant not workout
"i am not after my running, i am after my step count",Cmd.ActivityStep,i am not after my running i am after my step count,after am count not runn step
not demo mode — i meant mask mode,Help_MaskMode,not demo mode i meant mask mode,demo mask meant mode not
"skip mask mode, do the tinnitus masker instead",Help_Tinnitus,skip mask mode do the tinnitus masker instead,instead mask masker mode skip tinnitu
"i am not after a new reminder, i am after that reminder marked done",reminders.complete,i am not after a new reminder i am after that reminder marked done,after am done mark new not reminder
not a self check — i meant how to clean them,Help_CleanCare,not a self check i meant how to clean them,check clean how meant not self them
"skip how reminders work, do a new reminder instead",reminders.add,skip how reminders work do a new reminder instead,how instead new reminder skip work
