text,intent,pair_id,side,axis
how much energy did my gym session burn,Cmd.ActivityCalories,mp035,b,activity_type
did i reach my walking target,Cmd.ActivityWalk,mp036,a,activity_type
did i reach my upright target,Cmd.ActivityStand,mp036,b,activity_type
explain my heart rate reading,Help_HeartRate,mp037,a,health_metric
explain my heart rate recovery reading,Help_HeartRateRecovery,mp037,b,health_metric
where do i see my activity summary,Help_Health,mp038,a,health_metric
where do i see my engagement score,Help_ThriveScore,mp038,b,health_metric
what abilities does edge mode have,Help_EdgeMode,mp039,a,feature_swap
what abilities does mask mode have,Help_MaskMode,mp039,b,feature_swap
how do i turn on the tinnitus masker,Help_Tinnitus,mp040,a,feature_swap
how do i turn on speech enhancement,Help_IntelliVoice,mp040,b,feature_swap
how do i clean my aids,Help_CleanCare,mp041,a,feature_swap
how do i put in my aids,Help_InsertDevice,mp041,b,feature_swap
how do i pair my aids,Help_Pairing,mp042,a,feature_swap
how do i run a self check on my aids,Help_SelfCheck,mp042,b,feature_swap
how do i share my data with my son,Help_HearShare,mp043,a,feature_swap
how do i book a remote appointment,Help_HearingCareAnywhereConnect,mp043,b,feature_swap
