row,text,true_intent,pytorch_prediction,onnx_prediction,prediction_same,max_abs_logit_diff,mean_abs_logit_diff,cosine_similarity
27,can you set to auditorium program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.3841858e-06,6.6892244e-07,1.0
28,are these almost dead,Cmd.BatteryLevel,Default Fallback Intent,Default Fallback Intent,True,1.66893e-06,4.865752e-07,1.0
29,help me with thive assistant,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,True,1.9073486e-06,5.01121e-07,1.0
30,can you alexa learn my voice,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.861023e-06,8.9472326e-07,1.0000001
31,change to pub memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.939331e-07,1.0
32,lexus assembly to new,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,6.4074993e-07,1.0000001
33,please it's too low turn it up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,1.4305115e-06,5.474216e-07,1.0000001
34,please turn the engine off of,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.474294e-07,1.0
35,capture my running session,Cmd.ActivityRun,Cmd.ActivityWalk,Cmd.ActivityWalk,True,2.3841858e-06,6.214536e-07,1.0
36,how do i enable double tap on my aid?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,True,3.8146973e-06,8.838741e-07,0.9999998
37,start streaming remote to my hearing aids,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,True,1.4305115e-06,3.528569e-07,1.0000001
38,hearing aid,Default Fallback Intent,Help_FindMyHearingAids,Help_FindMyHearingAids,True,1.9073486e-06,6.099019e-07,0.99999994
39,can you search for my hearing aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,True,2.1457672e-06,8.1485825e-07,0.9999999
40,can you show me user manual for my accessory,Help_Accessories,Help_RemoteProgramming,Help_RemoteProgramming,True,2.861023e-06,7.3028764e-07,1.0000001
41,send a quick update,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,1.9073486e-06,5.484673e-07,1.0
42,please change to mask,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.3841858e-06,5.1582197e-07,1.0
43,can you finish my reminder.,reminders.complete,reminders.complete,reminders.complete,True,3.8146973e-06,8.361643e-07,1.0
44,can you switch program to theater,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,4.680141e-07,1.0000001
45,please they are trying to reduce the temperature right now,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,4.5906035e-07,0.99999994
46,send a message to a person,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,1.66893e-06,4.7657574e-07,1.0
47,turn off cable,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.211485e-07,1.0000001
48,how do i mute the aid?,Help_Volume,Help_InsertDevice,Help_InsertDevice,True,2.1457672e-06,6.8911334e-07,0.9999999
49,how do i connect my hearing aids,Help_Pairing,Help_Pairing,Help_Pairing,True,2.861023e-06,4.938297e-07,1.0
50,where would i cancel a fall alert text?,Help_FallAlert,Help_FallAlert,Help_FallAlert,True,9.536743e-07,4.0945514e-07,0.99999994
51,help with transcription,Help_Transcribe,Help_IntelliVoice,Help_IntelliVoice,True,2.861023e-06,7.489467e-07,1.0
52,send audio message,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,1.5497208e-06,4.2402954e-07,0.99999994
53,create a reminder for me,reminders.add,reminders.add,reminders.add,True,2.861023e-06,5.317362e-07,1.0
54,add mask as a customized memory,Help_MemoryOptions,Cmd.MemoryChange,Cmd.MemoryChange,True,1.66893e-06,5.036331e-07,1.0
55,phone missing,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,True,1.4305115e-06,4.9422187e-07,1.0000001
56,but i want to see,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.25462e-07,1.0
57,mute sound on hearing aids,Cmd.VolumeMute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,True,1.9073486e-06,6.263185e-07,0.99999994
58,how to run self check,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,True,1.9073486e-06,4.5533505e-07,0.99999994
59,can you sync car bluetooth to hearing aid,Help_Pairing,Help_Pairing,Help_Pairing,True,1.9073486e-06,5.8361246e-07,0.99999994
60,please cooking pork ribs on the bbq,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,4.882091e-07,1.0
61,can you west winds blowing it up,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.7965843e-07,1.0000001
62,how do i use self check,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,True,1.9073486e-06,5.518985e-07,1.0000001
63,please sorry i didn't give you a kiss,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.4305115e-06,5.0062675e-07,1.0
64,please record this meeting,Cmd.TranscribeStart,Cmd.TranscribeStart,Cmd.TranscribeStart,True,2.1457672e-06,7.8771916e-07,1.0
65,set a reminder for me please,reminders.add,reminders.add,reminders.add,True,2.3841858e-06,5.2154064e-07,0.9999999
66,how do i adjust my noise masker in my aid?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,True,2.1457672e-06,5.637116e-07,1.0
67,can my audiologist adjust my aid remotely?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,True,2.861023e-06,9.630855e-07,1.0000001
68,let me send a message,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,1.9073486e-06,5.1683503e-07,0.99999994
69,when should i use self-check?,Help_SelfCheck,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.472255e-07,1.0000001
70,how do i show the app without hearing aids?,Help_DemoMode,Help_DemoMode,Help_DemoMode,True,2.861023e-06,8.7498574e-07,1.0
71,where do i intercept an alert message text?,Help_FallAlert,Help_FallAlert,Help_FallAlert,True,2.1457672e-06,6.6849356e-07,1.0
72,my hearing aids are missing,Help_FindMyHearingAids,Help_DeviceSettings,Help_DeviceSettings,True,3.33786e-06,8.429613e-07,1.0
73,what are symptoms of ear wax buildup,Help_CleanCare,Help_CleanCare,Help_CleanCare,True,1.4305115e-06,4.932415e-07,1.0000001
74,please switch to worship,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,4.3174154e-07,0.9999999
75,please pairing aids on the app,Help_Pairing,Help_Pairing,Help_Pairing,True,1.5497208e-06,4.5878258e-07,1.0
76,what is the life cycle of a rechargeable hearing aid,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,3.8146973e-06,9.68837e-07,1.0
77,can you show me an overview of the thrive app,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,True,1.9073486e-06,5.9055657e-07,1.0000001
78,can you switch to work memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.8546952e-07,0.99999994
79,please not so loud,Cmd.VolumeDecrease,Default Fallback Intent,Default Fallback Intent,True,1.66893e-06,4.74901e-07,1.0
80,can i setup geotagging,Help_MemoryOptions,Default Fallback Intent,Default Fallback Intent,True,3.33786e-06,6.211687e-07,1.0000001
81,can you please remind me to call,reminders.add,reminders.add,reminders.add,True,2.861023e-06,7.384571e-07,1.0
82,can you calories working out,Cmd.ActivityExercise,Default Fallback Intent,Default Fallback Intent,True,2.861023e-06,7.33294e-07,0.9999999
83,set to worship program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,9.536743e-07,2.9848073e-07,0.99999994
84,please play my message,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,True,2.3841858e-06,4.6009683e-07,1.0
85,can you turn my left hearing aid off,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,True,1.66893e-06,6.5476877e-07,1.0
86,please help with self check,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,True,2.3841858e-06,7.346011e-07,1.0000001
87,cut off the streamed audio,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,True,2.1457672e-06,4.53309e-07,1.0
88,please switch setting to number three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.1143753e-07,0.99999994
89,please turn off source plugs,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.385332e-07,1.0000001
90,remember to work out,reminders.add,Default Fallback Intent,Default Fallback Intent,True,2.6226044e-06,7.6087423e-07,1.0
91,how do i enable mask mode for masks,Help_MaskMode,Help_MaskMode,Help_MaskMode,True,3.33786e-06,9.76941e-07,0.9999999
92,search for my hearing aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,True,3.8146973e-06,9.4818444e-07,1.0
93,i want to listen to the presenter,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,True,1.9073486e-06,5.863901e-07,0.9999999
94,how do i enable double tap on my hearing aid?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,True,1.9073486e-06,6.204896e-07,1.0
95,begin a message,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,True,2.026558e-06,4.713391e-07,0.99999994
96,let a friend hear what i hear,Help_HearShare,Help_HearShare,Help_HearShare,True,2.3841858e-06,6.451941e-07,1.0
97,can the hearing care specialist adjust my aids remotely?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,True,2.3841858e-06,7.200921e-07,0.9999999
98,how do i adjust the volume on my remote mic?,Help_Accessories,Help_Accessories,Help_Accessories,True,2.3841858e-06,5.8284456e-07,0.9999999
99,can you stream from the remote microphone,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,True,2.3841858e-06,6.0314164e-07,1.0000001
100,track my aerobic exercise,Cmd.ActivityAerobics,Cmd.ActivityAerobics,Cmd.ActivityAerobics,True,2.861023e-06,8.55575e-07,0.99999994
101,stop the audio stream,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,True,2.861023e-06,4.4102208e-07,1.0
102,are my hearing aids paired to the phone?,Help_Pairing,Help_Pairing,Help_Pairing,True,2.861023e-06,5.7559004e-07,0.99999994
103,can you set reminder for dinner with tom please,reminders.add,reminders.add,reminders.add,True,2.861023e-06,5.296448e-07,1.0
104,how will i know when the hearing specialist adjusted my hearing aid?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,True,3.8146973e-06,9.23872e-07,1.0
105,can you set to theater memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.3841858e-06,5.2925265e-07,1.0000001
106,can you remind me to wake up tomorrow,reminders.add,reminders.add,reminders.add,True,2.3841858e-06,5.929094e-07,1.0
107,please locate the nearest golf course,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,8.600846e-07,1.0000001
108,please remind me of my appointment,reminders.add,reminders.add,reminders.add,True,1.9073486e-06,5.6179994e-07,1.0000001
109,does a remote microphone work with my aids,Help_Accessories,Help_Accessories,Help_Accessories,True,2.3841858e-06,7.0872017e-07,1.0
110,lower the level,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,True,4.7683716e-06,7.8505593e-07,0.99999994
111,can you make my aid silent,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,True,4.2915344e-06,1.0007307e-06,1.0
112,can you it's different both of them are different,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,8.345304e-07,0.99999994
113,hearing care anywhere help,Help_HearingCareAnywhereConnect,Help_FindMyHearingAids,Help_FindMyHearingAids,True,2.3841858e-06,8.348572e-07,1.0000001
114,read my new texts aloud,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,True,1.9073486e-06,6.4369095e-07,1.0000001
115,silence the aids entirely,Cmd.VolumeMute,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,1.66893e-06,5.4036315e-07,1.0000001
116,what is thrive assistant,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,True,1.4305115e-06,4.4363634e-07,1.0
117,can you play last message,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,True,2.3841858e-06,4.5278617e-07,0.99999994
118,find the product name hearing aids starkly,Help_DeviceSettings,Help_Tinnitus,Help_Tinnitus,True,1.5497208e-06,4.2925802e-07,1.0000001
119,how to use edge mode,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,True,1.9073486e-06,6.1859424e-07,0.9999999
120,please my left ear doesn't work good,Help_SelfCheck,Default Fallback Intent,Default Fallback Intent,True,1.5497208e-06,6.3891997e-07,1.0000001
121,pairing my hearing aids with my app,Help_Pairing,Help_Pairing,Help_Pairing,True,2.861023e-06,7.669278e-07,1.0000001
122,what microphone accessories can stream to me,Help_Accessories,Help_Accessories,Help_Accessories,True,1.4305115e-06,4.770986e-07,0.99999994
123,can you new reminder about fitness,reminders.add,reminders.add,reminders.add,True,1.9073486e-06,6.5983386e-07,1.0
124,detect phone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,True,1.4305115e-06,5.2490645e-07,1.0000001
125,create reminder,reminders.add,reminders.complete,reminders.complete,True,1.66893e-06,5.512122e-07,1.0
126,please switch program to master,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.3841858e-06,5.904544e-07,1.0000001
127,how do i charge my hearing aid itc,Help_Battery,Help_Battery,Help_Battery,True,3.8146973e-06,1.20304e-06,1.0
128,can you switch setting to number three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.2651843e-07,1.0
129,set to auditorium memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,4.3396363e-07,0.9999999
130,please change settings to three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.1920929e-06,4.106969e-07,1.0000001
131,how much juice is left?,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,True,2.3841858e-06,7.25778e-07,1.0
132,why can't i easily turn the sound on my hearing aid app,Help_Volume,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,4.7448435e-07,1.0
133,please remind me to send out christmas cards every year on december 1st at 5 p.m.,reminders.add,reminders.add,reminders.add,True,1.9073486e-06,5.478137e-07,0.9999999
134,set program to pub,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.4037595e-07,0.99999994
135,how far have i jogged?,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,True,3.33786e-06,7.9838856e-07,1.0000001
136,please set setting to number one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,9.536743e-07,3.4053727e-07,1.0000001
137,how do i make eggs,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.861023e-06,7.6701764e-07,0.99999994
138,cut the wind noise with a setting,Help_EdgeMode,Help_Reminder,Help_Reminder,True,1.9073486e-06,6.670884e-07,1.0
139,what's the best way to clean my aids,Help_CleanCare,Help_CleanCare,Help_CleanCare,True,1.9073486e-06,4.9931964e-07,0.9999999
140,please change setting to two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.1920929e-06,3.5793832e-07,1.0000001
141,take me to quick start,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,True,3.33786e-06,6.7625456e-07,0.9999999
142,where can i see my daily goals,Help_Health,Help_Health,Help_Health,True,1.9073486e-06,4.6781804e-07,1.0000001
143,how does transcribe work,Help_Transcribe,Help_Transcribe,Help_Transcribe,True,1.4305115e-06,4.974896e-07,1.0
144,turn up my right aid,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,2.861023e-06,9.2883903e-07,1.0
145,hey google,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.861023e-06,6.3800496e-07,0.9999999
146,can you help with tinnitus volume adjustment in my aid,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,True,2.861023e-06,6.357829e-07,1.0
147,switch setting to number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,3.2233564e-07,1.0
148,let someone know about this,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,6.689837e-07,1.0000001
149,explain how edge mode works,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,True,1.9073486e-06,5.693812e-07,1.0
150,translate hebrew,Cmd.TranslationStart,Help_Translate,Help_Translate,True,2.3841858e-06,6.381357e-07,1.0
151,how can i use custom memories?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,True,2.6226044e-06,8.2760266e-07,1.0000001
152,can you pairing my aids,Help_Pairing,Help_Pairing,Help_Pairing,True,2.1457672e-06,5.476177e-07,1.0000001
153,can you have i stood an hour,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,True,2.3841858e-06,6.214699e-07,1.0000001
154,help finding my hearing aids feature,Help_FindMyHearingAids,Help_DeviceSettings,Help_DeviceSettings,True,3.8146973e-06,1.1285669e-06,1.0000001
155,can you david soul alert,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.319976e-07,0.9999999
156,activity goal,Cmd.ActivityAerobics,Cmd.VolumeIncrease,Cmd.VolumeIncrease,True,1.9073486e-06,4.642888e-07,1.0
157,set to pub memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,6.2662895e-07,0.99999994
158,wish you would have been with me it is so crowded on their john's pass you can't find a parking spot,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.4305115e-06,5.4062457e-07,1.0000001
159,can you change to music memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.3841858e-06,6.1171556e-07,1.0000001
160,can you change memory to work,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,2.1457672e-06,4.780789e-07,1.0
161,what's the charge on my aids,Cmd.BatteryLevel,Default Fallback Intent,Default Fallback Intent,True,4.7683716e-06,1.4812277e-06,0.99999994
162,nice to meet you,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,7.80481e-07,1.0000001
163,can you remind me i have a meeting,reminders.add,reminders.add,reminders.add,True,3.33786e-06,8.5928394e-07,1.0
164,explain how to schedule reminders,Help_Reminder,Help_HearShare,Help_HearShare,True,2.3841858e-06,6.0571915e-07,1.0000001
165,how many steps calories,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,True,1.9073486e-06,7.196999e-07,0.99999994
166,can you transcribe help,Help_Transcribe,Help_Transcribe,Help_Transcribe,True,1.4305115e-06,4.6141315e-07,1.0
167,can i use the app without a hearing aid,Help_DemoMode,Help_DemoMode,Help_DemoMode,True,4.7683716e-06,8.3204685e-07,1.0000001
168,please turn streaming on,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,True,1.4305115e-06,4.8023566e-07,1.0
169,can you turn on this is my life,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.4305115e-06,5.21704e-07,0.99999994
170,please search for my hearing aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,True,1.9073486e-06,6.2526055e-07,0.99999994
171,how do i increase the volume in just the left side?,Help_Volume,Help_Volume,Help_Volume,True,2.3841858e-06,7.3770553e-07,1.0000001
172,please remind about business meeting every monday at 4 p.m.,reminders.add,reminders.add,reminders.add,True,2.3841858e-06,5.6778e-07,1.0000001
173,reminder me every year to go to the doctor at 8 a.m.,reminders.add,reminders.add,reminders.add,True,1.9073486e-06,4.271666e-07,1.0
174,min sound,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,True,1.6242266e-06,6.176139e-07,0.99999994
175,please turn off tv,Default Fallback Intent,Cmd.StreamingStart,Cmd.StreamingStart,True,1.9073486e-06,6.1617607e-07,1.0
176,how do i unpair my aids from my phone?,Help_Pairing,Help_Accessories,Help_Accessories,True,1.9073486e-06,5.338276e-07,1.0
177,can i snooze a reminder,Help_Reminder,Help_Reminder,Help_Reminder,True,3.33786e-06,8.5224184e-07,1.0
178,bye bye,Default Fallback Intent,Cmd.TranscribeStart,Cmd.TranscribeStart,True,1.9073486e-06,4.1540255e-07,1.0000001
179,tell me what my step goal is,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,True,2.861023e-06,7.277387e-07,0.9999999
180,saab wanted control,Default Fallback Intent,Help_WiCROS,Help_WiCROS,True,3.33786e-06,5.9970637e-07,1.0
181,how do i use translate,Help_Translate,Help_Translate,Help_Translate,True,2.861023e-06,9.1027795e-07,1.0
182,remind me,reminders.add,reminders.add,reminders.add,True,2.3841858e-06,6.9604107e-07,0.9999999
183,speech program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.4305115e-06,3.4439736e-07,0.99999994
184,what's the score of the match,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.861023e-06,7.3264044e-07,1.0
185,can you ask my house,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,3.0994415e-06,9.251791e-07,1.0000001
186,kitchen program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.9073486e-06,4.6004067e-07,1.0000001
187,please turn my left hearing aid on,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,True,2.3841858e-06,7.3643105e-07,1.0000001
188,can you first washing machine,Default Fallback Intent,reminders.add,reminders.add,True,1.9073486e-06,6.083334e-07,1.0000001
189,how do i change the cros balance on the receiver?,Help_WiCROS,Help_WiCROS,Help_WiCROS,True,1.9073486e-06,6.4532486e-07,0.99999994
190,he forgot them and you need them let me know if i have a free afternoon i can drive over,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,6.4741624e-07,1.0000001
191,make things quieter,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,True,3.33786e-06,4.7775217e-07,1.0
192,how do i access mask mode,Help_MaskMode,Help_MaskMode,Help_MaskMode,True,2.861023e-06,7.280655e-07,1.0
193,how can i use my voice to talk to thrive,Help_VoiceAssistant,Help_Transcribe,Help_Transcribe,True,1.9073486e-06,6.580039e-07,1.0
194,where is the heart feature?,Help_HeartRate,Help_HeartRateRecovery,Help_HeartRateRecovery,True,2.861023e-06,7.976043e-07,0.9999999
195,how do i adjust the sensitivity of the double tap?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,True,1.9073486e-06,6.6107566e-07,1.0
196,battery life is getting shorter,Help_Battery,Cmd.BatteryLevel,Cmd.BatteryLevel,True,1.4305115e-06,5.2678547e-07,0.9999999
197,please play it again.,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,True,2.3841858e-06,5.062555e-07,1.0
198,what does the body score mean?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,True,1.4305115e-06,4.5030262e-07,1.0
199,can you assist me,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,2.3841858e-06,8.0247327e-07,1.0000001
200,how do i set reminders,Help_Reminder,Help_Reminder,Help_Reminder,True,3.33786e-06,7.70841e-07,1.0
201,can you set memory to two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,True,1.1920929e-06,3.7409757e-07,0.99999994
202,can you am i close enough to the car,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,True,1.9073486e-06,5.4539555e-07,0.9999999
203,can you adjusted with my phone,Default Fallback Intent,Cmd.FindMyPhone,Cmd.FindMyPhone,True,4.053116e-06,7.559725e-07,1.0000001
