text,intent,sklearn_prediction,onnx_prediction,sklearn_confidence,onnx_confidence,prediction_match
switch program to number three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99318635,0.9931864142417908,True
please i need to pair the hearing aid to my phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9852572,0.9852572679519653,True
can you unmute my hearing aids,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.8946695,0.8946697115898132,True
can you remind me to pick up prescription today at 5 p.m.,reminders.add,reminders.add,reminders.add,0.99174964,0.99174964427948,True
switch memory to music,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9912025,0.9912023544311523,True
what's my hearing aid's model?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.890486,0.8904858827590942,True
how do i increase the volume in my aids?,Help_Volume,Help_Volume,Help_Volume,0.9668968,0.9668967723846436,True
forward a message,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,0.96404374,0.9640434980392456,True
so that your hearing,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99248874,0.9924887418746948,True
right swift code of binary search,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9925045,0.9925041198730469,True
send communication,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.56877565,0.5687757730484009,True
please turn on streaming,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.80017984,0.8001800775527954,True
set the hearing aids differently,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.94846576,0.9484660625457764,True
switch program to four,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99177516,0.9917752146720886,True
what does the health screen show?,Help_Health,Help_Health,Help_Health,0.7745919,0.7745919823646545,True
please set memory to number one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.993792,0.9937919974327087,True
caring for and maintaining my aids,Help_CleanCare,Default Fallback Intent,Default Fallback Intent,0.87349224,0.8734922409057617,True
can you set reminder for 7 a.m. tomorrow about dinner please,reminders.add,reminders.add,reminders.add,0.99132806,0.9913280606269836,True
please change memory to four,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9934644,0.9934646487236023,True
how many calories have i burned doing aerobics?,Cmd.ActivityAerobics,Cmd.ActivityAerobics,Cmd.ActivityAerobics,0.8405148,0.8405144810676575,True
should i use rechargeable or disposable batteries,Help_Battery,Default Fallback Intent,Default Fallback Intent,0.48277465,0.4827745854854584,True
how do i get remote fine tuning,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.7703239,0.7703238725662231,True
the wind outside is overwhelming what can i do,Help_EdgeMode,Help_EdgeMode,Help_EdgeMode,0.5590567,0.5590567588806152,True
how do i relax at home,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99070686,0.9907070398330688,True
can i see my step goal,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,0.8887541,0.8887540102005005,True
how do i improve my kind score?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.9748799,0.974880039691925,True
can you switch to outdoors,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99297756,0.9929777979850769,True
can you change memory to train,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9941578,0.994157612323761,True
can you auditorium memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9946536,0.994653582572937,True
stop all audio,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.6168745,0.6168745160102844,True
i need help changing between my programs,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.93851286,0.938512921333313,True
how do i invite a person with hearshare?,Help_HearShare,Help_HearShare,Help_HearShare,0.95957494,0.9595749378204346,True
can you train memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9884437,0.9884436726570129,True
please where's my iphone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.83572674,0.8357268571853638,True
please start recording for me,Cmd.TranscribeStart,Cmd.TranscribeStart,Cmd.TranscribeStart,0.45349842,0.45349836349487305,True
the sound keeps cutting in and out,Help_DeviceSettings,Default Fallback Intent,Default Fallback Intent,0.4264575,0.4264575242996216,True
please set to telephone memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9919848,0.9919847846031189,True
please find my other hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9562451,0.9562448859214783,True
make sound quieter,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9549119,0.9549121260643005,True
how do i personalize my hearing aid memory?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.7380431,0.7380432486534119,True
can you locate my other hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.968954,0.9689542651176453,True
right,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.98720586,0.9872057437896729,True
please turn the lights on,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.98960096,0.9896010756492615,True
turn the volume down,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9585403,0.9585403800010681,True
please set reminder for tomorrow,reminders.add,reminders.add,reminders.add,0.9924305,0.9924303889274597,True
find my right aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9631634,0.9631633758544922,True
where is translate,Help_Translate,Help_Translate,Help_Translate,0.84836775,0.8483678102493286,True
show me a help guide for my accessories,Help_Accessories,Help_Accessories,Help_Accessories,0.9265751,0.9265751838684082,True
remind me to buy milk on tuesday at 8 p.m.,reminders.add,reminders.add,reminders.add,0.9911041,0.9911041855812073,True
how do i make a repeating reminder,Help_Reminder,Help_Reminder,Help_Reminder,0.8684557,0.868455708026886,True
can you turn the volume up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9646134,0.9646134972572327,True
how do i use the app without hearing aids?,Help_DemoMode,Help_DemoMode,Help_DemoMode,0.7042474,0.7042473554611206,True
turn on my left aid,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.83515805,0.835158109664917,True
how can i change the fall alert settings?,Help_AppSettings,Help_AppSettings,Help_AppSettings,0.51241845,0.5124184489250183,True
how do i adjust the volume on my accessories?,Help_Accessories,Help_Accessories,Help_Accessories,0.9231418,0.9231414794921875,True
how do i adjust my tinnitus masker in my aids?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9798109,0.979810893535614,True
pairing my aids with the thrive app,Help_Pairing,Help_Pairing,Help_Pairing,0.96797055,0.9679704904556274,True
can you i lost my aid. can you help me find it?,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.98146904,0.9814690947532654,True
how many calories did i burn with my steps,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,0.8974022,0.8974022269248962,True
how long does it take to measure heart rate recovery?,Help_HeartRateRecovery,Help_HeartRateRecovery,Help_HeartRateRecovery,0.79768544,0.7976855635643005,True
show me the jury,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9927135,0.9927133917808533,True
help me find my left hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.965037,0.9650370478630066,True
help me hear better in this crowd,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.95218575,0.9521857500076294,True
please have i reached my exercise goal,Cmd.ActivityExercise,Cmd.ActivityExercise,Cmd.ActivityExercise,0.80456275,0.8045629858970642,True
intelligent voice user guide,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.9335835,0.9335833787918091,True
please increase the volume,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9694183,0.9694181680679321,True
can you change hearing aids to car,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99439985,0.9943997263908386,True
activate my office program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9912247,0.9912243485450745,True
tell me the battery percentage,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.8559965,0.855996310710907,True
what should i see when i'm there,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9887011,0.9887009859085083,True
that to-do is finished mark it complete,reminders.complete,reminders.complete,reminders.complete,0.85917205,0.8591720461845398,True
can you i need to pair the hearing aids with the phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9830719,0.9830719232559204,True
i need some guidance,Help_Home,Help_Home,Help_Home,0.73052883,0.7305285930633545,True
please more volume on hearing aid,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.8622067,0.8622065782546997,True
please i cannot find my right aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.981604,0.9816038608551025,True
explain bluetooth pairing,Help_Pairing,Help_Pairing,Help_Pairing,0.9635931,0.963593065738678,True
please help with tinnitus noise adjustment in my hearing aid,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9845754,0.9845755100250244,True
how do i make a custom memory?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.9277844,0.9277843832969666,True
i know new orleans returning it down,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99400735,0.9940075874328613,True
stream what i hear to a family member,Help_HearShare,Help_HearShare,Help_HearShare,0.6707735,0.670773446559906,True
can you change program to auditorium,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99494135,0.9949413537979126,True
what is my walking goal?,Cmd.ActivityWalk,Cmd.ActivityWalk,Cmd.ActivityWalk,0.9355503,0.9355499744415283,True
can you remind me to pick up my prescription at 5 p.m. on wednesday,reminders.add,reminders.add,reminders.add,0.9906323,0.9906322360038757,True
how do i increase the volume,Help_Volume,Help_Volume,Help_Volume,0.95441604,0.954416036605835,True
switch memory to master,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98157525,0.9815753102302551,True
stream the television audio,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.90506375,0.9050637483596802,True
how do i delete a program,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.8789217,0.8789215683937073,True
can you turn it down,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.97752064,0.9775206446647644,True
help putting in my hearing aids,Help_InsertDevice,Help_InsertDevice,Help_InsertDevice,0.8554288,0.8554288148880005,True
how do i access virtual assistant?,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,0.81687444,0.8168744444847107,True
please restaurant near me,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99739206,0.9973920583724976,True
can you switch memory to outdoors,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9942608,0.9942609071731567,True
i want to be reminded,reminders.add,reminders.add,reminders.add,0.99222046,0.9922204613685608,True
how do i turn up the loudness in just the right hearing aid?,Help_Volume,Help_Volume,Help_Volume,0.96269506,0.9626950621604919,True
how do i customize my right hearing aid?,Help_Customize,Help_Customize,Help_Customize,0.9383088,0.938308835029602,True
please remind me at 7 p.m. on november 11 to do homework,reminders.add,reminders.add,reminders.add,0.9909506,0.9909505844116211,True
what is voice assistant,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,0.9257156,0.9257155656814575,True
please complete my latest reminder,reminders.complete,reminders.complete,reminders.complete,0.9402477,0.9402477145195007,True
do reminders sync to my hearing aids,Help_Reminder,Help_Reminder,Help_Reminder,0.6889938,0.6889938712120056,True
how do i turn off a reminder,Help_Reminder,Help_Reminder,Help_Reminder,0.8924267,0.8924267292022705,True
how do i test my left hearing aid,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9586282,0.9586280584335327,True
debony logging up,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99444205,0.9944421052932739,True
switch to restaurant,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98983836,0.9898385405540466,True
please turn my right hearing aid off,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.95227635,0.952276349067688,True
i've lost my hearing aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.96549183,0.9654918909072876,True
how do i change memories on my aids?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.91108197,0.9110819697380066,True
who won the ipl?,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9926354,0.9926355481147766,True
reduce the loudness,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.96231824,0.9623184204101562,True
translate what i'm hearing,Cmd.TranslationStart,Cmd.TranslationStart,Cmd.TranslationStart,0.6619319,0.6619318723678589,True
how do i turn,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9936702,0.9936704039573669,True
put the tv sound in my ears,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.82873386,0.8287336230278015,True
where can i get my hearing checked,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.83579075,0.8357908725738525,True
how do i adjust my loudness of the tinnitus masker in my hearing aids?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9775013,0.9775012731552124,True
guide me on connecting with my clinician,Help_HearingCareAnywhereConnect,Help_RemoteProgramming,Help_RemoteProgramming,0.725106,0.7251061201095581,True
what is mask mode,Help_MaskMode,Help_MaskMode,Help_MaskMode,0.9167337,0.9167337417602539,True
will it notice if i take a tumble,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.5816197,0.5816197991371155,True
need to set a reminder,reminders.add,reminders.add,reminders.add,0.991356,0.9913560748100281,True
how do i adjust my tinnitus masker settings?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9641513,0.9641513228416443,True
please set program to number four,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9945344,0.9945344924926758,True
can you remind me everyday to read a book at 6 p.m.,reminders.add,reminders.add,reminders.add,0.99105144,0.991051435470581,True
setup a reminder,reminders.add,reminders.add,reminders.add,0.9879921,0.9879918694496155,True
what is my battery strength,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.6815195,0.6815194487571716,True
add to reminder,reminders.add,reminders.add,reminders.add,0.986169,0.9861689805984497,True
how do i get to,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.990602,0.9906018972396851,True
please change to work,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99289954,0.992899477481842,True
can you help with tinnitus stimulus adjustment on my aids,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9846718,0.9846716523170471,True
send an email,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.9855971,0.9855971932411194,True
how much charge do i have left,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.90409136,0.9040911197662354,True
when do i stop a manual alert message?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.96663386,0.9666340351104736,True
are my aids running low on power,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.7097252,0.7097250819206238,True
do not let me forget to pay the rent tomorrow,reminders.add,reminders.add,reminders.add,0.9877188,0.9877188801765442,True
reactivate my hearing aid sound,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.93281835,0.9328180551528931,True
can you memory three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99349535,0.9934952259063721,True
please set memory to tinnitus,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9909157,0.9909157752990723,True
can you wendy's double tapped it and has not worked,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9862996,0.9862995743751526,True
can you i need help pairing to my phone,Help_Pairing,Help_Pairing,Help_Pairing,0.9586248,0.9586247801780701,True
please going to call them in and see whether they want me to send this enormous,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9926992,0.992699384689331,True
personal memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9846563,0.984656035900116,True
find my cell for me,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.8922128,0.8922129273414612,True
make sure i remember this tonight,reminders.add,reminders.add,reminders.add,0.9868591,0.9868590831756592,True
help with loudness changes,Help_Volume,Help_Volume,Help_Volume,0.94399804,0.9439980983734131,True
can you set memory to theater,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99372125,0.9937208890914917,True
let me hear the tv through my aids,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.97379565,0.9737958312034607,True
how do i play notifications through my aid?,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.78440034,0.7844004034996033,True
does translate save conversations,Help_Translate,Help_Translate,Help_Translate,0.86085194,0.8608519434928894,True
can you help with white noise adjustments,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.95177466,0.9517745971679688,True
settling into a busy restaurant,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.7267288,0.7267286777496338,True
please set program to tinnitus,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9941638,0.9941638112068176,True
please turn down the loudness on my aids,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9889591,0.9889588356018066,True
change memory to kitchen,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99278545,0.9927855730056763,True
can you you know where they have the check we have to have to shift to put in there. that's fine.,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.994079,0.9940789937973022,True
guide me on sharing what i hear,Help_HearShare,Help_HearShare,Help_HearShare,0.94316906,0.9431691765785217,True
back off the volume,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.6560856,0.6560856699943542,True
please change to pub,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99320894,0.9932087063789368,True
can you set setting to four,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98995423,0.9899541139602661,True
end the music stream,Cmd.StreamingStop,Cmd.StreamingStop,Cmd.StreamingStop,0.9326846,0.932684600353241,True
can you change memory to pub,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9943435,0.9943432807922363,True
remind me in a while,reminders.add,reminders.add,reminders.add,0.9908105,0.9908105134963989,True
can you play frank sinatra,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9954275,0.9954273700714111,True
can you remind me to go to the doctor,reminders.add,reminders.add,reminders.add,0.99373525,0.9937351942062378,True
can you kitchen program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9948447,0.9948446750640869,True
i don't know what i what you doing this missing a different,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9942709,0.994270920753479,True
how does heart rate recovery work?,Help_HeartRateRecovery,Help_HeartRateRecovery,Help_HeartRateRecovery,0.913593,0.913593053817749,True
please it's bothering you about the fit,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9968394,0.9968394637107849,True
what's up with you,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9970831,0.997083306312561,True
help with dnn speech enhancement,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.9325502,0.9325501918792725,True
please test hearing aids,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.7688357,0.7688356041908264,True
how do i stop streaming from the remote mic?,Help_Accessories,Help_Accessories,Help_Accessories,0.94961154,0.949611485004425,True
switch to meeting memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9938061,0.9938062429428101,True
set to kitchen memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98839605,0.9883958697319031,True
how do i perform a dnn speech enhancement?,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.9303975,0.9303973317146301,True
can you change setting to number three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9945245,0.9945247769355774,True
explain adjusting volume per ear,Help_Volume,Help_Volume,Help_Volume,0.954453,0.9544529914855957,True
please it smooths down is forced down,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9934993,0.9934994578361511,True
can you sound bar,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99118793,0.9911880493164062,True
"please this jena fuller. can you trying to fill out way, too?",Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9947008,0.9947009086608887,True
how do i use accessories with my hearing aids,Help_Accessories,Help_Accessories,Help_Accessories,0.9483742,0.9483740925788879,True
go up in volume,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.95948887,0.9594888687133789,True
remind me for tomorrow,reminders.add,reminders.add,reminders.add,0.9916236,0.99162358045578,True
please start tv stream,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.974619,0.9746190309524536,True
can you turn the lights on,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9915735,0.9915735125541687,True
can i change the name of the accessory?,Help_Accessories,Help_Accessories,Help_Accessories,0.92389387,0.9238937497138977,True
read me what people sent,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.6349413,0.6349412798881531,True
how would i stop an alert text?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.9653627,0.9653626084327698,True
what sounds will i hear in my hearing aid if i fall?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.95314324,0.953143298625946,True
please tell me about english language,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99336857,0.9933688640594482,True
can you remind me to go to bed in 5 minutes,reminders.add,reminders.add,reminders.add,0.9920095,0.9920095205307007,True
set an alarm for doctor's appointment tomorrow morning,reminders.add,reminders.add,reminders.add,0.65605026,0.6560503244400024,True
i have news to text a contact,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.9536113,0.953611433506012,True
help me find my phone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.9661284,0.9661286473274231,True
please go to meeting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.98728174,0.9872815012931824,True
set to home memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.96960604,0.9696060419082642,True
stream from my tv now,Cmd.StreamingStart,Cmd.StreamingStart,Cmd.StreamingStart,0.9574565,0.957456648349762,True
guide me through pairing,Help_Pairing,Help_Pairing,Help_Pairing,0.93144816,0.931448221206665,True
can you detect android phone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.95013654,0.9501365423202515,True
please remind me to go running at 6 a.m.,reminders.add,reminders.add,reminders.add,0.99211955,0.9921196699142456,True
can you misplaced telephone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.937192,0.9371917843818665,True
how long have i stood,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,0.93376917,0.933769166469574,True
reminder me to take medicine in 2 minutes,reminders.add,reminders.add,reminders.add,0.990155,0.9901549816131592,True
please help me find my iphone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.9597967,0.9597969651222229,True
how do i get more information on the thrive score?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.950408,0.9504079818725586,True
please show me the transcribe user guide,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.950213,0.9502131342887878,True
how much juice is left,Cmd.BatteryLevel,Cmd.BatteryLevel,Cmd.BatteryLevel,0.6908115,0.6908116340637207,True
how often should i use intelligent voice?,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.9129477,0.9129473567008972,True
how to clean my ric hearing aid?,Help_CleanCare,Help_CleanCare,Help_CleanCare,0.8909471,0.8909469842910767,True
please so do i unable to caesar,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9941969,0.9941970705986023,True
please play the microphone,Cmd.StreamingStart,Default Fallback Intent,Default Fallback Intent,0.4046931,0.4046931266784668,True
increase volume,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9071983,0.9071981906890869,True
i need to pair my hearing aids to my phone,Help_Pairing,Help_Pairing,Help_Pairing,0.98452294,0.9845229387283325,True
begin tracking my walk,Cmd.ActivityWalk,Cmd.ActivityWalk,Cmd.ActivityWalk,0.86267585,0.862675666809082,True
how do i turn mask mode off?,Help_MaskMode,Help_MaskMode,Help_MaskMode,0.9479176,0.9479175806045532,True
can i leave a note for somebody?,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,0.9241736,0.9241736531257629,True
there is a problem with my right hearing aid,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9374676,0.9374674558639526,True
i'm in a big echoey room now,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99178547,0.9917857646942139,True
decrease hearing,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.8308673,0.8308672904968262,True
don't let me forget my appointment,reminders.add,reminders.add,reminders.add,0.9783829,0.9783827662467957,True
