issue,text,intent,detail
duplicate_same_label,how do i make my hearing aid softer?,Help_Volume,normalized duplicate
duplicate_same_label,have i reached my exercise goal?,Cmd.ActivityExercise,normalized duplicate
duplicate_same_label,how long have i been exercising?,Cmd.ActivityExercise,normalized duplicate
duplicate_same_label,how much longer do i need to exercise today?,Cmd.ActivityExercise,normalized duplicate
duplicate_same_label,show me my exercise goal?,Cmd.ActivityExercise,normalized duplicate
duplicate_same_label,how many minutes have i been working out?,Cmd.ActivityExercise,normalized duplicate
duplicate_same_label,how do i use my hearing aids with an accessory?,Help_Accessories,normalized duplicate
duplicate_same_label,have i reached my stand goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how long do i have to stand?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how do i connect my hearing aids,Help_Pairing,normalized duplicate
duplicate_same_label,how long have i been standing up?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how long have i been standing?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,can i see my stand goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,do i need to stand longer to reach my goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,have i stood an hour?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how long have i stood this month?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how long have i stood this week?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,how much longer do i need to stand?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,show me how long i've stood?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,show me my stand goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,show me my standing goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,show me my standing history?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,stand goal?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,tell me what my stand goal is?,Cmd.ActivityStand,normalized duplicate
duplicate_same_label,can i see my step goal?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,how many more steps do i need today?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,how many more steps to reach my goal?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,how many steps have i taken this month?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,how many steps have i taken this week?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,how many steps have i taken today?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,show me my step count?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,show me my step goal?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,step goal?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,steps taken?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,tell me what my step count is?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,tell me what my step goal is?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,what is my step count for the month?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,what is my step count for the week?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,what is my step count?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,what is my step goal?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,what percentage of my step goal have i taken today?,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,reminder for 4.15 p.m. today visit grandma please,reminders.add,normalized duplicate
duplicate_same_label,do not let me forget,reminders.add,normalized duplicate
duplicate_same_label,i'd like to send a message,Cmd.SendMessage,normalized duplicate
duplicate_same_label,how much battery do i have?,Cmd.BatteryLevel,normalized duplicate
duplicate_same_label,how much power is left,Cmd.BatteryLevel,normalized duplicate
duplicate_same_label,what's my step count,Cmd.ActivityStep,normalized duplicate
duplicate_same_label,complete my reminder,reminders.complete,normalized duplicate
duplicate_same_label,how do i adjust the volume,Help_Volume,normalized duplicate
duplicate_same_label,can i add a new memory,Help_MemoryOptions,normalized duplicate
duplicate_same_label,how does remote programming work,Help_RemoteProgramming,normalized duplicate
duplicate_same_label,how do i improve my thrive score,Help_ThriveScore,normalized duplicate
duplicate_same_label,how does intellivoice work,Help_IntelliVoice,normalized duplicate
duplicate_same_label,when should i use intellivoice,Help_IntelliVoice,normalized duplicate
duplicate_same_label,what's new in the app,Help_WhatsNew,normalized duplicate
duplicate_same_label,i don't know how to use this app,Help_Home,normalized duplicate
duplicate_same_label,is there a translation feature,Help_Translate,normalized duplicate
duplicate_same_label,how does transcribe work,Help_Transcribe,normalized duplicate
duplicate_same_label,how is heart rate recovery measured,Help_HeartRateRecovery,normalized duplicate
duplicate_same_label,how do i turn on mask mode,Help_MaskMode,normalized duplicate
duplicate_same_label,what is edge mode,Help_EdgeMode,normalized duplicate
duplicate_same_label,what does edge mode do,Help_EdgeMode,normalized duplicate
duplicate_same_label,how do i use edge mode,Help_EdgeMode,normalized duplicate
duplicate_same_label,what is demo mode,Help_DemoMode,normalized duplicate
duplicate_same_label,how do i enable demo mode,Help_DemoMode,normalized duplicate
duplicate_same_label,what's the meaning of life,Default Fallback Intent,normalized duplicate
duplicate_same_label,how tall is mount everest,Default Fallback Intent,normalized duplicate
duplicate_same_label,what's the capital of japan,Default Fallback Intent,normalized duplicate
duplicate_same_label,how much juice is left,Cmd.BatteryLevel,normalized duplicate
duplicate_same_label,where are my hearing aids,Help_FindMyHearingAids,normalized duplicate
duplicate_same_label,what are my options,Help_Home,normalized duplicate
near_dup_cross_intent,change to work,Cmd.MemoryChange,Cmd.MemoryChange|Default Fallback Intent
near_dup_cross_intent,please change to work,Cmd.MemoryChange,Cmd.MemoryChange|Default Fallback Intent
near_dup_cross_intent,can you change to work,Cmd.MemoryChange,Cmd.MemoryChange|Default Fallback Intent
near_dup_cross_intent,that works to change it,Default Fallback Intent,Cmd.MemoryChange|Default Fallback Intent
near_dup_cross_intent,how do i use,Default Fallback Intent,Default Fallback Intent|Help_Home
near_dup_cross_intent,how do i use this,Help_Home,Default Fallback Intent|Help_Home
