text,intent,sklearn_prediction,onnx_prediction,prediction_match,sklearn_confidence,onnx_confidence,confidence_diff
switch memory to music,Cmd.MemoryChange,11,11,True,0.9912025,0.99120235,1.1920929e-07
what's my hearing aid's model?,Help_DeviceSettings,29,29,True,0.890486,0.8904864,4.172325e-07
how do i increase the volume in my aids?,Help_Volume,52,52,True,0.9668968,0.96689653,2.3841858e-07
forward a message,Cmd.SendMessage,12,12,True,0.96404374,0.96404374,0.0
so that your hearing,Default Fallback Intent,21,21,True,0.99248874,0.99248874,0.0
right swift code of binary search,Default Fallback Intent,21,21,True,0.9925045,0.9925041,3.5762787e-07
send communication,Cmd.SendMessage,21,21,True,0.56877565,0.568775,6.556511e-07
please turn on streaming,Cmd.StreamingStart,13,13,True,0.80017984,0.80018294,3.0994415e-06
set the hearing aids differently,Cmd.MemoryChange,11,11,True,0.94846576,0.94846535,4.172325e-07
switch program to four,Cmd.MemoryChange,11,11,True,0.99177516,0.9917752,5.9604645e-08
what does the health screen show?,Help_Health,33,33,True,0.7745919,0.77459246,5.364418e-07
please set memory to number one,Cmd.MemoryChange,11,11,True,0.993792,0.993792,0.0
caring for and maintaining my aids,Help_CleanCare,21,21,True,0.87349224,0.8734932,9.536743e-07
can you set reminder for 7 a.m. tomorrow about dinner please,reminders.add,55,55,True,0.99132806,0.99132806,0.0
please change memory to four,Cmd.MemoryChange,11,11,True,0.9934644,0.99346465,2.3841858e-07
how many calories have i burned doing aerobics?,Cmd.ActivityAerobics,0,0,True,0.8405148,0.84051424,5.364418e-07
should i use rechargeable or disposable batteries,Help_Battery,21,21,True,0.48277465,0.4827758,1.1622906e-06
how do i get remote fine tuning,Help_RemoteProgramming,45,45,True,0.7703239,0.77032393,5.9604645e-08
the wind outside is overwhelming what can i do,Help_EdgeMode,30,30,True,0.5590567,0.5590567,0.0
how do i relax at home,Default Fallback Intent,21,21,True,0.99070686,0.9907071,2.3841858e-07
can i see my step goal,Cmd.ActivityStep,6,6,True,0.8887541,0.8887545,3.5762787e-07
how do i improve my kind score?,Help_ThriveScore,47,47,True,0.9748799,0.97488004,1.1920929e-07
can you switch to outdoors,Cmd.MemoryChange,11,11,True,0.99297756,0.9929778,2.3841858e-07
can you change memory to train,Cmd.MemoryChange,11,11,True,0.9941578,0.9941576,1.7881393e-07
can you auditorium memory,Cmd.MemoryChange,11,11,True,0.9946536,0.99465346,1.1920929e-07
stop all audio,Cmd.VolumeMute,19,19,True,0.6168745,0.6168774,2.861023e-06
i need help changing between my programs,Help_ChangingMemories,25,25,True,0.93851286,0.93851316,2.9802322e-07
how do i invite a person with hearshare?,Help_HearShare,34,34,True,0.95957494,0.9595748,1.1920929e-07
can you train memory,Cmd.MemoryChange,11,11,True,0.9884437,0.9884437,0.0
please where's my iphone,Cmd.FindMyPhone,9,9,True,0.83572674,0.8357263,4.172325e-07
please start recording for me,Cmd.TranscribeStart,15,15,True,0.45349842,0.45350176,3.33786e-06
the sound keeps cutting in and out,Help_DeviceSettings,21,21,True,0.4264575,0.42645732,1.7881393e-07
please set to telephone memory,Cmd.MemoryChange,11,11,True,0.9919848,0.9919848,0.0
please find my other hearing aid,Help_FindMyHearingAids,32,32,True,0.9562451,0.9562448,2.9802322e-07
make sound quieter,Cmd.VolumeDecrease,17,17,True,0.9549119,0.9549121,2.3841858e-07
how do i personalize my hearing aid memory?,Help_MemoryOptions,42,42,True,0.7380431,0.7380446,1.4901161e-06
can you locate my other hearing aid,Help_FindMyHearingAids,32,32,True,0.968954,0.9689543,2.9802322e-07
right,Default Fallback Intent,21,21,True,0.98720586,0.98720574,1.1920929e-07
please turn the lights on,Default Fallback Intent,21,21,True,0.98960096,0.98960096,0.0
turn the volume down,Cmd.VolumeDecrease,17,17,True,0.9585403,0.95853996,3.5762787e-07
please set reminder for tomorrow,reminders.add,55,55,True,0.9924305,0.9924304,1.1920929e-07
find my right aid,Help_FindMyHearingAids,32,32,True,0.9631634,0.9631634,0.0
where is translate,Help_Translate,50,50,True,0.84836775,0.84836745,2.9802322e-07
show me a help guide for my accessories,Help_Accessories,22,22,True,0.9265751,0.9265754,2.9802322e-07
remind me to buy milk on tuesday at 8 p.m.,reminders.add,55,55,True,0.9911041,0.9911042,5.9604645e-08
how do i make a repeating reminder,Help_Reminder,44,44,True,0.8684557,0.8684554,2.9802322e-07
can you turn the volume up,Cmd.VolumeIncrease,18,18,True,0.9646134,0.9646132,1.7881393e-07
how do i use the app without hearing aids?,Help_DemoMode,28,28,True,0.7042474,0.70424724,1.7881393e-07
turn on my left aid,Cmd.VolumeUnmute,20,20,True,0.83515805,0.83515996,1.9073486e-06
how can i change the fall alert settings?,Help_AppSettings,23,23,True,0.51241845,0.51241946,1.013279e-06
how do i adjust the volume on my accessories?,Help_Accessories,22,22,True,0.9231418,0.92314136,4.172325e-07
how do i adjust my tinnitus masker in my aids?,Help_Tinnitus,48,48,True,0.9798109,0.9798109,0.0
pairing my aids with the thrive app,Help_Pairing,43,43,True,0.96797055,0.9679705,5.9604645e-08
can you i lost my aid. can you help me find it?,Help_FindMyHearingAids,32,32,True,0.98146904,0.9814691,5.9604645e-08
how many calories did i burn with my steps,Cmd.ActivityStep,6,6,True,0.8974022,0.89740217,5.9604645e-08
how long does it take to measure heart rate recovery?,Help_HeartRateRecovery,37,37,True,0.79768544,0.79768574,2.9802322e-07
show me the jury,Default Fallback Intent,21,21,True,0.9927135,0.9927135,0.0
help me find my left hearing aid,Help_FindMyHearingAids,32,32,True,0.965037,0.9650371,1.1920929e-07
help me hear better in this crowd,Cmd.MemoryChange,11,11,True,0.95218575,0.9521859,1.7881393e-07
please have i reached my exercise goal,Cmd.ActivityExercise,3,3,True,0.80456275,0.8045622,5.364418e-07
intelligent voice user guide,Help_IntelliVoice,40,40,True,0.9335835,0.9335832,2.9802322e-07
please increase the volume,Cmd.VolumeIncrease,18,18,True,0.9694183,0.96941817,1.1920929e-07
can you change hearing aids to car,Cmd.MemoryChange,11,11,True,0.99439985,0.9943997,1.1920929e-07
activate my office program,Cmd.MemoryChange,11,11,True,0.9912247,0.99122435,3.5762787e-07
tell me the battery percentage,Cmd.BatteryLevel,8,8,True,0.8559965,0.855996,4.7683716e-07
what should i see when i'm there,Default Fallback Intent,21,21,True,0.9887011,0.988701,1.1920929e-07
that to-do is finished mark it complete,reminders.complete,56,56,True,0.85917205,0.85917234,2.9802322e-07
can you i need to pair the hearing aids with the phone,Help_Pairing,43,43,True,0.9830719,0.9830719,0.0
i need some guidance,Help_Home,38,38,True,0.73052883,0.730528,8.34465e-07
please more volume on hearing aid,Cmd.VolumeIncrease,18,18,True,0.8622067,0.8622065,1.7881393e-07
please i cannot find my right aid,Help_FindMyHearingAids,32,32,True,0.981604,0.98160386,1.1920929e-07
explain bluetooth pairing,Help_Pairing,43,43,True,0.9635931,0.9635932,5.9604645e-08
please help with tinnitus noise adjustment in my hearing aid,Help_Tinnitus,48,48,True,0.9845754,0.9845755,1.1920929e-07
how do i make a custom memory?,Help_MemoryOptions,42,42,True,0.9277844,0.92778426,1.1920929e-07
i know new orleans returning it down,Default Fallback Intent,21,21,True,0.99400735,0.9940076,2.3841858e-07
stream what i hear to a family member,Help_HearShare,34,34,True,0.6707735,0.67077386,3.5762787e-07
can you change program to auditorium,Cmd.MemoryChange,11,11,True,0.99494135,0.99494135,0.0
what is my walking goal?,Cmd.ActivityWalk,7,7,True,0.9355503,0.9355503,0.0
can you remind me to pick up my prescription at 5 p.m. on wednesday,reminders.add,55,55,True,0.9906323,0.9906322,1.1920929e-07
how do i increase the volume,Help_Volume,52,52,True,0.95441604,0.954416,5.9604645e-08
switch memory to master,Cmd.MemoryChange,11,11,True,0.98157525,0.9815747,5.364418e-07
stream the television audio,Cmd.StreamingStart,13,13,True,0.90506375,0.90506315,5.9604645e-07
how do i delete a program,Help_MemoryOptions,42,42,True,0.8789217,0.8789215,1.7881393e-07
can you turn it down,Cmd.VolumeDecrease,17,17,True,0.97752064,0.9775207,5.9604645e-08
help putting in my hearing aids,Help_InsertDevice,39,39,True,0.8554288,0.8554289,5.9604645e-08
how do i access virtual assistant?,Help_VoiceAssistant,51,51,True,0.81687444,0.81687444,0.0
please restaurant near me,Default Fallback Intent,21,21,True,0.99739206,0.99739206,0.0
can you switch memory to outdoors,Cmd.MemoryChange,11,11,True,0.9942608,0.99426097,1.7881393e-07
i want to be reminded,reminders.add,55,55,True,0.99222046,0.9922205,5.9604645e-08
how do i turn up the loudness in just the right hearing aid?,Help_Volume,52,52,True,0.96269506,0.96269494,1.1920929e-07
how do i customize my right hearing aid?,Help_Customize,27,27,True,0.9383088,0.9383087,5.9604645e-08
please remind me at 7 p.m. on november 11 to do homework,reminders.add,55,55,True,0.9909506,0.9909506,0.0
what is voice assistant,Help_VoiceAssistant,51,51,True,0.9257156,0.9257155,1.1920929e-07
please complete my latest reminder,reminders.complete,56,56,True,0.9402477,0.9402479,1.7881393e-07
do reminders sync to my hearing aids,Help_Reminder,44,44,True,0.6889938,0.6889926,1.1920929e-06
how do i turn off a reminder,Help_Reminder,44,44,True,0.8924267,0.89242667,5.9604645e-08
how do i test my left hearing aid,Help_SelfCheck,46,46,True,0.9586282,0.95862806,1.1920929e-07
debony logging up,Default Fallback Intent,21,21,True,0.99444205,0.99444205,0.0
switch to restaurant,Cmd.MemoryChange,11,11,True,0.98983836,0.98983854,1.7881393e-07
please turn my right hearing aid off,Cmd.VolumeMute,19,19,True,0.95227635,0.95227647,1.1920929e-07
i've lost my hearing aids,Help_FindMyHearingAids,32,32,True,0.96549183,0.965492,1.7881393e-07
how do i change memories on my aids?,Help_ChangingMemories,25,25,True,0.91108197,0.91108197,0.0
who won the ipl?,Default Fallback Intent,21,21,True,0.9926354,0.99263567,2.3841858e-07
reduce the loudness,Cmd.VolumeDecrease,17,17,True,0.96231824,0.9623184,1.7881393e-07
translate what i'm hearing,Cmd.TranslationStart,16,16,True,0.6619319,0.6619323,4.172325e-07
how do i turn,Default Fallback Intent,21,21,True,0.9936702,0.9936704,1.7881393e-07
put the tv sound in my ears,Cmd.StreamingStart,13,13,True,0.82873386,0.8287348,9.536743e-07
where can i get my hearing checked,Default Fallback Intent,21,21,True,0.83579075,0.83578974,1.013279e-06
how do i adjust my loudness of the tinnitus masker in my hearing aids?,Help_Tinnitus,48,48,True,0.9775013,0.9775013,0.0
guide me on connecting with my clinician,Help_HearingCareAnywhereConnect,45,45,True,0.725106,0.7251055,4.7683716e-07
what is mask mode,Help_MaskMode,41,41,True,0.9167337,0.91673374,5.9604645e-08
will it notice if i take a tumble,Help_FallAlert,31,31,True,0.5816197,0.5816191,5.9604645e-07
need to set a reminder,reminders.add,55,55,True,0.991356,0.99135613,1.1920929e-07
how do i adjust my tinnitus masker settings?,Help_Tinnitus,48,48,True,0.9641513,0.9641514,5.9604645e-08
please set program to number four,Cmd.MemoryChange,11,11,True,0.9945344,0.9945345,1.1920929e-07
can you remind me everyday to read a book at 6 p.m.,reminders.add,55,55,True,0.99105144,0.99105144,0.0
setup a reminder,reminders.add,55,55,True,0.9879921,0.98799187,2.3841858e-07
what is my battery strength,Cmd.BatteryLevel,8,8,True,0.6815195,0.6815203,7.748604e-07
add to reminder,reminders.add,55,55,True,0.986169,0.98616886,1.1920929e-07
how do i get to,Default Fallback Intent,21,21,True,0.990602,0.9906019,1.1920929e-07
please change to work,Cmd.MemoryChange,11,11,True,0.99289954,0.99289954,0.0
can you help with tinnitus stimulus adjustment on my aids,Help_Tinnitus,48,48,True,0.9846718,0.98467165,1.1920929e-07
send an email,Cmd.SendMessage,21,21,True,0.9855971,0.9855972,1.1920929e-07
how much charge do i have left,Cmd.BatteryLevel,8,8,True,0.90409136,0.9040914,5.9604645e-08
when do i stop a manual alert message?,Help_FallAlert,31,31,True,0.96663386,0.9666339,5.9604645e-08
are my aids running low on power,Cmd.BatteryLevel,8,8,True,0.7097252,0.7097252,0.0
do not let me forget to pay the rent tomorrow,reminders.add,55,55,True,0.9877188,0.9877188,0.0
reactivate my hearing aid sound,Cmd.VolumeUnmute,20,20,True,0.93281835,0.9328182,1.7881393e-07
can you memory three,Cmd.MemoryChange,11,11,True,0.99349535,0.9934952,1.1920929e-07
please set memory to tinnitus,Cmd.MemoryChange,11,11,True,0.9909157,0.99091583,1.1920929e-07
can you wendy's double tapped it and has not worked,Default Fallback Intent,21,21,True,0.9862996,0.98629963,5.9604645e-08
can you i need help pairing to my phone,Help_Pairing,43,43,True,0.9586248,0.9586248,0.0
please going to call them in and see whether they want me to send this enormous,Default Fallback Intent,21,21,True,0.9926992,0.9926992,0.0
personal memory,Cmd.MemoryChange,11,11,True,0.9846563,0.98465616,1.1920929e-07
find my cell for me,Cmd.FindMyPhone,9,9,True,0.8922128,0.8922124,4.172325e-07
make sure i remember this tonight,reminders.add,55,55,True,0.9868591,0.9868591,0.0
help with loudness changes,Help_Volume,52,52,True,0.94399804,0.9439979,1.1920929e-07
can you set memory to theater,Cmd.MemoryChange,11,11,True,0.99372125,0.9937209,3.5762787e-07
let me hear the tv through my aids,Cmd.StreamingStart,13,13,True,0.97379565,0.97379595,2.9802322e-07
how do i play notifications through my aid?,Help_DeviceSettings,29,29,True,0.78440034,0.7844005,1.7881393e-07
does translate save conversations,Help_Translate,50,50,True,0.86085194,0.8608529,9.536743e-07
can you help with white noise adjustments,Help_Tinnitus,48,48,True,0.95177466,0.9517747,5.9604645e-08
settling into a busy restaurant,Cmd.MemoryChange,11,11,True,0.7267288,0.7267274,1.3709068e-06
please set program to tinnitus,Cmd.MemoryChange,11,11,True,0.9941638,0.9941637,1.1920929e-07
please turn down the loudness on my aids,Cmd.VolumeDecrease,17,17,True,0.9889591,0.98895884,2.3841858e-07
change memory to kitchen,Cmd.MemoryChange,11,11,True,0.99278545,0.9927856,1.1920929e-07
can you you know where they have the check we have to have to shift to put in there. that's fine.,Default Fallback Intent,21,21,True,0.994079,0.9940789,1.1920929e-07
guide me on sharing what i hear,Help_HearShare,34,34,True,0.94316906,0.9431692,1.1920929e-07
back off the volume,Cmd.VolumeDecrease,17,17,True,0.6560856,0.6560854,2.3841858e-07
please change to pub,Cmd.MemoryChange,11,11,True,0.99320894,0.9932087,2.3841858e-07
can you set setting to four,Cmd.MemoryChange,11,11,True,0.98995423,0.9899541,1.1920929e-07
end the music stream,Cmd.StreamingStop,14,14,True,0.9326846,0.9326846,0.0
can you change memory to pub,Cmd.MemoryChange,11,11,True,0.9943435,0.99434316,3.5762787e-07
remind me in a while,reminders.add,55,55,True,0.9908105,0.9908105,0.0
can you play frank sinatra,Default Fallback Intent,21,21,True,0.9954275,0.99542737,1.1920929e-07
can you remind me to go to the doctor,reminders.add,55,55,True,0.99373525,0.9937352,5.9604645e-08
can you kitchen program,Cmd.MemoryChange,11,11,True,0.9948447,0.9948447,0.0
i don't know what i what you doing this missing a different,Default Fallback Intent,21,21,True,0.9942709,0.9942709,0.0
how does heart rate recovery work?,Help_HeartRateRecovery,37,37,True,0.913593,0.9135931,1.1920929e-07
please it's bothering you about the fit,Default Fallback Intent,21,21,True,0.9968394,0.99683946,5.9604645e-08
what's up with you,Default Fallback Intent,21,21,True,0.9970831,0.9970833,1.7881393e-07
help with dnn speech enhancement,Help_IntelliVoice,40,40,True,0.9325502,0.9325502,0.0
please test hearing aids,Help_SelfCheck,46,46,True,0.7688357,0.7688363,5.9604645e-07
how do i stop streaming from the remote mic?,Help_Accessories,22,22,True,0.94961154,0.9496112,3.5762787e-07
switch to meeting memory,Cmd.MemoryChange,11,11,True,0.9938061,0.99380624,1.1920929e-07
set to kitchen memory,Cmd.MemoryChange,11,11,True,0.98839605,0.9883959,1.1920929e-07
how do i perform a dnn speech enhancement?,Help_IntelliVoice,40,40,True,0.9303975,0.93039757,5.9604645e-08
can you change setting to number three,Cmd.MemoryChange,11,11,True,0.9945245,0.9945248,2.9802322e-07
explain adjusting volume per ear,Help_Volume,52,52,True,0.954453,0.9544533,2.9802322e-07
please it smooths down is forced down,Default Fallback Intent,21,21,True,0.9934993,0.99349946,1.7881393e-07
can you sound bar,Default Fallback Intent,21,21,True,0.99118793,0.99118805,1.1920929e-07
"please this jena fuller. can you trying to fill out way, too?",Default Fallback Intent,21,21,True,0.9947008,0.9947009,1.1920929e-07
how do i use accessories with my hearing aids,Help_Accessories,22,22,True,0.9483742,0.9483745,2.9802322e-07
go up in volume,Cmd.VolumeIncrease,18,18,True,0.95948887,0.95948887,0.0
remind me for tomorrow,reminders.add,55,55,True,0.9916236,0.9916236,0.0
please start tv stream,Cmd.StreamingStart,13,13,True,0.974619,0.9746191,1.1920929e-07
can you turn the lights on,Default Fallback Intent,21,21,True,0.9915735,0.99157345,5.9604645e-08
can i change the name of the accessory?,Help_Accessories,22,22,True,0.92389387,0.92389363,2.3841858e-07
read me what people sent,Cmd.ListenMessage,10,10,True,0.6349413,0.63494384,2.5629997e-06
how would i stop an alert text?,Help_FallAlert,31,31,True,0.9653627,0.9653626,1.1920929e-07
what sounds will i hear in my hearing aid if i fall?,Help_FallAlert,31,31,True,0.95314324,0.95314336,1.1920929e-07
please tell me about english language,Default Fallback Intent,21,21,True,0.99336857,0.99336886,2.9802322e-07
can you remind me to go to bed in 5 minutes,reminders.add,55,55,True,0.9920095,0.9920095,0.0
set an alarm for doctor's appointment tomorrow morning,reminders.add,55,55,True,0.65605026,0.6560487,1.5497208e-06
i have news to text a contact,Cmd.SendMessage,21,21,True,0.9536113,0.9536109,4.172325e-07
help me find my phone,Cmd.FindMyPhone,9,9,True,0.9661284,0.9661286,1.7881393e-07
please go to meeting,Cmd.MemoryChange,11,11,True,0.98728174,0.9872815,2.3841858e-07
set to home memory,Cmd.MemoryChange,11,11,True,0.96960604,0.9696063,2.3841858e-07
stream from my tv now,Cmd.StreamingStart,13,13,True,0.9574565,0.9574564,1.1920929e-07
guide me through pairing,Help_Pairing,43,43,True,0.93144816,0.93144774,4.172325e-07
can you detect android phone,Cmd.FindMyPhone,9,9,True,0.95013654,0.9501364,1.1920929e-07
please remind me to go running at 6 a.m.,reminders.add,55,55,True,0.99211955,0.99211967,1.1920929e-07
can you misplaced telephone,Cmd.FindMyPhone,9,9,True,0.937192,0.9371916,4.172325e-07
how long have i stood,Cmd.ActivityStand,5,5,True,0.93376917,0.93376887,2.9802322e-07
reminder me to take medicine in 2 minutes,reminders.add,55,55,True,0.990155,0.990155,0.0
please help me find my iphone,Cmd.FindMyPhone,9,9,True,0.9597967,0.9597969,1.7881393e-07
how do i get more information on the thrive score?,Help_ThriveScore,47,47,True,0.950408,0.9504081,1.1920929e-07
please show me the transcribe user guide,Help_Transcribe,49,49,True,0.950213,0.95021325,2.3841858e-07
how much juice is left,Cmd.BatteryLevel,8,8,True,0.6908115,0.690811,5.364418e-07
how often should i use intelligent voice?,Help_IntelliVoice,40,40,True,0.9129477,0.91294783,1.1920929e-07
how to clean my ric hearing aid?,Help_CleanCare,26,26,True,0.8909471,0.89094675,3.5762787e-07
please so do i unable to caesar,Default Fallback Intent,21,21,True,0.9941969,0.9941971,1.7881393e-07
please play the microphone,Cmd.StreamingStart,21,21,True,0.4046931,0.4046927,3.874302e-07
increase volume,Cmd.VolumeIncrease,18,18,True,0.9071983,0.9071983,0.0
i need to pair my hearing aids to my phone,Help_Pairing,43,43,True,0.98452294,0.98452294,0.0
begin tracking my walk,Cmd.ActivityWalk,7,7,True,0.86267585,0.86267626,4.172325e-07
how do i turn mask mode off?,Help_MaskMode,41,41,True,0.9479176,0.9479176,0.0
can i leave a note for somebody?,Cmd.SendMessage,12,12,True,0.9241736,0.9241742,5.9604645e-07
there is a problem with my right hearing aid,Help_SelfCheck,46,46,True,0.9374676,0.93746746,1.1920929e-07
i'm in a big echoey room now,Cmd.MemoryChange,11,11,True,0.99178547,0.99178576,2.9802322e-07
decrease hearing,Cmd.VolumeDecrease,17,17,True,0.8308673,0.8308655,1.7881393e-06
don't let me forget my appointment,reminders.add,55,55,True,0.9783829,0.9783829,0.0
how can i change the smart assistant settings?,Help_AppSettings,23,23,True,0.44624713,0.44624737,2.3841858e-07
set program to music,Cmd.MemoryChange,11,11,True,0.99359375,0.99359363,1.1920929e-07
thanks for my child when i was a little girl with a grandfather who taught me the heart of my face,Default Fallback Intent,21,21,True,0.9959462,0.9959464,1.7881393e-07
mute memory,Cmd.MemoryChange,11,11,True,0.91742724,0.91742873,1.4901161e-06
"can you hey spec, hello good stats heart. i didn't get that coverage. but the cardboard that was hanging in the fall.",Default Fallback Intent,21,21,True,0.9937828,0.9937829,5.9604645e-08
turn mask mode off,Help_MaskMode,21,21,True,0.88579845,0.88579863,1.7881393e-07
what's new in this thrive app?,Help_WhatsNew,53,53,True,0.88564014,0.88564,1.1920929e-07
self check help,Help_SelfCheck,46,46,True,0.96158135,0.96158135,0.0
where can i find tele here,Help_HearingCareAnywhereConnect,35,35,True,0.7933266,0.7933266,0.0
can you turn my left hearing aid on,Cmd.VolumeUnmute,20,20,True,0.94843704,0.9484368,2.3841858e-07
i'm interested in my location,Default Fallback Intent,21,21,True,0.9869372,0.9869373,5.9604645e-08
how is the ipro score calculated?,Help_ThriveScore,47,47,True,0.9659354,0.96593523,1.7881393e-07
switch program to school,Cmd.MemoryChange,11,11,True,0.9923195,0.99231964,1.1920929e-07
how many steps to my goal,Cmd.ActivityStep,6,6,True,0.83509153,0.8350912,3.5762787e-07
help with tinnitus stimulus adjustment on my aid,Help_Tinnitus,48,48,True,0.9826224,0.9826225,1.1920929e-07
can you don't make any noise for a minute,Default Fallback Intent,21,21,True,0.9928879,0.9928878,1.1920929e-07
how do i stop my phone ringing in my,Default Fallback Intent,21,21,True,0.65984255,0.65984195,5.9604645e-07
how do i delete the remote mic?,Help_Accessories,22,22,True,0.9662656,0.96626574,1.1920929e-07
can you no tv remote in fry's app,Default Fallback Intent,21,21,True,0.9929167,0.9929167,0.0
scan options,Default Fallback Intent,21,21,True,0.64511,0.64511144,1.4305115e-06
change to gym,Cmd.MemoryChange,11,11,True,0.9901607,0.9901607,0.0
set a reminder for 5 minutes,reminders.add,55,55,True,0.98868144,0.98868155,1.1920929e-07
how do i change tinnitus levels,Help_Tinnitus,48,48,True,0.9583537,0.9583536,1.1920929e-07
can you remind me to watch,reminders.add,55,55,True,0.992811,0.99281096,5.9604645e-08
please create a new reminder,reminders.add,55,55,True,0.98209214,0.9820921,5.9604645e-08
speech is too sharp,Cmd.VolumeDecrease,17,17,True,0.83495295,0.83495396,1.013279e-06
remind me in 15 minutes to go to the bar,reminders.add,55,55,True,0.9898113,0.9898113,0.0
why can't i submit another help request?,Help_RemoteProgramming,45,45,True,0.32089403,0.32089412,8.940697e-08
is there a daily reminder option,Help_Reminder,44,44,True,0.612534,0.6125315,2.503395e-06
can you make things easier to hear?,Cmd.VolumeIncrease,18,18,True,0.70336944,0.7033692,2.3841858e-07
please telephone audio input,Default Fallback Intent,21,21,True,0.99529546,0.9952956,1.1920929e-07
can you set an alarm for 15 minutes,reminders.add,55,55,True,0.71558607,0.71558684,7.748604e-07
please angry orchard beer,Default Fallback Intent,21,21,True,0.9963653,0.99636567,3.5762787e-07
can you program four,Cmd.MemoryChange,11,11,True,0.9925357,0.9925358,1.1920929e-07
what can i ask?,Default Fallback Intent,21,21,True,0.9592772,0.9592776,3.5762787e-07
can i access the cloud?,Help_HearingCareAnywhereConnect,35,35,True,0.6454419,0.6454418,1.1920929e-07
how to change my health goals?,Help_Health,33,33,True,0.88751084,0.8875111,2.3841858e-07
how will i know when my hearing specialist adjusted my aid?,Help_RemoteProgramming,45,45,True,0.9745715,0.9745713,2.3841858e-07
please i want to create a new memory?,Help_MemoryOptions,42,42,True,0.9221164,0.9221165,1.1920929e-07
how do i check to see if my hearing aid is working?,Help_SelfCheck,46,46,True,0.9365006,0.9365007,1.1920929e-07
hey google turn on the master lamps,Default Fallback Intent,21,21,True,0.9973521,0.9973523,1.7881393e-07
did i hit my step goal,Cmd.ActivityStep,6,6,True,0.8839834,0.8839833,5.9604645e-08
can you locate my aid,Help_FindMyHearingAids,32,32,True,0.9414651,0.9414648,2.9802322e-07
change my hearing aid memory,Cmd.MemoryChange,11,11,True,0.994372,0.9943717,2.9802322e-07
"please i'm just like oh, so that's the point that down.",Default Fallback Intent,21,21,True,0.9934,0.9934,0.0
order a pizza,Default Fallback Intent,21,21,True,0.99465865,0.9946585,1.1920929e-07
please tap and then you see like restaurant where you as a question sure you can set it to different mode so you can hear better,Default Fallback Intent,21,21,True,0.9946418,0.9946418,0.0
please alter metal plates myrtle beach storm,Default Fallback Intent,21,21,True,0.9830064,0.9830064,0.0
how do i change my mini remote mic?,Help_Accessories,22,22,True,0.9444243,0.9444245,2.3841858e-07
how far have i ran?,Cmd.ActivityRun,4,4,True,0.877504,0.87750375,2.3841858e-07
can you change settings to three,Cmd.MemoryChange,11,11,True,0.9931859,0.9931858,5.9604645e-08
can you monthly,Default Fallback Intent,21,21,True,0.994802,0.99480194,5.9604645e-08
turn up the sound,Cmd.VolumeIncrease,18,18,True,0.8933332,0.893333,1.7881393e-07
how do i turn the volume up,Help_Volume,52,52,True,0.91692525,0.91692555,2.9802322e-07
did i hit my aerobics target,Cmd.ActivityAerobics,0,0,True,0.88995486,0.8899553,4.172325e-07
total silence please,Cmd.VolumeMute,19,19,True,0.8676175,0.86761785,3.5762787e-07
how to share hearing aid information with my son?,Help_HearShare,34,34,True,0.9187962,0.9187963,1.1920929e-07
