text,intent,true_id,pred_id,true_intent,pred_intent,confidence
track down my mobile,Cmd.FindMyPhone,9,4,Cmd.FindMyPhone,Cmd.ActivityRun,0.21547435224056244
can you recover iphone,Cmd.FindMyPhone,9,21,Cmd.FindMyPhone,Default Fallback Intent,0.436708927154541
find my cell for me,Cmd.FindMyPhone,9,21,Cmd.FindMyPhone,Default Fallback Intent,0.51589435338974
can you listen again.,Cmd.ListenMessage,10,21,Cmd.ListenMessage,Default Fallback Intent,0.3884311020374298
can you let me hear it.,Cmd.ListenMessage,10,20,Cmd.ListenMessage,Cmd.VolumeUnmute,0.39259639382362366
apply wind noise reduction,Cmd.MemoryChange,11,18,Cmd.MemoryChange,Cmd.VolumeIncrease,0.16333582997322083
set my aids for a party,Cmd.MemoryChange,11,12,Cmd.MemoryChange,Cmd.SendMessage,0.16980652511119843
set my aids for a noisy party,Cmd.MemoryChange,11,40,Cmd.MemoryChange,Help_IntelliVoice,0.17610697448253632
dial in the mode for traffic noise,Cmd.MemoryChange,11,35,Cmd.MemoryChange,Help_HearingCareAnywhereConnect,0.19513332843780518
set the hearing aids differently,Cmd.MemoryChange,11,29,Cmd.MemoryChange,Help_DeviceSettings,0.21691517531871796
i'm in a big echoey room now,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.23168055713176727
help me hear better in this crowd,Cmd.MemoryChange,11,55,Cmd.MemoryChange,reminders.add,0.251666396856308
activate the noisy environment setting,Cmd.MemoryChange,11,10,Cmd.MemoryChange,Cmd.ListenMessage,0.26051196455955505
use a different listening setup,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.2778022587299347
adjust my aids for this loud place,Cmd.MemoryChange,11,53,Cmd.MemoryChange,Help_WhatsNew,0.28291836380958557
this setting doesn't suit this place,Cmd.MemoryChange,11,38,Cmd.MemoryChange,Help_Home,0.32342633605003357
i'm outdoors now,Cmd.MemoryChange,11,13,Cmd.MemoryChange,Cmd.StreamingStart,0.34719884395599365
load my driving profile,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.37236928939819336
i'm at the gym now,Cmd.MemoryChange,11,56,Cmd.MemoryChange,reminders.complete,0.4386238753795624
set my hearing for a busy street,Cmd.MemoryChange,11,55,Cmd.MemoryChange,reminders.add,0.4531594216823578
i'm in the car now,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.4609098434448242
please go to meeting,Cmd.MemoryChange,11,15,Cmd.MemoryChange,Cmd.TranscribeStart,0.5368905067443848
i just sat down somewhere really loud,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.5376984477043152
can you go to meeting,Cmd.MemoryChange,11,15,Cmd.MemoryChange,Cmd.TranscribeStart,0.5396426320075989
select a different memory,Cmd.MemoryChange,11,42,Cmd.MemoryChange,Help_MemoryOptions,0.5905893445014954
choose a different memory,Cmd.MemoryChange,11,42,Cmd.MemoryChange,Help_MemoryOptions,0.5905893445014954
i'm about to join a phone call,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.6068209409713745
use the outdoor profile,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.6418574452400208
i just took a seat in a noisy cafe,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.6727716326713562
i'm now seated in a loud coffee shop,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.7125765085220337
i'm settling in for tv time,Cmd.MemoryChange,11,13,Cmd.MemoryChange,Cmd.StreamingStart,0.7215710282325745
i'm getting in the car now,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.7323911786079407
mask mode,Cmd.MemoryChange,11,41,Cmd.MemoryChange,Help_MaskMode,0.7918080687522888
set it up for a concert hall,Cmd.MemoryChange,11,21,Cmd.MemoryChange,Default Fallback Intent,0.8583759069442749
tell my son i said hello,Cmd.SendMessage,12,6,Cmd.SendMessage,Cmd.ActivityStep,0.13923931121826172
let someone know i am running late,Cmd.SendMessage,12,21,Cmd.SendMessage,Default Fallback Intent,0.3420393764972687
let my friend know i'm on my way,Cmd.SendMessage,12,10,Cmd.SendMessage,Cmd.ListenMessage,0.37845271825790405
message my husband,Cmd.SendMessage,12,10,Cmd.SendMessage,Cmd.ListenMessage,0.5904327630996704
wireless hearing aid connection,Cmd.StreamingStart,13,43,Cmd.StreamingStart,Help_Pairing,0.19535911083221436
use the audio streamer,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.24191179871559143
transmit the sound wirelessly,Cmd.StreamingStart,13,18,Cmd.StreamingStart,Cmd.VolumeIncrease,0.3007374107837677
use hearing aid streaming,Cmd.StreamingStart,13,46,Cmd.StreamingStart,Help_SelfCheck,0.3031104803085327
i want direct audio,Cmd.StreamingStart,13,19,Cmd.StreamingStart,Cmd.VolumeMute,0.35328713059425354
stream the phone call,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.3830256462097168
tv steam,Cmd.StreamingStart,13,21,Cmd.StreamingStart,Default Fallback Intent,0.41023361682891846
stream the podcast,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.4784136414527893
send the sound to my aids,Cmd.StreamingStart,13,20,Cmd.StreamingStart,Cmd.VolumeUnmute,0.49026450514793396
stream from the microphone,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.5147222876548767
turn streaming on,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.5410030484199524
stream the music,Cmd.StreamingStart,13,14,Cmd.StreamingStart,Cmd.StreamingStop,0.5624836087226868
play the audio directly in my ears,Cmd.StreamingStart,13,19,Cmd.StreamingStart,Cmd.VolumeMute,0.5687432289123535
can you play the microphone,Cmd.StreamingStart,13,10,Cmd.StreamingStart,Cmd.ListenMessage,0.6072163581848145
can you stream from the remote mic,Cmd.StreamingStart,13,22,Cmd.StreamingStart,Help_Accessories,0.6417000889778137
shut off the streamed sound,Cmd.StreamingStop,14,19,Cmd.StreamingStop,Cmd.VolumeMute,0.23214808106422424
i'm done with the stream,Cmd.StreamingStop,14,13,Cmd.StreamingStop,Cmd.StreamingStart,0.4510863423347473
cut the tv connection to my aids,Cmd.StreamingStop,14,13,Cmd.StreamingStop,Cmd.StreamingStart,0.614274263381958
i'm finished listening to the stream,Cmd.StreamingStop,14,13,Cmd.StreamingStop,Cmd.StreamingStart,0.7849131226539612
turn speech into text,Cmd.TranscribeStart,15,9,Cmd.TranscribeStart,Cmd.FindMyPhone,0.25037795305252075
start captioning,Cmd.TranscribeStart,15,21,Cmd.TranscribeStart,Default Fallback Intent,0.3066634237766266
open transcription,Cmd.TranscribeStart,15,18,Cmd.TranscribeStart,Cmd.VolumeIncrease,0.3404501676559448
what is good morning in russian,Cmd.TranslationStart,16,17,Cmd.TranslationStart,Cmd.VolumeDecrease,0.18010631203651428
start translating what they say,Cmd.TranslationStart,16,15,Cmd.TranslationStart,Cmd.TranscribeStart,0.2678408622741699
they don't speak english help me understand them,Cmd.TranslationStart,16,21,Cmd.TranslationStart,Default Fallback Intent,0.27285194396972656
tell me what how much do i owe you is in español,Cmd.TranslationStart,16,21,Cmd.TranslationStart,Default Fallback Intent,0.4389297068119049
please translate for russian,Cmd.TranslationStart,16,50,Cmd.TranslationStart,Help_Translate,0.45439794659614563
i can't understand this foreign language,Cmd.TranslationStart,16,21,Cmd.TranslationStart,Default Fallback Intent,0.45514801144599915
i can't take how loud this is,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.1588836908340454
my ears are taking a beating,Cmd.VolumeDecrease,17,8,Cmd.VolumeDecrease,Cmd.BatteryLevel,0.19944031536579132
quiet it please,Cmd.VolumeDecrease,17,21,Cmd.VolumeDecrease,Default Fallback Intent,0.2136450558900833
muffle it a bit,Cmd.VolumeDecrease,17,21,Cmd.VolumeDecrease,Default Fallback Intent,0.26707565784454346
can you soften things a little?,Cmd.VolumeDecrease,17,21,Cmd.VolumeDecrease,Default Fallback Intent,0.28381145000457764
can you min sound,Cmd.VolumeDecrease,17,19,Cmd.VolumeDecrease,Cmd.VolumeMute,0.3031426668167114
make it softer please,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.304121196269989
quiet my hearing aids,Cmd.VolumeDecrease,17,19,Cmd.VolumeDecrease,Cmd.VolumeMute,0.3092043995857239
everything is coming in too hot,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.31381160020828247
make the sound quieter,Cmd.VolumeDecrease,17,20,Cmd.VolumeDecrease,Cmd.VolumeUnmute,0.3211402893066406
please quiet my hearing aids,Cmd.VolumeDecrease,17,19,Cmd.VolumeDecrease,Cmd.VolumeMute,0.3791603744029999
give me a little quiet,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.3839923143386841
drop the sound in my hearing aid,Cmd.VolumeDecrease,17,19,Cmd.VolumeDecrease,Cmd.VolumeMute,0.3940260410308838
please make the hearing aids quieter,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.39821651577949524
can you make sound quieter,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.41673266887664795
gentle on the volume,Cmd.VolumeDecrease,17,20,Cmd.VolumeDecrease,Cmd.VolumeUnmute,0.45289069414138794
decrease volume in my hearing aids,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.47144079208374023
get that volume out of my ear,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.47279074788093567
can you make volume lower,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.4887261390686035
speech is too sharp,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.5100683569908142
this is blasting my eardrums,Cmd.VolumeDecrease,17,21,Cmd.VolumeDecrease,Default Fallback Intent,0.6387518644332886
hush it up,Cmd.VolumeDecrease,17,18,Cmd.VolumeDecrease,Cmd.VolumeIncrease,0.6858757138252258
i keep missing words,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.23230747878551483
i'm struggling to hear people,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.2342991828918457
i need stronger audio,Cmd.VolumeIncrease,18,19,Cmd.VolumeIncrease,Cmd.VolumeMute,0.2705640494823456
the sound isn't strong enough,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.2847086191177368
people sound far away,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.29186704754829407
help me hear better,Cmd.VolumeIncrease,18,15,Cmd.VolumeIncrease,Cmd.TranscribeStart,0.31829264760017395
make voices stand out more,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.32976260781288147
boost the sound a little,Cmd.VolumeIncrease,18,20,Cmd.VolumeIncrease,Cmd.VolumeUnmute,0.34180325269699097
can you maximum sound,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.3505864441394806
i have to ask people to repeat themselves,Cmd.VolumeIncrease,18,10,Cmd.VolumeIncrease,Cmd.ListenMessage,0.36204245686531067
i can't hear the speaker well,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.3692706525325775
please turn my right hearing aid up,Cmd.VolumeIncrease,18,46,Cmd.VolumeIncrease,Help_SelfCheck,0.39488551020622253
the tv is on but i miss what they say,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.4312368929386139
louder please,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.44054412841796875
i'm missing half the conversation,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.4442145526409149
please more volume on hearing aid,Cmd.VolumeIncrease,18,20,Cmd.VolumeIncrease,Cmd.VolumeUnmute,0.461009681224823
can you increase the left hearing aid,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.46546730399131775
increase what i'm hearing,Cmd.VolumeIncrease,18,15,Cmd.VolumeIncrease,Cmd.TranscribeStart,0.4875621497631073
max sound,Cmd.VolumeIncrease,18,20,Cmd.VolumeIncrease,Cmd.VolumeUnmute,0.5024887919425964
the volume is too low,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5068362355232239
amplify things for me,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5113654732704163
everything is too low,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5342258214950562
the voices are hard to hear,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.5378167629241943
increase how loud it is,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.5679939389228821
this is barely audible,Cmd.VolumeIncrease,18,21,Cmd.VolumeIncrease,Default Fallback Intent,0.6336581707000732
the sound is too low,Cmd.VolumeIncrease,18,17,Cmd.VolumeIncrease,Cmd.VolumeDecrease,0.6688294410705566
i need complete silence now,Cmd.VolumeMute,19,20,Cmd.VolumeMute,Cmd.VolumeUnmute,0.21057827770709991
take everything to silence,Cmd.VolumeMute,19,18,Cmd.VolumeMute,Cmd.VolumeIncrease,0.2518557012081146
stop all audio,Cmd.VolumeMute,19,14,Cmd.VolumeMute,Cmd.StreamingStop,0.26289206743240356
can you silence,Cmd.VolumeMute,19,15,Cmd.VolumeMute,Cmd.TranscribeStart,0.277333527803421
silence,Cmd.VolumeMute,19,18,Cmd.VolumeMute,Cmd.VolumeIncrease,0.28348037600517273
mute it entirely,Cmd.VolumeMute,19,21,Cmd.VolumeMute,Default Fallback Intent,0.30148643255233765
mute right now,Cmd.VolumeMute,19,20,Cmd.VolumeMute,Cmd.VolumeUnmute,0.37285059690475464
mute,Cmd.VolumeMute,19,20,Cmd.VolumeMute,Cmd.VolumeUnmute,0.4568098187446594
zero volume please,Cmd.VolumeMute,19,18,Cmd.VolumeMute,Cmd.VolumeIncrease,0.607536792755127
can you mute on,Cmd.VolumeMute,19,20,Cmd.VolumeMute,Cmd.VolumeUnmute,0.626693844795227
enable right hearing aid,Cmd.VolumeUnmute,20,19,Cmd.VolumeUnmute,Cmd.VolumeMute,0.20146146416664124
return the sound to my aids,Cmd.VolumeUnmute,20,19,Cmd.VolumeUnmute,Cmd.VolumeMute,0.33681604266166687
mute off,Cmd.VolumeUnmute,20,19,Cmd.VolumeUnmute,Cmd.VolumeMute,0.43638038635253906
can you turn mute off,Cmd.VolumeUnmute,20,19,Cmd.VolumeUnmute,Cmd.VolumeMute,0.4779852628707886
please turn mute off,Cmd.VolumeUnmute,20,19,Cmd.VolumeUnmute,Cmd.VolumeMute,0.6391444802284241
alexa,Default Fallback Intent,21,16,Default Fallback Intent,Cmd.TranslationStart,0.10355208814144135
how do i connect alexa,Default Fallback Intent,21,42,Default Fallback Intent,Help_MemoryOptions,0.13213185966014862
how do i stop my phone ringing in my,Default Fallback Intent,21,39,Default Fallback Intent,Help_InsertDevice,0.13562753796577454
i need help,Default Fallback Intent,21,51,Default Fallback Intent,Help_VoiceAssistant,0.1424279659986496
how do i stop pandora from playing on my hearing aids,Default Fallback Intent,21,22,Default Fallback Intent,Help_Accessories,0.1483217030763626
how to use streamboost,Default Fallback Intent,21,40,Default Fallback Intent,Help_IntelliVoice,0.1500578671693802
how do i tie my shoes,Default Fallback Intent,21,33,Default Fallback Intent,Help_Health,0.15603744983673096
since you're coming up pretty soon,Default Fallback Intent,21,18,Default Fallback Intent,Cmd.VolumeIncrease,0.16326788067817688
what is my location,Default Fallback Intent,21,0,Default Fallback Intent,Cmd.ActivityAerobics,0.16459068655967712
hello again,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.16517987847328186
help me please,Default Fallback Intent,21,49,Default Fallback Intent,Help_Transcribe,0.16612303256988525
please not screaming loud enough,Default Fallback Intent,21,17,Default Fallback Intent,Cmd.VolumeDecrease,0.16963039338588715
i'm up,Default Fallback Intent,21,0,Default Fallback Intent,Cmd.ActivityAerobics,0.17273786664009094
how to connect my spies,Default Fallback Intent,21,2,Default Fallback Intent,Cmd.ActivityCycle,0.17621049284934998
how do i activate the default settings on the hearing aids,Default Fallback Intent,21,45,Default Fallback Intent,Help_RemoteProgramming,0.17892102897167206
can you since you're coming up pretty soon,Default Fallback Intent,21,26,Default Fallback Intent,Help_CleanCare,0.1876952350139618
how often should somebody exercise every week,Default Fallback Intent,21,2,Default Fallback Intent,Cmd.ActivityCycle,0.18832604587078094
so she had it up when i come home,Default Fallback Intent,21,24,Default Fallback Intent,Help_Battery,0.20090271532535553
what can i ask?,Default Fallback Intent,21,38,Default Fallback Intent,Help_Home,0.20107026398181915
how do i turn my hearing a song.,Default Fallback Intent,21,34,Default Fallback Intent,Help_HearShare,0.20190668106079102
i need to program new stamping to my phone,Default Fallback Intent,21,42,Default Fallback Intent,Help_MemoryOptions,0.20214031636714935
adjusted with my phone,Default Fallback Intent,21,33,Default Fallback Intent,Help_Health,0.2024727314710617
please locate my wife,Default Fallback Intent,21,11,Default Fallback Intent,Cmd.MemoryChange,0.20495347678661346
can you wednesday,Default Fallback Intent,21,20,Default Fallback Intent,Cmd.VolumeUnmute,0.20588453114032745
adidas women boots,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.20606400072574615
how do i set up the automatic car memory,Default Fallback Intent,21,42,Default Fallback Intent,Help_MemoryOptions,0.20618121325969696
hearing aids,Default Fallback Intent,21,46,Default Fallback Intent,Help_SelfCheck,0.2101997584104538
alexa learn my voice,Default Fallback Intent,21,40,Default Fallback Intent,Help_IntelliVoice,0.21115100383758545
who won the game last night,Default Fallback Intent,21,26,Default Fallback Intent,Help_CleanCare,0.21344761550426483
right on,Default Fallback Intent,21,20,Default Fallback Intent,Cmd.VolumeUnmute,0.2137775868177414
why would i need to worry about health guidelines,Default Fallback Intent,21,45,Default Fallback Intent,Help_RemoteProgramming,0.2140503227710724
i'm walking and they didn't working,Default Fallback Intent,21,7,Default Fallback Intent,Cmd.ActivityWalk,0.21579529345035553
she keeps talking to me,Default Fallback Intent,21,10,Default Fallback Intent,Cmd.ListenMessage,0.21972645819187164
please the left hearing aid,Default Fallback Intent,21,19,Default Fallback Intent,Cmd.VolumeMute,0.2202645093202591
"can you hello, just a hearing aid the volume on my hearing aids. bye. bye.",Default Fallback Intent,21,39,Default Fallback Intent,Help_InsertDevice,0.22563965618610382
friday,Default Fallback Intent,21,8,Default Fallback Intent,Cmd.BatteryLevel,0.22674711048603058
sunday,Default Fallback Intent,21,18,Default Fallback Intent,Cmd.VolumeIncrease,0.23915116488933563
yeah just take a little off yeah,Default Fallback Intent,21,47,Default Fallback Intent,Help_ThriveScore,0.24133212864398956
can you the left hearing aid,Default Fallback Intent,21,20,Default Fallback Intent,Cmd.VolumeUnmute,0.24301597476005554
how do i open the data log,Default Fallback Intent,21,52,Default Fallback Intent,Help_Volume,0.24652045965194702
siri,Default Fallback Intent,21,51,Default Fallback Intent,Help_VoiceAssistant,0.24966633319854736
how do i relax at home,Default Fallback Intent,21,22,Default Fallback Intent,Help_Accessories,0.25193697214126587
right,Default Fallback Intent,21,55,Default Fallback Intent,reminders.add,0.2536383271217346
monthly,Default Fallback Intent,21,10,Default Fallback Intent,Cmd.ListenMessage,0.25367429852485657
what should i see when i'm there,Default Fallback Intent,21,38,Default Fallback Intent,Help_Home,0.25388407707214355
please saab wanted control,Default Fallback Intent,21,54,Default Fallback Intent,Help_WiCROS,0.2580747604370117
to us number one hits,Default Fallback Intent,21,11,Default Fallback Intent,Cmd.MemoryChange,0.2619812786579132
i can't hear you my left hearing aid does not show up on my,Default Fallback Intent,21,46,Default Fallback Intent,Help_SelfCheck,0.26511842012405396
"hello, just a hearing aid the volume on my hearing aids. bye. bye.",Default Fallback Intent,21,39,Default Fallback Intent,Help_InsertDevice,0.2686837911605835
that works to change it,Default Fallback Intent,21,11,Default Fallback Intent,Cmd.MemoryChange,0.2708708345890045
just like siri,Default Fallback Intent,21,8,Default Fallback Intent,Cmd.BatteryLevel,0.27126991748809814
what's the difference between an iphone and an android phone,Default Fallback Intent,21,53,Default Fallback Intent,Help_WhatsNew,0.27392610907554626
locate my wife,Default Fallback Intent,21,12,Default Fallback Intent,Cmd.SendMessage,0.2752259075641632
can you open it up,Default Fallback Intent,21,18,Default Fallback Intent,Cmd.VolumeIncrease,0.27826282382011414
can you sound bar,Default Fallback Intent,21,20,Default Fallback Intent,Cmd.VolumeUnmute,0.2805013656616211
federal assistance up to my energy,Default Fallback Intent,21,10,Default Fallback Intent,Cmd.ListenMessage,0.28271496295928955
pandora,Default Fallback Intent,21,15,Default Fallback Intent,Cmd.TranscribeStart,0.2857531011104584
could you help me,Default Fallback Intent,21,32,Default Fallback Intent,Help_FindMyHearingAids,0.28656044602394104
hearing aid device settings,Default Fallback Intent,21,42,Default Fallback Intent,Help_MemoryOptions,0.28785863518714905
where can i find brain activity,Default Fallback Intent,21,49,Default Fallback Intent,Help_Transcribe,0.28857484459877014
can you the microphone,Default Fallback Intent,21,13,Default Fallback Intent,Cmd.StreamingStart,0.2886197566986084
i want to turn on the right stream boost,Default Fallback Intent,21,13,Default Fallback Intent,Cmd.StreamingStart,0.289509654045105
is my sign,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.2906310260295868
bye,Default Fallback Intent,21,15,Default Fallback Intent,Cmd.TranscribeStart,0.29077208042144775
what do i do to get my right,Default Fallback Intent,21,22,Default Fallback Intent,Help_Accessories,0.2910833954811096
why won't the hearing aids?,Default Fallback Intent,21,43,Default Fallback Intent,Help_Pairing,0.2948814928531647
what did you say,Default Fallback Intent,21,16,Default Fallback Intent,Cmd.TranslationStart,0.29542461037635803
the microphone,Default Fallback Intent,21,13,Default Fallback Intent,Cmd.StreamingStart,0.29679369926452637
can you she goes,Default Fallback Intent,21,3,Default Fallback Intent,Cmd.ActivityExercise,0.29704350233078003
so where is brewster,Default Fallback Intent,21,15,Default Fallback Intent,Cmd.TranscribeStart,0.2985941767692566
give me a recipe for dinner,Default Fallback Intent,21,18,Default Fallback Intent,Cmd.VolumeIncrease,0.29923415184020996
wednesday,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.3024906516075134
ask my house,Default Fallback Intent,21,0,Default Fallback Intent,Cmd.ActivityAerobics,0.30535972118377686
write a program in switch,Default Fallback Intent,21,11,Default Fallback Intent,Cmd.MemoryChange,0.30713003873825073
where can i get my hearing checked,Default Fallback Intent,21,27,Default Fallback Intent,Help_Customize,0.3074260652065277
turn off alarm,Default Fallback Intent,21,17,Default Fallback Intent,Cmd.VolumeDecrease,0.3089592754840851
thanks for changing,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.31253936886787415
please thanks for changing,Default Fallback Intent,21,9,Default Fallback Intent,Cmd.FindMyPhone,0.31429368257522583
please he forgot them and you need them let me know if i have a free afternoon i can drive over,Default Fallback Intent,21,50,Default Fallback Intent,Help_Translate,0.317716509103775
can you so where is brewster,Default Fallback Intent,21,15,Default Fallback Intent,Cmd.TranscribeStart,0.31817305088043213
explain the accessory options,Help_Accessories,22,38,Help_Accessories,Help_Home,0.266130656003952
what hardware can i add,Help_Accessories,22,29,Help_Accessories,Help_DeviceSettings,0.30617859959602356
what gadgets are compatible,Help_Accessories,22,21,Help_Accessories,Default Fallback Intent,0.347612589597702
