text,intent,v7_prediction,v7_confidence,v7_top2,v7_top3,refinement_group,priority,confidence_band
log the miles i just covered,Cmd.ActivityRun,Cmd.BatteryLevel,0.24055581,Cmd.ActivityRun,Cmd.ActivityCycle,OTHER_TARGETED_CONFUSION,NORMAL,VERY_LOW
what add-ons are available,Help_Accessories,Help_Home,0.27869037,Help_Accessories,Help_AppSettings,OTHER_TARGETED_CONFUSION,NORMAL,VERY_LOW
the television is blaring and i still miss the words,Help_Customize,Default Fallback Intent,0.30307436,Cmd.VolumeIncrease,Cmd.StreamingStart,OTHER_TARGETED_CONFUSION,NORMAL,LOW
how do i change to basic mode,Help_AppSettings,Help_ChangingMemories,0.3349795,Help_AppSettings,Cmd.MemoryChange,OTHER_TARGETED_CONFUSION,NORMAL,LOW
how do i change my phone contact,Help_FallAlert,Help_Pairing,0.41772783,Cmd.FindMyPhone,Cmd.SendMessage,OTHER_TARGETED_CONFUSION,NORMAL,LOW
how do i tune,Default Fallback Intent,Help_Customize,0.43915367,Help_DeviceSettings,Default Fallback Intent,OTHER_TARGETED_CONFUSION,NORMAL,LOW
the noise is unbearable right now,Help_EdgeMode,Cmd.VolumeDecrease,0.45995128,Default Fallback Intent,Help_DeviceSettings,OTHER_TARGETED_CONFUSION,NORMAL,LOW
why can't i hear anything through,Help_Pairing,Help_SelfCheck,0.4814934,Help_DeviceSettings,Help_InsertDevice,OTHER_TARGETED_CONFUSION,NORMAL,LOW
cut every bit of sound,Cmd.VolumeMute,Cmd.VolumeDecrease,0.5231327,Cmd.VolumeMute,Cmd.StreamingStop,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
can only connect,Default Fallback Intent,Help_Pairing,0.5483869,Default Fallback Intent,Cmd.StreamingStart,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
remote appointment with my audiologist,Help_HearingCareAnywhereConnect,Help_RemoteProgramming,0.58607715,Help_HearingCareAnywhereConnect,Cmd.StreamingStart,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
my overall score for the day,Help_ThriveScore,Default Fallback Intent,0.5877809,Help_ThriveScore,Cmd.BatteryLevel,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
i want less bass in my left aid,Help_Customize,Cmd.VolumeDecrease,0.6102763,Help_Customize,Help_DeviceSettings,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
switch to advanced mode in the app,Help_AppSettings,Cmd.MemoryChange,0.6164027,Help_AppSettings,Help_ChangingMemories,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
its lowd,Cmd.VolumeDecrease,Default Fallback Intent,0.6278333,Cmd.VolumeDecrease,Cmd.BatteryLevel,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
reduce the background noise level,Help_EdgeMode,Cmd.VolumeDecrease,0.6286707,Help_EdgeMode,Help_Customize,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
not a peep please,Cmd.VolumeMute,Default Fallback Intent,0.67992413,Cmd.VolumeMute,Cmd.StreamingStop,OTHER_TARGETED_CONFUSION,NORMAL,MEDIUM
kill the noise completely,Help_EdgeMode,Cmd.VolumeMute,0.709398,Cmd.VolumeDecrease,Help_EdgeMode,OTHER_TARGETED_CONFUSION,NORMAL,HIGH
rechargeable or disposable which is better,Help_Battery,Default Fallback Intent,0.7431354,Help_Battery,Cmd.BatteryLevel,OTHER_TARGETED_CONFUSION,NORMAL,HIGH
microphone icon,Help_VoiceAssistant,Default Fallback Intent,0.94854677,Help_Home,Cmd.StreamingStart,OTHER_TARGETED_CONFUSION,NORMAL,HIGH
patch the sound through to me,Cmd.StreamingStart,Cmd.VolumeDecrease,0.37557346,Cmd.VolumeIncrease,Cmd.VolumeUnmute,STREAMING_CONFUSION,NORMAL,LOW
there's a constant buzzing in my head,Help_Tinnitus,Default Fallback Intent,0.38254914,Help_Tinnitus,Help_DeviceSettings,TINNITUS_CONFUSION,NORMAL,LOW
