text,intent,prediction,confidence,correct,critical
"the audio is too quiet, increase it",device.volume.increase,device.volume.increase,0.99160844,True,False
boost what I'm hearing,device.volume.increase,device.volume.increase,0.9924189,True,False
turn the sound up,device.volume.increase,device.volume.increase,0.9872798,True,False
make everything louder,device.volume.increase,device.volume.increase,0.9926918,True,False
give me a stronger listening level,device.volume.increase,device.volume.decrease,0.7231791,False,False
raise the hearing aid volume,device.volume.increase,device.volume.increase,0.9926025,True,False
the sound needs to be louder,device.volume.increase,device.volume.increase,0.9844788,True,False
increase the audio output,device.volume.increase,device.volume.increase,0.9894237,True,False
bring the volume up a notch,device.volume.increase,device.volume.increase,0.9887955,True,False
make the hearing output stronger,device.volume.increase,device.volume.increase,0.76103204,True,False
turn up what I hear,device.volume.increase,device.volume.increase,0.9861887,True,False
add a little more volume,device.volume.increase,device.volume.increase,0.9771523,True,False
raise the listening level,device.volume.increase,device.volume.increase,0.9888476,True,False
"I can barely hear, make it louder",device.volume.increase,device.volume.increase,0.9905731,True,True
increase the loudness,device.volume.increase,device.volume.increase,0.9928705,True,False
boost the audio slightly,device.volume.increase,device.volume.increase,0.99104553,True,False
make the sound more prominent,device.volume.increase,device.volume.increase,0.98929346,True,False
turn the hearing aids up,device.volume.increase,device.volume.increase,0.98680854,True,False
give me more sound,device.volume.increase,device.volume.increase,0.90875477,True,False
raise the current volume,device.volume.increase,device.volume.increase,0.9930901,True,False
the hearing aids are too quiet,device.volume.increase,device.volume.increase,0.6745276,True,False
increase what comes through the devices,device.volume.increase,device.volume.increase,0.9833777,True,False
make the audio louder without changing the program,device.volume.increase,device.volume.increase,0.9731329,True,False
turn up the output,device.volume.increase,device.volume.increase,0.9814481,True,False
bring the sound level higher,device.volume.increase,device.volume.increase,0.9829418,True,False
make my hearing aids louder,device.volume.increase,device.volume.increase,0.9926992,True,False
raise the audio level,device.volume.increase,device.volume.increase,0.9901183,True,False
add more sound,device.volume.increase,device.volume.increase,0.89644426,True,False
increase the hearing volume,device.volume.increase,device.volume.increase,0.99444026,True,False
make the listening output stronger,device.volume.increase,device.volume.increase,0.64029616,True,False
turn the volume higher,device.volume.increase,device.volume.increase,0.9906866,True,False
boost what is coming through,device.volume.increase,device.volume.increase,0.98745465,True,False
raise the sound a little,device.volume.increase,device.volume.increase,0.98996836,True,False
I want more audio,device.volume.increase,device.volume.increase,0.9788957,True,False
make the device output louder,device.volume.increase,device.volume.increase,0.99233377,True,False
increase the listening level,device.volume.increase,device.volume.increase,0.99021965,True,False
the current volume is too low,device.volume.increase,device.volume.increase,0.9523812,True,False
turn up the hearing output,device.volume.increase,device.volume.increase,0.9810714,True,False
make the audio less quiet,device.volume.increase,device.volume.decrease,0.9911272,False,False
raise the device volume,device.volume.increase,device.volume.increase,0.99214315,True,False
give the sound a boost,device.volume.increase,device.volume.increase,0.98559684,True,False
increase the volume one step,device.volume.increase,device.volume.increase,0.9914794,True,False
make what I'm hearing louder,device.volume.increase,device.volume.increase,0.9936434,True,False
turn the sound up slightly,device.volume.increase,device.volume.increase,0.98640347,True,False
boost the hearing aid level,device.volume.increase,device.volume.increase,0.9923821,True,False
raise the loudness,device.volume.increase,device.volume.increase,0.992015,True,False
more volume please,device.volume.increase,device.volume.increase,0.9795995,True,False
increase the current audio level,device.volume.increase,device.volume.increase,0.99126095,True,False
make the hearing output louder,device.volume.increase,device.volume.increase,0.99268407,True,False
turn it up but keep the same program,device.volume.increase,device.volume.increase,0.939295,True,False
strengthen the sound coming through,device.volume.increase,device.volume.mute,0.6744249,False,False
silence my hearing aids completely,device.volume.mute,device.volume.mute,0.9953811,True,False
stop all sound from the devices,device.volume.mute,device.volume.mute,0.98400426,True,False
I don't want to hear any audio right now,device.volume.mute,device.volume.mute,0.9312154,True,False
make the hearing aids completely silent,device.volume.mute,device.volume.mute,0.9936208,True,True
turn the sound off entirely,device.volume.mute,device.volume.mute,0.9945476,True,False
mute the hearing aids,device.volume.mute,device.volume.mute,0.9915589,True,False
shut off the audio output,device.volume.mute,device.volume.mute,0.8135247,True,False
give me complete silence,device.volume.mute,device.volume.mute,0.9752077,True,False
stop the sound completely,device.volume.mute,device.volume.mute,0.95516753,True,False
turn off all hearing aid audio,device.volume.mute,device.volume.mute,0.9950052,True,True
I need the devices to be silent,device.volume.mute,device.volume.mute,0.9768634,True,False
cut the sound off completely,device.volume.mute,device.volume.mute,0.9919497,True,False
silence everything I'm hearing,device.volume.mute,device.volume.mute,0.993887,True,False
make the audio stop,device.volume.mute,device.volume.mute,0.49527013,True,False
turn off the hearing output,device.volume.mute,device.volume.mute,0.94395447,True,True
no sound from my hearing aids,device.volume.mute,device.volume.mute,0.96755755,True,False
completely silence the devices,device.volume.mute,device.volume.mute,0.99483633,True,False
stop all audio through the hearing aids,device.volume.mute,device.volume.mute,0.9882194,True,False
make them quiet with no sound at all,device.volume.mute,device.volume.mute,0.9659264,True,False
switch the hearing aids to complete silence,device.volume.mute,device.volume.mute,0.93146926,True,False
I need total silence,device.volume.mute,device.volume.mute,0.98969954,True,False
mute all audio,device.volume.mute,device.volume.mute,0.9947678,True,False
stop what is playing through my hearing aids,device.volume.mute,device.volume.mute,0.43001592,True,False
turn the hearing aid sound completely off,device.volume.mute,device.volume.mute,0.9957824,True,False
silence the audio output,device.volume.mute,device.volume.mute,0.991147,True,False
make there be no sound,device.volume.mute,device.volume.mute,0.97938836,True,False
shut the hearing aid audio off,device.volume.mute,device.volume.mute,0.994055,True,False
stop hearing anything through the devices,device.volume.mute,device.volume.mute,0.70516455,True,False
turn off the sound entirely,device.volume.mute,device.volume.mute,0.99441046,True,True
silence my hearing output,device.volume.mute,device.volume.mute,0.9887784,True,False
remove all sound from the hearing aids,device.volume.mute,device.volume.mute,0.9951859,True,False
I want complete silence from the devices,device.volume.mute,device.volume.mute,0.9891945,True,False
mute the current audio,device.volume.mute,device.volume.mute,0.99073726,True,False
stop the hearing aid output,device.volume.mute,device.volume.mute,0.5568795,True,False
make the devices produce no sound,device.volume.mute,device.volume.mute,0.9908869,True,False
turn everything audible off,device.volume.mute,device.volume.mute,0.9789434,True,False
completely mute the hearing aids,device.volume.mute,device.volume.mute,0.9949838,True,False
stop all sound coming through,device.volume.mute,device.volume.mute,0.9933721,True,False
silence the current hearing output,device.volume.mute,device.volume.mute,0.98573583,True,False
turn off what I'm hearing,device.volume.mute,device.volume.mute,0.9407109,True,True
make the hearing aids silent,device.volume.mute,device.volume.mute,0.98777837,True,False
no audio should come through,device.volume.mute,device.volume.unmute,0.34126166,False,False
shut down the sound output,device.volume.mute,device.volume.decrease,0.98835564,False,False
mute the current hearing aid audio,device.volume.mute,device.volume.mute,0.9935129,True,False
stop the audio completely,device.volume.mute,device.volume.mute,0.6895282,True,False
give me zero sound,device.volume.mute,device.volume.mute,0.4881903,True,False
turn all hearing aid audio off,device.volume.mute,device.volume.mute,0.99457824,True,False
silence the devices now,device.volume.mute,device.volume.mute,0.99579287,True,False
make the output completely silent,device.volume.mute,device.volume.mute,0.983602,True,True
stop all audible output,device.volume.mute,device.volume.mute,0.9811879,True,False
mute what I'm hearing,device.volume.mute,device.volume.mute,0.98850995,True,False
turn the hearing sound off,device.volume.mute,device.volume.mute,0.9923282,True,False
no sound at all please,device.volume.mute,device.volume.mute,0.9879083,True,False
completely shut off the audio,device.volume.mute,device.volume.mute,0.9898435,True,False
bring the sound back after muting,device.volume.unmute,device.volume.unmute,0.9824868,True,False
restore audio to my hearing aids,device.volume.unmute,device.volume.unmute,0.9691009,True,False
let me hear through the devices again,device.volume.unmute,device.volume.unmute,0.96980774,True,False
turn the sound back on,device.volume.unmute,device.volume.unmute,0.99205947,True,True
resume audio output,device.volume.unmute,device.volume.unmute,0.98141575,True,False
unmute the hearing aids,device.volume.unmute,device.volume.unmute,0.9935954,True,False
restore the hearing aid sound,device.volume.unmute,device.volume.unmute,0.9930875,True,False
I want audio again,device.volume.unmute,device.volume.unmute,0.98955554,True,False
enable sound on the devices,device.volume.unmute,device.volume.unmute,0.8147734,True,False
bring back the volume after silence,device.volume.unmute,device.volume.unmute,0.5037673,True,False
stop muting my hearing aids,device.volume.unmute,device.volume.unmute,0.8307315,True,False
turn audio back on,device.volume.unmute,device.volume.unmute,0.9930608,True,False
restore what I was hearing,device.volume.unmute,device.volume.unmute,0.95266145,True,False
let the hearing aids produce sound again,device.volume.unmute,device.volume.unmute,0.9914089,True,False
resume the sound output,device.volume.unmute,device.volume.unmute,0.9870099,True,False
remove the mute state,device.volume.unmute,device.volume.unmute,0.9890582,True,False
make the devices audible again,device.volume.unmute,device.volume.unmute,0.98146814,True,False
switch the hearing aids back to sound,device.volume.unmute,device.volume.unmute,0.97818893,True,False
turn hearing aid audio on,device.volume.unmute,device.volume.unmute,0.9774215,True,False
bring the audio back,device.volume.unmute,device.volume.unmute,0.9866145,True,False
restore sound to the devices,device.volume.unmute,device.volume.unmute,0.98951274,True,False
"I can hear nothing, enable the audio",device.volume.unmute,device.volume.increase,0.42303768,False,False
unmute my hearing output,device.volume.unmute,device.volume.unmute,0.9918419,True,False
start the sound again,device.volume.unmute,device.volume.unmute,0.94419396,True,False
allow audio through the hearing aids,device.volume.unmute,streaming.session.start,0.83220273,False,False
restore the previous audio,device.volume.unmute,device.volume.unmute,0.99254334,True,False
turn the hearing output back on,device.volume.unmute,device.volume.unmute,0.9882945,True,False
bring sound back to my devices,device.volume.unmute,device.volume.unmute,0.9660474,True,False
enable the hearing aid speakers,device.volume.unmute,device.volume.unmute,0.9482017,True,False
resume what was muted,device.volume.unmute,device.volume.unmute,0.9071728,True,False
make the hearing aids audible,device.volume.unmute,device.volume.mute,0.7966255,False,False
switch off mute mode,device.volume.unmute,device.memory.change,0.6828461,False,False
restore audio after muting,device.volume.unmute,device.volume.unmute,0.99073154,True,False
turn sound back on for the hearing aids,device.volume.unmute,device.volume.unmute,0.99191743,True,False
let audio come through again,device.volume.unmute,device.volume.unmute,0.95019495,True,False
enable the device output,device.volume.unmute,device.volume.unmute,0.6164174,True,False
return the hearing aids to audible mode,device.volume.unmute,device.volume.unmute,0.97922426,True,False
undo mute,device.volume.unmute,device.volume.unmute,0.9906302,True,False
restore the sound level,device.volume.unmute,device.volume.unmute,0.7331336,True,False
start hearing aid audio again,device.volume.unmute,device.volume.unmute,0.97213644,True,False
bring back the hearing output,device.volume.unmute,device.volume.unmute,0.97060376,True,False
make the devices produce sound again,device.volume.unmute,device.volume.unmute,0.9903543,True,False
cancel the mute,device.volume.unmute,device.volume.unmute,0.9799706,True,False
resume audio through my hearing aids,device.volume.unmute,device.volume.unmute,0.97240597,True,False
turn on the sound again,device.volume.unmute,device.volume.unmute,0.9912521,True,False
restore hearing aid audio,device.volume.unmute,device.volume.unmute,0.9931681,True,False
unmute the current output,device.volume.unmute,device.volume.unmute,0.98729277,True,False
allow sound to pass through again,device.volume.unmute,device.volume.unmute,0.9870706,True,False
reactivate audio on the hearing aids,device.volume.unmute,device.volume.unmute,0.9885548,True,False
bring the sound back,device.volume.unmute,device.volume.unmute,0.9659097,True,False
turn the audio output on again,device.volume.unmute,device.volume.unmute,0.98887104,True,False
remove complete silence,device.volume.unmute,device.volume.mute,0.7932684,False,False
restore audible output,device.volume.unmute,device.volume.unmute,0.9877291,True,False
enable sound again,device.volume.unmute,device.volume.unmute,0.99176824,True,False
where did I leave my phone,find.phone.locate,find.phone.locate,0.97793895,True,False
help me locate my mobile,find.phone.locate,find.phone.locate,0.97585154,True,False
find the phone for me,find.phone.locate,find.phone.locate,0.9644152,True,False
I can't find my smartphone,find.phone.locate,find.phone.locate,0.98263997,True,False
show me where my phone is,find.phone.locate,find.phone.locate,0.97474754,True,False
locate my mobile device,find.phone.locate,find.phone.locate,0.99018735,True,False
track down my phone,find.phone.locate,find.phone.locate,0.97325325,True,False
where is my handset,find.phone.locate,find.phone.locate,0.9655636,True,False
help find my phone,find.phone.locate,find.phone.locate,0.98972553,True,False
tell me where the phone is,find.phone.locate,find.phone.locate,0.9523474,True,False
I misplaced my mobile,find.phone.locate,find.phone.locate,0.9712498,True,False
find my smartphone,find.phone.locate,find.phone.locate,0.98798776,True,False
locate the phone I paired,find.phone.locate,find.phone.locate,0.9843522,True,False
where can I find my phone,find.phone.locate,find.phone.locate,0.9715532,True,False
my phone is missing,find.phone.locate,find.phone.locate,0.9809941,True,False
help me find the mobile,find.phone.locate,find.phone.locate,0.96777713,True,False
search for my phone,find.phone.locate,find.phone.locate,0.98537236,True,False
can you locate my handset,find.phone.locate,find.phone.locate,0.9655725,True,False
find the device I use as my phone,find.phone.locate,find.phone.locate,0.9802085,True,False
where did my smartphone go,find.phone.locate,find.phone.locate,0.977512,True,False
locate my missing phone,find.phone.locate,find.phone.locate,0.98966557,True,False
help me track my mobile,find.phone.locate,find.phone.locate,0.9363959,True,False
show the location of my phone,find.phone.locate,find.phone.locate,0.94800663,True,False
I need to find my phone,find.phone.locate,find.phone.locate,0.9839708,True,False
where is my mobile right now,find.phone.locate,find.phone.locate,0.96180034,True,False
find my lost handset,find.phone.locate,find.phone.locate,0.96739376,True,False
can you find my smartphone,find.phone.locate,find.phone.locate,0.9832244,True,False
locate my phone please,find.phone.locate,find.phone.locate,0.9866882,True,False
my mobile has disappeared,find.phone.locate,find.phone.locate,0.9094124,True,False
help me locate the handset,find.phone.locate,find.phone.locate,0.90927124,True,False
track my phone,find.phone.locate,find.phone.locate,0.9796275,True,False
where's my mobile device,find.phone.locate,find.phone.locate,0.9687055,True,False
find the smartphone,find.phone.locate,find.phone.locate,0.98746896,True,False
I need the location of my phone,find.phone.locate,find.phone.locate,0.53626084,True,False
help me search for my phone,find.phone.locate,find.phone.locate,0.98518515,True,False
locate the phone,find.phone.locate,find.phone.locate,0.9904867,True,False
my phone is somewhere nearby,find.phone.locate,find.phone.locate,0.9853902,True,False
tell me where my handset is,find.phone.locate,find.phone.locate,0.89797497,True,False
find my mobile device,find.phone.locate,find.phone.locate,0.98387676,True,False
where did I put my phone,find.phone.locate,find.phone.locate,0.9797963,True,False
can you track down my smartphone,find.phone.locate,find.phone.locate,0.9786097,True,False
locate my missing mobile,find.phone.locate,find.phone.locate,0.98569643,True,False
help locate my phone,find.phone.locate,find.phone.locate,0.9889951,True,False
show where my handset is,find.phone.locate,find.phone.locate,0.95177835,True,False
find the phone I can't see,find.phone.locate,find.phone.locate,0.97672504,True,False
my smartphone is lost,find.phone.locate,find.phone.locate,0.97659826,True,False
look for my phone,find.phone.locate,find.phone.locate,0.9837886,True,False
where is the mobile I paired,find.phone.locate,find.phone.locate,0.7525144,True,False
locate my smartphone,find.phone.locate,find.phone.locate,0.9891817,True,False
help me find the handset,find.phone.locate,find.phone.locate,0.94891995,True,False
find where my phone is,find.phone.locate,find.phone.locate,0.98439276,True,False
track down the mobile,find.phone.locate,find.phone.locate,0.8292948,True,False
can you locate my phone now,find.phone.locate,find.phone.locate,0.979425,True,False
search for my missing smartphone,find.phone.locate,find.phone.locate,0.9852019,True,False
show me the reminders I currently have,help.reminder.show,help.reminder.show,0.9847297,True,False
what reminders are on my list,help.reminder.show,help.reminder.show,0.9839078,True,False
let me see my reminders,help.reminder.show,help.reminder.show,0.966338,True,False
display my pending reminders,help.reminder.show,help.reminder.show,0.977377,True,False
which reminders are active,help.reminder.show,help.reminder.show,0.9810503,True,False
tell me what I have scheduled,help.reminder.show,reminders.task.create,0.3107957,False,False
show the reminders I've created,help.reminder.show,help.reminder.show,0.93385327,True,False
what reminders do I have,help.reminder.show,help.reminder.show,0.9834871,True,False
list my current reminders,help.reminder.show,help.reminder.show,0.9850306,True,False
can I see my reminder list,help.reminder.show,help.reminder.show,0.93223494,True,False
read out my reminders,help.reminder.show,help.reminder.show,0.9649585,True,False
what tasks have I set reminders for,help.reminder.show,help.reminder.show,0.9866262,True,False
show my reminder schedule,help.reminder.show,help.reminder.show,0.88675094,True,False
which reminders are still pending,help.reminder.show,help.reminder.show,0.9803647,True,False
open my reminder list,help.reminder.show,help.reminder.show,0.93659806,True,False
give me a list of reminders,help.reminder.show,reminders.task.create,0.7000537,False,False
what reminders are waiting,help.reminder.show,help.reminder.show,0.97802335,True,False
see the reminders I have,help.reminder.show,help.reminder.show,0.9737707,True,False
show all active reminders,help.reminder.show,help.reminder.show,0.97423154,True,False
what did I set reminders for,help.reminder.show,help.reminder.show,0.97337896,True,False
let me check my reminders,help.reminder.show,help.reminder.show,0.96014285,True,False
display the reminder entries,help.reminder.show,help.reminder.show,0.95807,True,False
which reminder tasks are pending,help.reminder.show,help.reminder.show,0.9820967,True,False
tell me my current reminders,help.reminder.show,help.reminder.show,0.9886206,True,False
show my scheduled reminders,help.reminder.show,help.reminder.show,0.98793274,True,False
what is on my reminder list,help.reminder.show,help.reminder.show,0.98128617,True,False
list the reminders I have,help.reminder.show,help.reminder.show,0.9860524,True,False
read my active reminders,help.reminder.show,help.reminder.show,0.9870595,True,False
show me what's in reminders,help.reminder.show,help.reminder.show,0.9920368,True,False
which reminders haven't been completed,help.reminder.show,help.reminder.show,0.96461064,True,False
let me view the reminder list,help.reminder.show,help.reminder.show,0.9123028,True,False
give me my current reminder status,help.reminder.show,reminders.task.create,0.554455,False,False
show existing reminders,help.reminder.show,help.reminder.show,0.96273583,True,False
what reminders are currently saved,help.reminder.show,help.reminder.show,0.98571277,True,False
display my reminders,help.reminder.show,help.reminder.show,0.9805742,True,False
can you list my reminders,help.reminder.show,help.reminder.show,0.9544333,True,False
tell me which reminders are active,help.reminder.show,help.reminder.show,0.9916773,True,False
show my pending reminder tasks,help.reminder.show,help.reminder.show,0.9631029,True,False
let me see saved reminders,help.reminder.show,help.reminder.show,0.9796322,True,False
what reminder tasks are on file,help.reminder.show,help.reminder.show,0.9859811,True,False
show my outstanding reminders,help.reminder.show,help.reminder.show,0.9856221,True,False
which reminders do I still have,help.reminder.show,help.reminder.show,0.98609203,True,False
read my reminder list,help.reminder.show,help.reminder.show,0.92194235,True,False
view my current reminders,help.reminder.show,help.reminder.show,0.9882734,True,False
what have I scheduled as reminders,help.reminder.show,help.reminder.show,0.9844126,True,False
show the reminder items,help.reminder.show,help.reminder.show,0.92769706,True,False
list my outstanding reminders,help.reminder.show,help.reminder.show,0.98554105,True,False
can I see what reminders I set,help.reminder.show,help.reminder.show,0.9867867,True,False
display the reminders I haven't finished,help.reminder.show,help.reminder.show,0.98080796,True,False
tell me about my reminders,help.reminder.show,help.reminder.show,0.9865867,True,False
show my active reminder items,help.reminder.show,help.reminder.show,0.802069,True,False
let me check what reminders remain,help.reminder.show,help.reminder.show,0.9867568,True,False
list all current reminder tasks,help.reminder.show,help.reminder.show,0.8622073,True,False
show my reminder entries,help.reminder.show,help.reminder.show,0.97272444,True,False
set a reminder for my appointment tomorrow,reminders.task.create,reminders.task.create,0.98473686,True,False
remind me to call the clinic at nine,reminders.task.create,reminders.task.create,0.98003805,True,False
create a new reminder for later,reminders.task.create,reminders.task.create,0.9875559,True,False
add a reminder to take my keys,reminders.task.create,reminders.task.create,0.9781577,True,False
put a reminder on my schedule,reminders.task.create,reminders.task.create,0.984769,True,False
schedule a reminder for this evening,reminders.task.create,reminders.task.create,0.98589593,True,False
make a reminder for my meeting,reminders.task.create,reminders.task.create,0.9826963,True,False
remember to remind me about the meeting,reminders.task.create,reminders.task.create,0.9807835,True,False
add something to my reminders,reminders.task.create,reminders.task.create,0.9704437,True,False
create a reminder for next week,reminders.task.create,reminders.task.create,0.98720634,True,False
set one up so I don't forget,reminders.task.create,reminders.task.create,0.90526915,True,False
add a new reminder to my list,reminders.task.create,reminders.task.create,0.9671924,True,False
schedule a reminder to call John,reminders.task.create,reminders.task.create,0.98135066,True,False
remind me about dinner tonight,reminders.task.create,reminders.task.create,0.9817904,True,False
