text,intent,v6_prediction,v6_confidence,v6_top2,v6_top2_confidence,v6_top3,v6_top3_confidence,v6_correct,v7_prediction,v7_confidence,v7_top2,v7_top2_confidence,v7_top3,v7_top3_confidence,v7_correct,change_category
point me in the right direction,Help_Home,21,0.93437153,38,0.0402317,53,0.001983237,False,Help_Home,0.56647086,Default Fallback Intent,0.33964857,Help_WhatsNew,0.011150838,True,FIXED_BY_V7
what is memory,Help_ChangingMemories,42,0.44453207,11,0.20045164,25,0.14492363,False,Help_MemoryOptions,0.43822756,Cmd.MemoryChange,0.2437584,Help_ChangingMemories,0.18128957,False,BOTH_WRONG_CHANGED
cut all the sound,Cmd.VolumeMute,19,0.44708115,17,0.43589172,14,0.059517603,False,Cmd.VolumeMute,0.5187129,Cmd.VolumeDecrease,0.3821063,Cmd.StreamingStop,0.05945876,True,FIXED_BY_V7
how do i tune,Default Fallback Intent,27,0.397504,21,0.3062481,29,0.13186336,False,Help_Customize,0.43915367,Help_DeviceSettings,0.23582667,Default Fallback Intent,0.1416067,False,BOTH_WRONG_CHANGED
explain my recovery score,Help_HeartRateRecovery,37,0.61197925,47,0.2650813,33,0.012083847,False,Help_HeartRateRecovery,0.78420043,Help_ThriveScore,0.14820163,Help_Health,0.007694489,True,FIXED_BY_V7
my aid keeps cutting out,Help_DeviceSettings,39,0.49295273,29,0.25162235,22,0.037234746,False,Help_InsertDevice,0.43368444,Help_DeviceSettings,0.4039986,Help_CleanCare,0.026818523,False,BOTH_WRONG_CHANGED
conversations are slipping past me,Cmd.VolumeIncrease,21,0.29283568,17,0.22550689,18,0.04277934,False,Cmd.VolumeIncrease,0.33752334,Cmd.VolumeDecrease,0.23497985,Help_DeviceSettings,0.074231006,True,FIXED_BY_V7
connect with my hearing care professional,Help_HearingCareAnywhereConnect,45,0.7219486,35,0.17589153,51,0.012477931,False,Help_HearingCareAnywhereConnect,0.47959486,Help_RemoteProgramming,0.4326071,Help_VoiceAssistant,0.012825813,True,FIXED_BY_V7
tone change,Help_DeviceSettings,21,0.4526486,17,0.16623911,11,0.10870214,False,Cmd.VolumeDecrease,0.27582055,Help_Customize,0.119106986,Cmd.VolumeIncrease,0.109007865,False,BOTH_WRONG_CHANGED
the television is blaring and i still miss the words,Help_Customize,21,0.91248137,10,0.007616538,20,0.007577371,False,Default Fallback Intent,0.30307436,Cmd.VolumeIncrease,0.21163823,Cmd.StreamingStart,0.082624964,False,BOTH_WRONG_CHANGED
how do i navigate,Help_Home,21,0.921154,38,0.05150898,7,0.0022960813,False,Default Fallback Intent,0.494737,Help_Home,0.44628254,Help_WhatsNew,0.006027282,False,BOTH_WRONG_CHANGED
do i put the earmold in first,Help_InsertDevice,21,0.72467035,39,0.100628264,54,0.014385014,False,Default Fallback Intent,0.36653036,Help_InsertDevice,0.31444559,Help_CleanCare,0.028851524,False,BOTH_WRONG_CHANGED
the sound is cutting in and out,Help_DeviceSettings,21,0.5016163,29,0.24745873,17,0.04223984,False,Help_DeviceSettings,0.64212716,Cmd.VolumeDecrease,0.078013465,Help_Customize,0.04735517,True,FIXED_BY_V7
how do i know if my microphone is working?,Help_SelfCheck,22,0.5279986,29,0.16291499,46,0.055316422,False,Help_Accessories,0.42681777,Help_DeviceSettings,0.16571821,Help_SelfCheck,0.13842241,False,BOTH_WRONG_CHANGED
why can't i hear anything through,Help_Pairing,46,0.41944903,21,0.20797606,29,0.08151408,False,Help_SelfCheck,0.4814934,Help_DeviceSettings,0.098601304,Help_InsertDevice,0.05892779,False,BOTH_WRONG_CHANGED
how do i see my biking goals?,Help_Health,2,0.69562566,33,0.157483,0,0.020554477,False,Cmd.ActivityCycle,0.5122063,Help_Health,0.35644692,Cmd.ActivityAerobics,0.019654183,False,BOTH_WRONG_CHANGED
view my body and brain health,Help_Health,21,0.9827843,47,0.0020278364,38,0.0015579918,False,Default Fallback Intent,0.73372847,Help_ThriveScore,0.034598485,Help_Home,0.030409425,False,BOTH_WRONG_CHANGED
the dome won't stay put,Help_InsertDevice,21,0.87254894,39,0.012856327,38,0.011459899,False,Default Fallback Intent,0.56728023,Help_InsertDevice,0.09649704,Help_DeviceSettings,0.034621503,False,BOTH_WRONG_CHANGED
where do i go to do things,Help_Home,21,0.9217733,38,0.049535643,51,0.0018184178,False,Default Fallback Intent,0.48040873,Help_Home,0.44289795,Help_WhatsNew,0.007302946,False,BOTH_WRONG_CHANGED
patch the sound through to me,Cmd.StreamingStart,17,0.28212583,19,0.11257102,20,0.10176122,False,Cmd.VolumeDecrease,0.37557346,Cmd.VolumeIncrease,0.15388593,Cmd.VolumeUnmute,0.096439585,False,BOTH_WRONG_CHANGED
tick off my reminder,reminders.complete,55,0.71246153,56,0.17276932,44,0.020875817,False,reminders.add,0.59687334,reminders.complete,0.28135034,Help_Reminder,0.03844852,False,BOTH_WRONG_CHANGED
none of this makes sense to me,Help_Home,21,0.95496863,38,0.017344255,53,0.0020801895,False,Help_Home,0.44838527,Default Fallback Intent,0.38510925,Help_WhatsNew,0.018718215,True,FIXED_BY_V7
too much wind noise outside,Help_EdgeMode,21,0.69674873,17,0.08516579,30,0.05127076,False,Help_EdgeMode,0.3930802,Cmd.VolumeDecrease,0.25390118,Cmd.MemoryChange,0.07517579,True,FIXED_BY_V7
can you show me a quick start guide,Help_WhatsNew,38,0.580477,53,0.26078814,28,0.020955766,False,Help_Home,0.52623224,Help_WhatsNew,0.4125468,Help_DemoMode,0.012083409,False,BOTH_WRONG_CHANGED
show me a quick start guide,Help_WhatsNew,38,0.5730495,53,0.24511056,21,0.026890159,False,Help_Home,0.55379635,Help_WhatsNew,0.3826271,Help_DemoMode,0.009482935,False,BOTH_WRONG_CHANGED
turn on hearing aids,Cmd.VolumeUnmute,21,0.9783092,20,0.0035715967,8,0.002068975,False,Default Fallback Intent,0.5392316,Cmd.VolumeUnmute,0.27287707,Cmd.VolumeMute,0.024056068,False,BOTH_WRONG_CHANGED
can i set a favourite program,Help_MemoryOptions,25,0.59163773,11,0.304748,42,0.067630745,False,Help_ChangingMemories,0.5526108,Cmd.MemoryChange,0.2925831,Help_MemoryOptions,0.11474947,False,BOTH_WRONG_CHANGED
got enough battery for a movie,Cmd.BatteryLevel,21,0.9243297,8,0.040498503,56,0.0036126208,False,Default Fallback Intent,0.40105107,Cmd.BatteryLevel,0.35440493,Help_Battery,0.031819083,False,BOTH_WRONG_CHANGED
cut every bit of sound,Cmd.VolumeMute,17,0.581146,19,0.31801522,14,0.0266183,False,Cmd.VolumeDecrease,0.5231327,Cmd.VolumeMute,0.40677148,Cmd.StreamingStop,0.027371544,False,BOTH_WRONG_CHANGED
can you show me the quick guide,Help_WhatsNew,38,0.53049946,53,0.18984477,21,0.11187558,False,Help_Home,0.5215271,Help_WhatsNew,0.400002,Help_DemoMode,0.01176866,False,BOTH_WRONG_CHANGED
its lowd,Cmd.VolumeDecrease,21,0.961616,17,0.0072643952,8,0.0044979085,False,Default Fallback Intent,0.6278333,Cmd.VolumeDecrease,0.18821192,Cmd.BatteryLevel,0.026713373,False,BOTH_WRONG_CHANGED
break it down for me,Help_Home,21,0.97644323,38,0.0032288886,10,0.0029889161,False,Default Fallback Intent,0.5627123,Help_Home,0.18781751,Cmd.TranscribeStart,0.03768203,False,BOTH_WRONG_CHANGED
turn mute on,Cmd.VolumeMute,21,0.82697904,19,0.07544562,20,0.036488146,False,Cmd.VolumeMute,0.43595967,Cmd.VolumeUnmute,0.38152233,Default Fallback Intent,0.059365,True,FIXED_BY_V7
how do different memories work,Help_ChangingMemories,42,0.6780807,25,0.1318378,29,0.05602026,False,Help_MemoryOptions,0.5662522,Help_ChangingMemories,0.2888233,Help_DeviceSettings,0.05544857,False,BOTH_WRONG_CHANGED
remote appointment with my audiologist,Help_HearingCareAnywhereConnect,45,0.78211665,35,0.13669161,46,0.01049316,False,Help_RemoteProgramming,0.58607715,Help_HearingCareAnywhereConnect,0.34656912,Cmd.StreamingStart,0.008748478,False,BOTH_WRONG_CHANGED
notification settings for the app,Help_AppSettings,21,0.55865693,29,0.19915764,23,0.094010524,False,Help_AppSettings,0.31325716,Help_DeviceSettings,0.27969676,Default Fallback Intent,0.20588368,True,FIXED_BY_V7
reduce the background noise level,Help_EdgeMode,17,0.7157128,27,0.043301612,11,0.042866975,False,Cmd.VolumeDecrease,0.6286707,Help_EdgeMode,0.20080459,Help_Customize,0.05760087,False,BOTH_WRONG_CHANGED
i could use a hand figuring this out,Help_Home,21,0.9829695,38,0.0042183315,8,0.0008279154,False,Default Fallback Intent,0.72051126,Help_Home,0.1790688,Cmd.SendMessage,0.008110171,False,BOTH_WRONG_CHANGED
rechargeable or disposable which is better,Help_Battery,21,0.96721226,8,0.009902543,24,0.0023646923,False,Default Fallback Intent,0.7431354,Help_Battery,0.064269595,Cmd.BatteryLevel,0.054204658,False,BOTH_WRONG_CHANGED
i took my pills you can clear that,reminders.complete,21,0.9567854,56,0.018892417,10,0.0047910265,False,Default Fallback Intent,0.4428771,reminders.complete,0.39347488,Cmd.ListenMessage,0.03115938,False,BOTH_WRONG_CHANGED
my body and brain score,Help_ThriveScore,21,0.8770977,47,0.095667094,11,0.0032213088,False,Help_ThriveScore,0.5270219,Default Fallback Intent,0.37719226,Cmd.MemoryChange,0.021133965,True,FIXED_BY_V7
kill the noise completely,Help_EdgeMode,19,0.5872414,21,0.15925403,17,0.12066856,False,Cmd.VolumeMute,0.709398,Cmd.VolumeDecrease,0.13134968,Help_EdgeMode,0.040840857,False,BOTH_WRONG_CHANGED
i could use an introduction,Help_Home,21,0.9775875,38,0.0072140545,53,0.0012526329,False,Default Fallback Intent,0.6413463,Help_Home,0.22902924,Cmd.TranscribeStart,0.015659811,False,BOTH_WRONG_CHANGED
i want less bass in my left aid,Help_Customize,17,0.7581728,27,0.069273986,29,0.04888697,False,Cmd.VolumeDecrease,0.6102763,Help_Customize,0.16514932,Help_DeviceSettings,0.0966068,False,BOTH_WRONG_CHANGED
switch to advanced mode in the app,Help_AppSettings,11,0.5075442,21,0.1595925,25,0.060466375,False,Cmd.MemoryChange,0.6164027,Help_AppSettings,0.16264519,Help_ChangingMemories,0.041619584,False,BOTH_WRONG_CHANGED
everything sounds muffled,Help_DeviceSettings,18,0.5967078,17,0.08149237,52,0.06229207,False,Cmd.VolumeIncrease,0.777298,Cmd.VolumeDecrease,0.06592661,Help_Volume,0.041311767,False,BOTH_WRONG_CHANGED
my overall score for the day,Help_ThriveScore,21,0.940618,47,0.029092407,8,0.0053346506,False,Default Fallback Intent,0.5877809,Help_ThriveScore,0.26195806,Cmd.BatteryLevel,0.02356669,False,BOTH_WRONG_CHANGED
the noise is unbearable right now,Help_EdgeMode,21,0.898093,17,0.035869494,29,0.009363337,False,Cmd.VolumeDecrease,0.45995128,Default Fallback Intent,0.1603667,Help_DeviceSettings,0.060091633,False,BOTH_WRONG_CHANGED
can you explain?,Help_Home,21,0.98818433,38,0.003841846,10,0.00054728735,False,Default Fallback Intent,0.8539231,Help_Home,0.10055255,Cmd.SendMessage,0.0032777572,False,BOTH_WRONG_CHANGED
not a peep please,Cmd.VolumeMute,21,0.9627136,19,0.0133347865,14,0.0031459427,False,Default Fallback Intent,0.67992413,Cmd.VolumeMute,0.17833985,Cmd.StreamingStop,0.01753304,False,BOTH_WRONG_CHANGED
i did it cross it off,reminders.complete,21,0.98626894,56,0.0034781517,10,0.0010796437,False,Default Fallback Intent,0.7534409,reminders.complete,0.14529596,Cmd.ListenMessage,0.011305914,False,BOTH_WRONG_CHANGED
that's handled cross it off,reminders.complete,21,0.9901335,56,0.0020870983,54,0.0006255553,False,Default Fallback Intent,0.881979,reminders.complete,0.061569445,Cmd.VolumeMute,0.0038396404,False,BOTH_WRONG_CHANGED
microphone icon,Help_VoiceAssistant,21,0.99396837,38,0.0005373649,9,0.0004868195,False,Default Fallback Intent,0.94854677,Help_Home,0.0057045496,Cmd.StreamingStart,0.0037228183,False,BOTH_WRONG_CHANGED
where what is the home,Help_Home,21,0.99619675,38,0.00059603644,9,0.00030984843,False,Default Fallback Intent,0.9920244,Help_Home,0.0018511622,Cmd.FindMyPhone,0.0004273776,False,BOTH_WRONG_CHANGED
