text,intent,v6_prediction,v6_confidence,v6_top2,v6_top2_confidence,v6_top3,v6_top3_confidence,v6_correct,v7_prediction,v7_confidence,v7_top2,v7_top2_confidence,v7_top3,v7_top3_confidence,v7_correct,change_category
can i set a favourite program,Help_MemoryOptions,25,0.59163773,11,0.304748,42,0.067630745,False,Help_ChangingMemories,0.5526108,Cmd.MemoryChange,0.2925831,Help_MemoryOptions,0.11474947,False,BOTH_WRONG_CHANGED
got enough battery for a movie,Cmd.BatteryLevel,21,0.9243297,8,0.040498503,56,0.0036126208,False,Default Fallback Intent,0.40105107,Cmd.BatteryLevel,0.35440493,Help_Battery,0.031819083,False,BOTH_WRONG_CHANGED
cut every bit of sound,Cmd.VolumeMute,17,0.581146,19,0.31801522,14,0.0266183,False,Cmd.VolumeDecrease,0.5231327,Cmd.VolumeMute,0.40677148,Cmd.StreamingStop,0.027371544,False,BOTH_WRONG_CHANGED
can you show me the quick guide,Help_WhatsNew,38,0.53049946,53,0.18984477,21,0.11187558,False,Help_Home,0.5215271,Help_WhatsNew,0.400002,Help_DemoMode,0.01176866,False,BOTH_WRONG_CHANGED
its lowd,Cmd.VolumeDecrease,21,0.961616,17,0.0072643952,8,0.0044979085,False,Default Fallback Intent,0.6278333,Cmd.VolumeDecrease,0.18821192,Cmd.BatteryLevel,0.026713373,False,BOTH_WRONG_CHANGED
break it down for me,Help_Home,21,0.97644323,38,0.0032288886,10,0.0029889161,False,Default Fallback Intent,0.5627123,Help_Home,0.18781751,Cmd.TranscribeStart,0.03768203,False,BOTH_WRONG_CHANGED
how do different memories work,Help_ChangingMemories,42,0.6780807,25,0.1318378,29,0.05602026,False,Help_MemoryOptions,0.5662522,Help_ChangingMemories,0.2888233,Help_DeviceSettings,0.05544857,False,BOTH_WRONG_CHANGED
remote appointment with my audiologist,Help_HearingCareAnywhereConnect,45,0.78211665,35,0.13669161,46,0.01049316,False,Help_RemoteProgramming,0.58607715,Help_HearingCareAnywhereConnect,0.34656912,Cmd.StreamingStart,0.008748478,False,BOTH_WRONG_CHANGED
reduce the background noise level,Help_EdgeMode,17,0.7157128,27,0.043301612,11,0.042866975,False,Cmd.VolumeDecrease,0.6286707,Help_EdgeMode,0.20080459,Help_Customize,0.05760087,False,BOTH_WRONG_CHANGED
i could use a hand figuring this out,Help_Home,21,0.9829695,38,0.0042183315,8,0.0008279154,False,Default Fallback Intent,0.72051126,Help_Home,0.1790688,Cmd.SendMessage,0.008110171,False,BOTH_WRONG_CHANGED
rechargeable or disposable which is better,Help_Battery,21,0.96721226,8,0.009902543,24,0.0023646923,False,Default Fallback Intent,0.7431354,Help_Battery,0.064269595,Cmd.BatteryLevel,0.054204658,False,BOTH_WRONG_CHANGED
i took my pills you can clear that,reminders.complete,21,0.9567854,56,0.018892417,10,0.0047910265,False,Default Fallback Intent,0.4428771,reminders.complete,0.39347488,Cmd.ListenMessage,0.03115938,False,BOTH_WRONG_CHANGED
kill the noise completely,Help_EdgeMode,19,0.5872414,21,0.15925403,17,0.12066856,False,Cmd.VolumeMute,0.709398,Cmd.VolumeDecrease,0.13134968,Help_EdgeMode,0.040840857,False,BOTH_WRONG_CHANGED
i could use an introduction,Help_Home,21,0.9775875,38,0.0072140545,53,0.0012526329,False,Default Fallback Intent,0.6413463,Help_Home,0.22902924,Cmd.TranscribeStart,0.015659811,False,BOTH_WRONG_CHANGED
i want less bass in my left aid,Help_Customize,17,0.7581728,27,0.069273986,29,0.04888697,False,Cmd.VolumeDecrease,0.6102763,Help_Customize,0.16514932,Help_DeviceSettings,0.0966068,False,BOTH_WRONG_CHANGED
switch to advanced mode in the app,Help_AppSettings,11,0.5075442,21,0.1595925,25,0.060466375,False,Cmd.MemoryChange,0.6164027,Help_AppSettings,0.16264519,Help_ChangingMemories,0.041619584,False,BOTH_WRONG_CHANGED
everything sounds muffled,Help_DeviceSettings,18,0.5967078,17,0.08149237,52,0.06229207,False,Cmd.VolumeIncrease,0.777298,Cmd.VolumeDecrease,0.06592661,Help_Volume,0.041311767,False,BOTH_WRONG_CHANGED
my overall score for the day,Help_ThriveScore,21,0.940618,47,0.029092407,8,0.0053346506,False,Default Fallback Intent,0.5877809,Help_ThriveScore,0.26195806,Cmd.BatteryLevel,0.02356669,False,BOTH_WRONG_CHANGED
the noise is unbearable right now,Help_EdgeMode,21,0.898093,17,0.035869494,29,0.009363337,False,Cmd.VolumeDecrease,0.45995128,Default Fallback Intent,0.1603667,Help_DeviceSettings,0.060091633,False,BOTH_WRONG_CHANGED
can you explain?,Help_Home,21,0.98818433,38,0.003841846,10,0.00054728735,False,Default Fallback Intent,0.8539231,Help_Home,0.10055255,Cmd.SendMessage,0.0032777572,False,BOTH_WRONG_CHANGED
not a peep please,Cmd.VolumeMute,21,0.9627136,19,0.0133347865,14,0.0031459427,False,Default Fallback Intent,0.67992413,Cmd.VolumeMute,0.17833985,Cmd.StreamingStop,0.01753304,False,BOTH_WRONG_CHANGED
i did it cross it off,reminders.complete,21,0.98626894,56,0.0034781517,10,0.0010796437,False,Default Fallback Intent,0.7534409,reminders.complete,0.14529596,Cmd.ListenMessage,0.011305914,False,BOTH_WRONG_CHANGED
that's handled cross it off,reminders.complete,21,0.9901335,56,0.0020870983,54,0.0006255553,False,Default Fallback Intent,0.881979,reminders.complete,0.061569445,Cmd.VolumeMute,0.0038396404,False,BOTH_WRONG_CHANGED
microphone icon,Help_VoiceAssistant,21,0.99396837,38,0.0005373649,9,0.0004868195,False,Default Fallback Intent,0.94854677,Help_Home,0.0057045496,Cmd.StreamingStart,0.0037228183,False,BOTH_WRONG_CHANGED
where what is the home,Help_Home,21,0.99619675,38,0.00059603644,9,0.00030984843,False,Default Fallback Intent,0.9920244,Help_Home,0.0018511622,Cmd.FindMyPhone,0.0004273776,False,BOTH_WRONG_CHANGED
