text,ood_group
send an email please,perturbed_ood
please call my friend,perturbed_ood
call my friend now,perturbed_ood
please take a photo,perturbed_ood
please turn on bluetooth,perturbed_ood
turn on bluetooth now,perturbed_ood
please connect to wifi,perturbed_ood
play music now,perturbed_ood
pause teh video,perturbed_ood
how are you now,perturbed_ood
please how are you,perturbed_ood
please thank you,perturbed_ood
good morning please,perturbed_ood
good night please,perturbed_ood
please good night,perturbed_ood
please hello,perturbed_ood
what are you doing please,perturbed_ood
I am bored now,perturbed_ood
can you help me please,perturbed_ood
what is the stock market doing please,perturbed_ood
should I buy shares now,perturbed_ood
should I buy shares please,perturbed_ood
what is the price of gold now,perturbed_ood
what is teh price of gold,perturbed_ood
please show me today's market news,perturbed_ood
how is bitcoin doing please,perturbed_ood
how is bitcoin doing now,perturbed_ood
please what is the interest rate,perturbed_ood
jkakjhdjkhd please,perturbed_ood
sdkjadsjj now,perturbed_ood
please sdkjadsjj,perturbed_ood
please asdfghjkl,perturbed_ood
asdfghjkl now,perturbed_ood
please qwertyuiop,perturbed_ood
qwertyuiop please,perturbed_ood
zzzxxyyqq now,perturbed_ood
123456789 please,perturbed_ood
hello xyz abc please,perturbed_ood
hello xyz abc now,perturbed_ood
qazwsxedc now,perturbed_ood
please qazwsxedc,perturbed_ood
random words banana airplane please,perturbed_ood
please random words banana airplane,perturbed_ood
kjhkjhkjh please,perturbed_ood
make the music more enjoyable please,perturbed_ood
make teh music more enjoyable,perturbed_ood
make this sound better please,perturbed_ood
please make this sound better,perturbed_ood
please adjust what I am hearing,perturbed_ood
please I want a better listening experience,perturbed_ood
the audio does not feel right now,perturbed_ood
teh audio does not feel right,perturbed_ood
please can you improve the sound quality,perturbed_ood
make the audio comfortable now,perturbed_ood
make teh audio comfortable,perturbed_ood
fix the sound for me now,perturbed_ood
fix teh sound for me,perturbed_ood
help me with the audio please,perturbed_ood
please help me with the audio,perturbed_ood
please change the way this sounds,perturbed_ood
change the way this sounds please,perturbed_ood
make the listening experience better now,perturbed_ood
make the listening experience better please,perturbed_ood
please who is the prime minister but make it louder,perturbed_ood
please tell me a joke and turn the volume up,perturbed_ood
what is the weather and mute it please,perturbed_ood
play music but do not change the hearing aid please,perturbed_ood
please play music but do not change the hearing aid,perturbed_ood
book a hotel and make it quieter please,perturbed_ood
what is bitcoin make it louder now,perturbed_ood
what is bitcoin make it louder please,perturbed_ood
please open youtube and turn the sound back on,perturbed_ood
tell me the capital of France now,perturbed_ood
tell me teh capital of France,perturbed_ood
please I need a flight tomorrow,perturbed_ood
I need a flight tommorow,perturbed_ood
please browse teh internet,perturbed_ood
tell me about today's news,synthetic_general_ood
explain today's news,synthetic_general_ood
explain the cricket score,synthetic_general_ood
where can I find the train schedule,synthetic_general_ood
show me the train schedule,synthetic_general_ood
explain a pasta recipe,synthetic_general_ood
give me information about email,synthetic_general_ood
what is youtube,synthetic_general_ood
where can I find youtube,synthetic_general_ood
what is the weather,synthetic_general_ood
explain email,synthetic_general_ood
show me today's news,synthetic_general_ood
give me information about bitcoin,synthetic_general_ood
tell me about the cricket score,synthetic_general_ood
tell me about the stock market,synthetic_general_ood
explain pizza,synthetic_general_ood
show me a pasta recipe,synthetic_general_ood
tell me about tax rules,synthetic_general_ood
what is a pasta recipe,synthetic_general_ood
give me information about tax rules,synthetic_general_ood
give me information about the stock market,synthetic_general_ood
where can I find the stock market,synthetic_general_ood
give me information about the weather,synthetic_general_ood
what is today's news,synthetic_general_ood
give me information about the cricket score,synthetic_general_ood
tell me about the train schedule,synthetic_general_ood
explain the weather,synthetic_general_ood
what is the train schedule,synthetic_general_ood
give me information about a pasta recipe,synthetic_general_ood
where can I find email,synthetic_general_ood
tell me about a hotel,synthetic_general_ood
tell me about the weather,synthetic_general_ood
how do I email,synthetic_general_ood
how do I the weather,synthetic_general_ood
where can I find a flight,synthetic_general_ood
how do I a pasta recipe,synthetic_general_ood
how do I tax rules,synthetic_general_ood
how do I pizza,synthetic_general_ood
what is the stock market,synthetic_general_ood
what is tax rules,synthetic_general_ood
tell me about bitcoin,synthetic_general_ood
how do I bitcoin,synthetic_general_ood
where can I find tax rules,synthetic_general_ood
what is my browser,synthetic_general_ood
tell me about my browser,synthetic_general_ood
explain youtube,synthetic_general_ood
how do I my browser,synthetic_general_ood
how do I a flight,synthetic_general_ood
show me the cricket score,synthetic_general_ood
tell me about youtube,synthetic_general_ood
where can I find a hotel,synthetic_general_ood
explain a flight,synthetic_general_ood
how do I the cricket score,synthetic_general_ood
how do I a hotel,synthetic_general_ood
tell me about a flight,synthetic_general_ood
what is the cricket score,synthetic_general_ood
show me a hotel,synthetic_general_ood
tell me about a pasta recipe,synthetic_general_ood
how do I today's news,synthetic_general_ood
show me youtube,synthetic_general_ood
what is pizza,synthetic_general_ood
show me bitcoin,synthetic_general_ood
what is email,synthetic_general_ood
show me the stock market,synthetic_general_ood
explain a hotel,synthetic_general_ood
explain tax rules,synthetic_general_ood
show me the weather,synthetic_general_ood
what is a flight,synthetic_general_ood
give me information about pizza,synthetic_general_ood
tell me about email,synthetic_general_ood
explain the stock market,synthetic_general_ood
where can I find pizza,synthetic_general_ood
give me information about a flight,synthetic_general_ood
how do I the stock market,synthetic_general_ood
show me a flight,synthetic_general_ood
give me information about the train schedule,synthetic_general_ood
give me information about today's news,synthetic_general_ood
give me information about youtube,synthetic_general_ood
show me pizza,synthetic_general_ood
where can I find the cricket score,synthetic_general_ood
show me tax rules,synthetic_general_ood
what is a hotel,synthetic_general_ood
where can I find today's news,synthetic_general_ood
show me my browser,synthetic_general_ood
give me information about my browser,synthetic_general_ood
how do I youtube,synthetic_general_ood
where can I find bitcoin,synthetic_general_ood
tell me about pizza,synthetic_general_ood
explain the train schedule,synthetic_general_ood
where can I find my browser,synthetic_general_ood
explain my browser,synthetic_general_ood
how do I the train schedule,synthetic_general_ood
where can I find the weather,synthetic_general_ood
give me information about a hotel,synthetic_general_ood
explain bitcoin,synthetic_general_ood
where can I find a pasta recipe,synthetic_general_ood
show me email,synthetic_general_ood
