text,intent,row,prediction,confidence,correct
make it quieter while keeping audio available,device.volume.decrease,78,device.volume.decrease,0.9833614,True
lower the output a little,device.volume.decrease,79,device.volume.decrease,0.9916823,True
reduce the current listening volume,device.volume.decrease,80,device.volume.decrease,0.990553,True
turn the hearing aids down,device.volume.decrease,81,device.volume.decrease,0.98973644,True
make the audio more comfortable by lowering it,device.volume.decrease,82,device.volume.increase,0.9539361,False
decrease the sound level,device.volume.decrease,83,device.volume.decrease,0.992607,True
the hearing aids need to be quieter,device.volume.decrease,84,device.volume.decrease,0.9464153,True
reduce the volume one step,device.volume.decrease,85,device.volume.decrease,0.9919807,True
make the listening level lower,device.volume.decrease,86,device.volume.decrease,0.99169266,True
turn down what I hear,device.volume.decrease,87,device.volume.decrease,0.99070346,True
lower the device volume slightly,device.volume.decrease,88,device.volume.decrease,0.9932474,True
the sound is a bit too loud,device.volume.decrease,89,device.volume.decrease,0.98719484,True
bring the audio level down,device.volume.decrease,90,device.volume.decrease,0.9909253,True
make the hearing output softer,device.volume.decrease,91,device.volume.decrease,0.9895807,True
reduce how much sound I'm getting,device.volume.decrease,92,device.volume.decrease,0.9849562,True
turn the volume down without muting,device.volume.decrease,93,device.volume.decrease,0.98779327,True
give me less sound,device.volume.decrease,94,device.volume.decrease,0.98095155,True
lower the hearing aid output,device.volume.decrease,95,device.volume.decrease,0.9923935,True
quiet the audio somewhat,device.volume.decrease,96,device.volume.mute,0.42847434,False
reduce the loudness a little,device.volume.decrease,97,device.volume.decrease,0.9914175,True
turn the sound down but leave it audible,device.volume.decrease,98,device.volume.decrease,0.9867046,True
make my current volume lower,device.volume.decrease,99,device.volume.decrease,0.9920608,True
decrease the listening level,device.volume.decrease,100,device.volume.decrease,0.9910239,True
take the audio down slightly,device.volume.decrease,101,device.volume.decrease,0.8713366,True
make the hearing aids less loud,device.volume.decrease,102,device.volume.decrease,0.9905461,True
lower the sound coming from the devices,device.volume.decrease,103,device.volume.decrease,0.9861288,True
reduce the volume but don't turn it off,device.volume.decrease,104,device.volume.decrease,0.98522675,True
soften the hearing aid output,device.volume.decrease,105,device.volume.decrease,0.9891004,True
turn it down just a little,device.volume.decrease,106,device.volume.decrease,0.985479,True
make the hearing aids louder,device.volume.increase,107,device.volume.increase,0.9933216,True
raise the sound level a little,device.volume.increase,108,device.volume.increase,0.99016565,True
I need more volume,device.volume.increase,109,device.volume.increase,0.98047996,True
"the audio is too quiet, increase it",device.volume.increase,110,device.volume.increase,0.99160844,True
boost what I'm hearing,device.volume.increase,111,device.volume.increase,0.9924189,True
turn the sound up,device.volume.increase,112,device.volume.increase,0.9872798,True
make everything louder,device.volume.increase,113,device.volume.increase,0.9926918,True
give me a stronger listening level,device.volume.increase,114,device.volume.decrease,0.7231791,False
raise the hearing aid volume,device.volume.increase,115,device.volume.increase,0.9926025,True
the sound needs to be louder,device.volume.increase,116,device.volume.increase,0.9844788,True
increase the audio output,device.volume.increase,117,device.volume.increase,0.9894237,True
bring the volume up a notch,device.volume.increase,118,device.volume.increase,0.9887955,True
make the hearing output stronger,device.volume.increase,119,device.volume.increase,0.76103204,True
turn up what I hear,device.volume.increase,120,device.volume.increase,0.9861887,True
add a little more volume,device.volume.increase,121,device.volume.increase,0.9771523,True
raise the listening level,device.volume.increase,122,device.volume.increase,0.9888476,True
"I can barely hear, make it louder",device.volume.increase,123,device.volume.increase,0.9905731,True
increase the loudness,device.volume.increase,124,device.volume.increase,0.9928705,True
boost the audio slightly,device.volume.increase,125,device.volume.increase,0.99104553,True
make the sound more prominent,device.volume.increase,126,device.volume.increase,0.98929346,True
turn the hearing aids up,device.volume.increase,127,device.volume.increase,0.98680854,True
give me more sound,device.volume.increase,128,device.volume.increase,0.90875477,True
raise the current volume,device.volume.increase,129,device.volume.increase,0.9930901,True
the hearing aids are too quiet,device.volume.increase,130,device.volume.increase,0.6745276,True
increase what comes through the devices,device.volume.increase,131,device.volume.increase,0.9833777,True
make the audio louder without changing the program,device.volume.increase,132,device.volume.increase,0.9731329,True
turn up the output,device.volume.increase,133,device.volume.increase,0.9814481,True
bring the sound level higher,device.volume.increase,134,device.volume.increase,0.9829418,True
make my hearing aids louder,device.volume.increase,135,device.volume.increase,0.9926992,True
raise the audio level,device.volume.increase,136,device.volume.increase,0.9901183,True
add more sound,device.volume.increase,137,device.volume.increase,0.89644426,True
increase the hearing volume,device.volume.increase,138,device.volume.increase,0.99444026,True
make the listening output stronger,device.volume.increase,139,device.volume.increase,0.64029616,True
turn the volume higher,device.volume.increase,140,device.volume.increase,0.9906866,True
boost what is coming through,device.volume.increase,141,device.volume.increase,0.98745465,True
raise the sound a little,device.volume.increase,142,device.volume.increase,0.98996836,True
I want more audio,device.volume.increase,143,device.volume.increase,0.9788957,True
make the device output louder,device.volume.increase,144,device.volume.increase,0.99233377,True
increase the listening level,device.volume.increase,145,device.volume.increase,0.99021965,True
the current volume is too low,device.volume.increase,146,device.volume.increase,0.9523812,True
turn up the hearing output,device.volume.increase,147,device.volume.increase,0.9810714,True
make the audio less quiet,device.volume.increase,148,device.volume.decrease,0.9911272,False
raise the device volume,device.volume.increase,149,device.volume.increase,0.99214315,True
give the sound a boost,device.volume.increase,150,device.volume.increase,0.98559684,True
increase the volume one step,device.volume.increase,151,device.volume.increase,0.9914794,True
make what I'm hearing louder,device.volume.increase,152,device.volume.increase,0.9936434,True
turn the sound up slightly,device.volume.increase,153,device.volume.increase,0.98640347,True
boost the hearing aid level,device.volume.increase,154,device.volume.increase,0.9923821,True
raise the loudness,device.volume.increase,155,device.volume.increase,0.992015,True
more volume please,device.volume.increase,156,device.volume.increase,0.9795995,True
increase the current audio level,device.volume.increase,157,device.volume.increase,0.99126095,True
make the hearing output louder,device.volume.increase,158,device.volume.increase,0.99268407,True
turn it up but keep the same program,device.volume.increase,159,device.volume.increase,0.939295,True
strengthen the sound coming through,device.volume.increase,160,device.volume.mute,0.6744249,False
silence my hearing aids completely,device.volume.mute,161,device.volume.mute,0.9953811,True
stop all sound from the devices,device.volume.mute,162,device.volume.mute,0.98400426,True
I don't want to hear any audio right now,device.volume.mute,163,device.volume.mute,0.9312154,True
make the hearing aids completely silent,device.volume.mute,164,device.volume.mute,0.9936208,True
turn the sound off entirely,device.volume.mute,165,device.volume.mute,0.9945476,True
mute the hearing aids,device.volume.mute,166,device.volume.mute,0.9915589,True
shut off the audio output,device.volume.mute,167,device.volume.mute,0.8135247,True
give me complete silence,device.volume.mute,168,device.volume.mute,0.9752077,True
stop the sound completely,device.volume.mute,169,device.volume.mute,0.95516753,True
turn off all hearing aid audio,device.volume.mute,170,device.volume.mute,0.9950052,True
I need the devices to be silent,device.volume.mute,171,device.volume.mute,0.9768634,True
cut the sound off completely,device.volume.mute,172,device.volume.mute,0.9919497,True
silence everything I'm hearing,device.volume.mute,173,device.volume.mute,0.993887,True
make the audio stop,device.volume.mute,174,device.volume.mute,0.49527013,True
turn off the hearing output,device.volume.mute,175,device.volume.mute,0.94395447,True
no sound from my hearing aids,device.volume.mute,176,device.volume.mute,0.96755755,True
completely silence the devices,device.volume.mute,177,device.volume.mute,0.99483633,True
stop all audio through the hearing aids,device.volume.mute,178,device.volume.mute,0.9882194,True
make them quiet with no sound at all,device.volume.mute,179,device.volume.mute,0.9659264,True
switch the hearing aids to complete silence,device.volume.mute,180,device.volume.mute,0.93146926,True
I need total silence,device.volume.mute,181,device.volume.mute,0.98969954,True
mute all audio,device.volume.mute,182,device.volume.mute,0.9947678,True
stop what is playing through my hearing aids,device.volume.mute,183,device.volume.mute,0.43001592,True
turn the hearing aid sound completely off,device.volume.mute,184,device.volume.mute,0.9957824,True
silence the audio output,device.volume.mute,185,device.volume.mute,0.991147,True
make there be no sound,device.volume.mute,186,device.volume.mute,0.97938836,True
shut the hearing aid audio off,device.volume.mute,187,device.volume.mute,0.994055,True
stop hearing anything through the devices,device.volume.mute,188,device.volume.mute,0.70516455,True
turn off the sound entirely,device.volume.mute,189,device.volume.mute,0.99441046,True
silence my hearing output,device.volume.mute,190,device.volume.mute,0.9887784,True
remove all sound from the hearing aids,device.volume.mute,191,device.volume.mute,0.9951859,True
I want complete silence from the devices,device.volume.mute,192,device.volume.mute,0.9891945,True
mute the current audio,device.volume.mute,193,device.volume.mute,0.99073726,True
stop the hearing aid output,device.volume.mute,194,device.volume.mute,0.5568795,True
make the devices produce no sound,device.volume.mute,195,device.volume.mute,0.9908869,True
turn everything audible off,device.volume.mute,196,device.volume.mute,0.9789434,True
completely mute the hearing aids,device.volume.mute,197,device.volume.mute,0.9949838,True
stop all sound coming through,device.volume.mute,198,device.volume.mute,0.9933721,True
silence the current hearing output,device.volume.mute,199,device.volume.mute,0.98573583,True
turn off what I'm hearing,device.volume.mute,200,device.volume.mute,0.9407109,True
make the hearing aids silent,device.volume.mute,201,device.volume.mute,0.98777837,True
no audio should come through,device.volume.mute,202,device.volume.unmute,0.34126166,False
shut down the sound output,device.volume.mute,203,device.volume.decrease,0.98835564,False
mute the current hearing aid audio,device.volume.mute,204,device.volume.mute,0.9935129,True
stop the audio completely,device.volume.mute,205,device.volume.mute,0.6895282,True
give me zero sound,device.volume.mute,206,device.volume.mute,0.4881903,True
turn all hearing aid audio off,device.volume.mute,207,device.volume.mute,0.99457824,True
silence the devices now,device.volume.mute,208,device.volume.mute,0.99579287,True
make the output completely silent,device.volume.mute,209,device.volume.mute,0.983602,True
stop all audible output,device.volume.mute,210,device.volume.mute,0.9811879,True
mute what I'm hearing,device.volume.mute,211,device.volume.mute,0.98850995,True
turn the hearing sound off,device.volume.mute,212,device.volume.mute,0.9923282,True
no sound at all please,device.volume.mute,213,device.volume.mute,0.9879083,True
completely shut off the audio,device.volume.mute,214,device.volume.mute,0.9898435,True
bring the sound back after muting,device.volume.unmute,215,device.volume.unmute,0.9824868,True
restore audio to my hearing aids,device.volume.unmute,216,device.volume.unmute,0.9691009,True
let me hear through the devices again,device.volume.unmute,217,device.volume.unmute,0.96980774,True
turn the sound back on,device.volume.unmute,218,device.volume.unmute,0.99205947,True
resume audio output,device.volume.unmute,219,device.volume.unmute,0.98141575,True
unmute the hearing aids,device.volume.unmute,220,device.volume.unmute,0.9935954,True
restore the hearing aid sound,device.volume.unmute,221,device.volume.unmute,0.9930875,True
I want audio again,device.volume.unmute,222,device.volume.unmute,0.98955554,True
enable sound on the devices,device.volume.unmute,223,device.volume.unmute,0.8147734,True
bring back the volume after silence,device.volume.unmute,224,device.volume.unmute,0.5037673,True
stop muting my hearing aids,device.volume.unmute,225,device.volume.unmute,0.8307315,True
turn audio back on,device.volume.unmute,226,device.volume.unmute,0.9930608,True
restore what I was hearing,device.volume.unmute,227,device.volume.unmute,0.95266145,True
let the hearing aids produce sound again,device.volume.unmute,228,device.volume.unmute,0.9914089,True
resume the sound output,device.volume.unmute,229,device.volume.unmute,0.9870099,True
remove the mute state,device.volume.unmute,230,device.volume.unmute,0.9890582,True
make the devices audible again,device.volume.unmute,231,device.volume.unmute,0.98146814,True
switch the hearing aids back to sound,device.volume.unmute,232,device.volume.unmute,0.97818893,True
turn hearing aid audio on,device.volume.unmute,233,device.volume.unmute,0.9774215,True
bring the audio back,device.volume.unmute,234,device.volume.unmute,0.9866145,True
restore sound to the devices,device.volume.unmute,235,device.volume.unmute,0.98951274,True
"I can hear nothing, enable the audio",device.volume.unmute,236,device.volume.increase,0.42303768,False
unmute my hearing output,device.volume.unmute,237,device.volume.unmute,0.9918419,True
start the sound again,device.volume.unmute,238,device.volume.unmute,0.94419396,True
allow audio through the hearing aids,device.volume.unmute,239,streaming.session.start,0.83220273,False
restore the previous audio,device.volume.unmute,240,device.volume.unmute,0.99254334,True
turn the hearing output back on,device.volume.unmute,241,device.volume.unmute,0.9882945,True
bring sound back to my devices,device.volume.unmute,242,device.volume.unmute,0.9660474,True
enable the hearing aid speakers,device.volume.unmute,243,device.volume.unmute,0.9482017,True
resume what was muted,device.volume.unmute,244,device.volume.unmute,0.9071728,True
make the hearing aids audible,device.volume.unmute,245,device.volume.mute,0.7966255,False
switch off mute mode,device.volume.unmute,246,device.memory.change,0.6828461,False
restore audio after muting,device.volume.unmute,247,device.volume.unmute,0.99073154,True
turn sound back on for the hearing aids,device.volume.unmute,248,device.volume.unmute,0.99191743,True
let audio come through again,device.volume.unmute,249,device.volume.unmute,0.95019495,True
enable the device output,device.volume.unmute,250,device.volume.unmute,0.6164174,True
return the hearing aids to audible mode,device.volume.unmute,251,device.volume.unmute,0.97922426,True
undo mute,device.volume.unmute,252,device.volume.unmute,0.9906302,True
restore the sound level,device.volume.unmute,253,device.volume.unmute,0.7331336,True
start hearing aid audio again,device.volume.unmute,254,device.volume.unmute,0.97213644,True
bring back the hearing output,device.volume.unmute,255,device.volume.unmute,0.97060376,True
make the devices produce sound again,device.volume.unmute,256,device.volume.unmute,0.9903543,True
cancel the mute,device.volume.unmute,257,device.volume.unmute,0.9799706,True
resume audio through my hearing aids,device.volume.unmute,258,device.volume.unmute,0.97240597,True
turn on the sound again,device.volume.unmute,259,device.volume.unmute,0.9912521,True
restore hearing aid audio,device.volume.unmute,260,device.volume.unmute,0.9931681,True
unmute the current output,device.volume.unmute,261,device.volume.unmute,0.98729277,True
allow sound to pass through again,device.volume.unmute,262,device.volume.unmute,0.9870706,True
reactivate audio on the hearing aids,device.volume.unmute,263,device.volume.unmute,0.9885548,True
bring the sound back,device.volume.unmute,264,device.volume.unmute,0.9659097,True
turn the audio output on again,device.volume.unmute,265,device.volume.unmute,0.98887104,True
remove complete silence,device.volume.unmute,266,device.volume.mute,0.7932684,False
restore audible output,device.volume.unmute,267,device.volume.unmute,0.9877291,True
enable sound again,device.volume.unmute,268,device.volume.unmute,0.99176824,True
where did I leave my phone,find.phone.locate,269,find.phone.locate,0.97793895,True
help me locate my mobile,find.phone.locate,270,find.phone.locate,0.97585154,True
find the phone for me,find.phone.locate,271,find.phone.locate,0.9644152,True
I can't find my smartphone,find.phone.locate,272,find.phone.locate,0.98263997,True
show me where my phone is,find.phone.locate,273,find.phone.locate,0.97474754,True
locate my mobile device,find.phone.locate,274,find.phone.locate,0.99018735,True
track down my phone,find.phone.locate,275,find.phone.locate,0.97325325,True
where is my handset,find.phone.locate,276,find.phone.locate,0.9655636,True
help find my phone,find.phone.locate,277,find.phone.locate,0.98972553,True
tell me where the phone is,find.phone.locate,278,find.phone.locate,0.9523474,True
I misplaced my mobile,find.phone.locate,279,find.phone.locate,0.9712498,True
find my smartphone,find.phone.locate,280,find.phone.locate,0.98798776,True
locate the phone I paired,find.phone.locate,281,find.phone.locate,0.9843522,True
where can I find my phone,find.phone.locate,282,find.phone.locate,0.9715532,True
my phone is missing,find.phone.locate,283,find.phone.locate,0.9809941,True
help me find the mobile,find.phone.locate,284,find.phone.locate,0.96777713,True
search for my phone,find.phone.locate,285,find.phone.locate,0.98537236,True
can you locate my handset,find.phone.locate,286,find.phone.locate,0.9655725,True
find the device I use as my phone,find.phone.locate,287,find.phone.locate,0.9802085,True
where did my smartphone go,find.phone.locate,288,find.phone.locate,0.977512,True
locate my missing phone,find.phone.locate,289,find.phone.locate,0.98966557,True
help me track my mobile,find.phone.locate,290,find.phone.locate,0.9363959,True
show the location of my phone,find.phone.locate,291,find.phone.locate,0.94800663,True
I need to find my phone,find.phone.locate,292,find.phone.locate,0.9839708,True
where is my mobile right now,find.phone.locate,293,find.phone.locate,0.96180034,True
find my lost handset,find.phone.locate,294,find.phone.locate,0.96739376,True
can you find my smartphone,find.phone.locate,295,find.phone.locate,0.9832244,True
locate my phone please,find.phone.locate,296,find.phone.locate,0.9866882,True
my mobile has disappeared,find.phone.locate,297,find.phone.locate,0.9094124,True
help me locate the handset,find.phone.locate,298,find.phone.locate,0.90927124,True
track my phone,find.phone.locate,299,find.phone.locate,0.9796275,True
where's my mobile device,find.phone.locate,300,find.phone.locate,0.9687055,True
find the smartphone,find.phone.locate,301,find.phone.locate,0.98746896,True
I need the location of my phone,find.phone.locate,302,find.phone.locate,0.53626084,True
help me search for my phone,find.phone.locate,303,find.phone.locate,0.98518515,True
locate the phone,find.phone.locate,304,find.phone.locate,0.9904867,True
my phone is somewhere nearby,find.phone.locate,305,find.phone.locate,0.9853902,True
tell me where my handset is,find.phone.locate,306,find.phone.locate,0.89797497,True
find my mobile device,find.phone.locate,307,find.phone.locate,0.98387676,True
where did I put my phone,find.phone.locate,308,find.phone.locate,0.9797963,True
can you track down my smartphone,find.phone.locate,309,find.phone.locate,0.9786097,True
locate my missing mobile,find.phone.locate,310,find.phone.locate,0.98569643,True
help locate my phone,find.phone.locate,311,find.phone.locate,0.9889951,True
show where my handset is,find.phone.locate,312,find.phone.locate,0.95177835,True
find the phone I can't see,find.phone.locate,313,find.phone.locate,0.97672504,True
my smartphone is lost,find.phone.locate,314,find.phone.locate,0.97659826,True
look for my phone,find.phone.locate,315,find.phone.locate,0.9837886,True
where is the mobile I paired,find.phone.locate,316,find.phone.locate,0.7525144,True
locate my smartphone,find.phone.locate,317,find.phone.locate,0.9891817,True
help me find the handset,find.phone.locate,318,find.phone.locate,0.94891995,True
find where my phone is,find.phone.locate,319,find.phone.locate,0.98439276,True
track down the mobile,find.phone.locate,320,find.phone.locate,0.8292948,True
can you locate my phone now,find.phone.locate,321,find.phone.locate,0.979425,True
search for my missing smartphone,find.phone.locate,322,find.phone.locate,0.9852019,True
show me the reminders I currently have,help.reminder.show,323,help.reminder.show,0.9847297,True
what reminders are on my list,help.reminder.show,324,help.reminder.show,0.9839078,True
let me see my reminders,help.reminder.show,325,help.reminder.show,0.966338,True
display my pending reminders,help.reminder.show,326,help.reminder.show,0.977377,True
which reminders are active,help.reminder.show,327,help.reminder.show,0.9810503,True
tell me what I have scheduled,help.reminder.show,328,reminders.task.create,0.3107957,False
show the reminders I've created,help.reminder.show,329,help.reminder.show,0.93385327,True
what reminders do I have,help.reminder.show,330,help.reminder.show,0.9834871,True
list my current reminders,help.reminder.show,331,help.reminder.show,0.9850306,True
can I see my reminder list,help.reminder.show,332,help.reminder.show,0.93223494,True
read out my reminders,help.reminder.show,333,help.reminder.show,0.9649585,True
what tasks have I set reminders for,help.reminder.show,334,help.reminder.show,0.9866262,True
show my reminder schedule,help.reminder.show,335,help.reminder.show,0.88675094,True
which reminders are still pending,help.reminder.show,336,help.reminder.show,0.9803647,True
open my reminder list,help.reminder.show,337,help.reminder.show,0.93659806,True
give me a list of reminders,help.reminder.show,338,reminders.task.create,0.7000537,False
what reminders are waiting,help.reminder.show,339,help.reminder.show,0.97802335,True
see the reminders I have,help.reminder.show,340,help.reminder.show,0.9737707,True
show all active reminders,help.reminder.show,341,help.reminder.show,0.97423154,True
what did I set reminders for,help.reminder.show,342,help.reminder.show,0.97337896,True
let me check my reminders,help.reminder.show,343,help.reminder.show,0.96014285,True
display the reminder entries,help.reminder.show,344,help.reminder.show,0.95807,True
which reminder tasks are pending,help.reminder.show,345,help.reminder.show,0.9820967,True
tell me my current reminders,help.reminder.show,346,help.reminder.show,0.9886206,True
show my scheduled reminders,help.reminder.show,347,help.reminder.show,0.98793274,True
what is on my reminder list,help.reminder.show,348,help.reminder.show,0.98128617,True
list the reminders I have,help.reminder.show,349,help.reminder.show,0.9860524,True
read my active reminders,help.reminder.show,350,help.reminder.show,0.9870595,True
show me what's in reminders,help.reminder.show,351,help.reminder.show,0.9920368,True
which reminders haven't been completed,help.reminder.show,352,help.reminder.show,0.96461064,True
let me view the reminder list,help.reminder.show,353,help.reminder.show,0.9123028,True
give me my current reminder status,help.reminder.show,354,reminders.task.create,0.554455,False
show existing reminders,help.reminder.show,355,help.reminder.show,0.96273583,True
what reminders are currently saved,help.reminder.show,356,help.reminder.show,0.98571277,True
display my reminders,help.reminder.show,357,help.reminder.show,0.9805742,True
can you list my reminders,help.reminder.show,358,help.reminder.show,0.9544333,True
tell me which reminders are active,help.reminder.show,359,help.reminder.show,0.9916773,True
show my pending reminder tasks,help.reminder.show,360,help.reminder.show,0.9631029,True
let me see saved reminders,help.reminder.show,361,help.reminder.show,0.9796322,True
what reminder tasks are on file,help.reminder.show,362,help.reminder.show,0.9859811,True
show my outstanding reminders,help.reminder.show,363,help.reminder.show,0.9856221,True
which reminders do I still have,help.reminder.show,364,help.reminder.show,0.98609203,True
read my reminder list,help.reminder.show,365,help.reminder.show,0.92194235,True
view my current reminders,help.reminder.show,366,help.reminder.show,0.9882734,True
what have I scheduled as reminders,help.reminder.show,367,help.reminder.show,0.9844126,True
show the reminder items,help.reminder.show,368,help.reminder.show,0.92769706,True
list my outstanding reminders,help.reminder.show,369,help.reminder.show,0.98554105,True
can I see what reminders I set,help.reminder.show,370,help.reminder.show,0.9867867,True
display the reminders I haven't finished,help.reminder.show,371,help.reminder.show,0.98080796,True
tell me about my reminders,help.reminder.show,372,help.reminder.show,0.9865867,True
show my active reminder items,help.reminder.show,373,help.reminder.show,0.802069,True
let me check what reminders remain,help.reminder.show,374,help.reminder.show,0.9867568,True
list all current reminder tasks,help.reminder.show,375,help.reminder.show,0.8622073,True
show my reminder entries,help.reminder.show,376,help.reminder.show,0.97272444,True
set a reminder for my appointment tomorrow,reminders.task.create,377,reminders.task.create,0.98473686,True
remind me to call the clinic at nine,reminders.task.create,378,reminders.task.create,0.98003805,True
create a new reminder for later,reminders.task.create,379,reminders.task.create,0.9875559,True
add a reminder to take my keys,reminders.task.create,380,reminders.task.create,0.9781577,True
put a reminder on my schedule,reminders.task.create,381,reminders.task.create,0.984769,True
schedule a reminder for this evening,reminders.task.create,382,reminders.task.create,0.98589593,True
make a reminder for my meeting,reminders.task.create,383,reminders.task.create,0.9826963,True
remember to remind me about the meeting,reminders.task.create,384,reminders.task.create,0.9807835,True
add something to my reminders,reminders.task.create,385,reminders.task.create,0.9704437,True
create a reminder for next week,reminders.task.create,386,reminders.task.create,0.98720634,True
set one up so I don't forget,reminders.task.create,387,reminders.task.create,0.90526915,True
add a new reminder to my list,reminders.task.create,388,reminders.task.create,0.9671924,True
schedule a reminder to call John,reminders.task.create,389,reminders.task.create,0.98135066,True
remind me about dinner tonight,reminders.task.create,390,reminders.task.create,0.9817904,True
