type,text,expected,intent,confidence,top2_intent,top2_confidence,margin,normalized_entropy,known_token_ratio,final_decision,correct
SUPPORTED,mark that reminder as completed,reminders.task.complete,reminders.task.complete,0.9918685294766915,reminders.task.create,0.002003666873236394,0.9898648626034551,0.027104176001004374,1.0,reminders.task.complete,True
SUPPORTED,please start the streaming session,streaming.session.start,streaming.session.start,0.9830536587736616,streaming.session.stop,0.002357742519766122,0.9806959162538954,0.05193122833990714,1.0,streaming.session.start,True
SUPPORTED,please stop the streaming session,streaming.session.stop,streaming.session.stop,0.9908027765240444,reminders.task.complete,0.0015372661128844505,0.98926551041116,0.030384289842816253,1.0,streaming.session.stop,True
OOD,who is the prime minister of India,defaultFallbackIntent,device.volume.increase,0.9116749894510526,find.phone.locate,0.03193146705614015,0.8797435223949125,0.19663936259110956,0.42857142857142855,device.volume.increase,False
OOD,who is the priminister of india,defaultFallbackIntent,device.volume.increase,0.9335054280056437,find.phone.locate,0.022604378043375378,0.9109010499622684,0.1571937828411757,0.5,device.volume.increase,False
OOD,what is the weather today,defaultFallbackIntent,device.volume.decrease,0.8446925421559731,find.phone.locate,0.11612387958940926,0.7285686625665638,0.24922749033101127,1.0,device.volume.decrease,False
OOD,i want to order pizza,defaultFallbackIntent,device.volume.increase,0.5752795905920475,device.memory.change,0.3009647823976186,0.2743148081944289,0.4840846994563413,0.6,defaultFallbackIntent,True
OOD,tell me a joke,defaultFallbackIntent,device.memory.change,0.9243772963281545,device.volume.increase,0.028243124146182078,0.8961341721819723,0.17001364374111685,0.75,device.memory.change,False
OOD,what is the capital of France,defaultFallbackIntent,device.volume.increase,0.965115804503355,find.phone.locate,0.008554631456890862,0.9565611730464642,0.09450803399586215,0.6666666666666666,device.volume.increase,False
OOD,open my browser,defaultFallbackIntent,find.phone.locate,0.6389684040378552,device.memory.change,0.08392996065906828,0.5550384433787868,0.5637336348558708,0.6666666666666666,defaultFallbackIntent,True
OOD,play music,defaultFallbackIntent,streaming.session.start,0.9618011019814963,device.memory.change,0.008741642952369224,0.953059459029127,0.10165387278137616,1.0,streaming.session.start,False
OOD,book a hotel for tomorrow,defaultFallbackIntent,device.memory.change,0.9685035801360727,reminders.task.create,0.006665745426188463,0.9618378347098843,0.08628277443881804,0.8,device.memory.change,False
OOD,how do i cook pasta,defaultFallbackIntent,help.reminder.show,0.7699007013465154,find.phone.locate,0.051976843760110435,0.717923857586405,0.4168557631442668,0.6,help.reminder.show,False
OOD,what time is the train,defaultFallbackIntent,device.volume.mute,0.38268882364666384,help.reminder.show,0.2456028860461341,0.13708593760052976,0.7198546325691708,1.0,defaultFallbackIntent,True
OOD,what is bitcoin,defaultFallbackIntent,device.volume.increase,0.7748496173944232,find.phone.locate,0.06459028893068997,0.7102593284637332,0.3965875038188782,0.6666666666666666,device.volume.increase,False
OOD,how are you,defaultFallbackIntent,device.volume.decrease,0.689676811414538,device.volume.increase,0.10192831464095274,0.5877484967735852,0.48283804871918434,1.0,defaultFallbackIntent,True
OOD,thank you,defaultFallbackIntent,device.volume.increase,0.3015434520343751,reminders.task.complete,0.16433451216895562,0.1372089398654195,0.786260342136434,0.5,defaultFallbackIntent,True
OOD,good morning,defaultFallbackIntent,device.volume.increase,0.38914247038164246,device.memory.change,0.14049410509530788,0.24864836528633458,0.7688028741997669,0.5,defaultFallbackIntent,True
OOD,jkakjhdjkhd,defaultFallbackIntent,streaming.session.stop,0.4411088773989552,device.volume.unmute,0.16629233268825666,0.27481654471069855,0.6875582495572435,0.0,defaultFallbackIntent,True
OOD,sdkjadsjj,defaultFallbackIntent,streaming.session.stop,0.4411088773989552,device.volume.unmute,0.16629233268825666,0.27481654471069855,0.6875582495572435,0.0,defaultFallbackIntent,True
OOD,asdfghjkl,defaultFallbackIntent,streaming.session.stop,0.4411088773989552,device.volume.unmute,0.16629233268825666,0.27481654471069855,0.6875582495572435,0.0,defaultFallbackIntent,True
OOD,123456789,defaultFallbackIntent,streaming.session.stop,0.4411088773989552,device.volume.unmute,0.16629233268825666,0.27481654471069855,0.6875582495572435,0.0,defaultFallbackIntent,True
OOD,hello xyz abc,defaultFallbackIntent,device.volume.increase,0.29769069676872056,device.memory.change,0.20139165830267639,0.09629903846604418,0.77692659053965,0.0,defaultFallbackIntent,True
